 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
10.00421 -5.413664417817413e-6 -5.413664417817413e-6
10.01139 -4.5326568782933465e-6 -4.5326568782933465e-6
10.01857 -3.7998840688356777e-6 -3.7998840688356777e-6
10.02575 -3.187864512024399e-6 -3.187864512024399e-6
10.03293 -2.673550581796307e-6 -2.673550581796307e-6
10.04011 -2.2416408751829265e-6 -2.2416408751829265e-6
10.0473 -1.8611020192624829e-6 -1.8611020192624829e-6
10.05448 -1.5556161862879019e-6 -1.5556161862879019e-6
10.06166 -1.2965728688771624e-6 -1.2965728688771624e-6
10.06884 -1.07721667376327e-6 -1.07721667376327e-6
10.07602 -8.907882380219543e-7 -8.907882380219543e-7
10.0832 -7.326671615214333e-7 -7.326671615214333e-7
10.09038 -5.984017157242837e-7 -5.984017157242837e-7
10.09756 -4.850097581167357e-7 -4.850097581167357e-7
10.10474 -3.8888556838204823e-7 -3.8888556838204823e-7
10.11192 -3.077828606446056e-7 -3.077828606446056e-7
10.11911 -2.3713558781064412e-7 -2.3713558781064412e-7
10.12629 -1.8105073692751518e-7 -1.8105073692751518e-7
10.13347 -1.347570036225955e-7 -1.347570036225955e-7
10.14065 -9.691996561463945e-8 -9.691996561463945e-8
10.14783 -6.661210008042713e-8 -6.661210008042713e-8
10.15501 -4.298854707345305e-8 -4.298854707345305e-8
10.16219 -2.5128088767830443e-8 -2.5128088767830443e-8
10.16937 -1.248209472305299e-8 -1.248209472305299e-8
10.17655 -4.441782880052081e-9 -4.441782880052081e-9
10.18373 -5.398627186041708e-10 -5.398627186041708e-10
10.19092 -4.164444584723431e-10 -4.164444584723431e-10
10.1981 -3.720865895089034e-9 -3.720865895089034e-9
10.20528 -1.007313403499702e-8 -1.007313403499702e-8
10.21246 -1.918657031978237e-8 -1.918657031978237e-8
10.21964 -3.084780627505858e-8 -3.084780627505858e-8
10.22682 -4.48558101664477e-8 -4.48558101664477e-8
10.234 -6.108316710453105e-8 -6.108316710453105e-8
10.24118 -7.934091308300004e-8 -7.934091308300004e-8
10.24836 -9.952290464003165e-8 -9.952290464003165e-8
10.25554 -1.2149085668503037e-7 -1.2149085668503037e-7
10.26272 -1.451771990286065e-7 -1.451771990286065e-7
10.26991 -1.71351165375008e-7 -1.71351165375008e-7
10.27709 -2.0164335687389283e-7 -2.0164335687389283e-7
10.28427 -2.321389680494387e-7 -2.321389680494387e-7
10.29145 -2.564945055437013e-7 -2.564945055437013e-7
10.29863 -2.88057149137957e-7 -2.88057149137957e-7
10.30581 -3.2069342394459476e-7 -3.2069342394459476e-7
10.31299 -3.548322698725047e-7 -3.548322698725047e-7
10.32017 -3.8694166440551766e-7 -3.8694166440551766e-7
10.32735 -4.2698826105085864e-7 -4.2698826105085864e-7
10.33453 -4.65108705076598e-7 -4.65108705076598e-7
10.34172 -5.12356661943047e-7 -5.12356661943047e-7
10.3489 -5.442348412136673e-7 -5.442348412136673e-7
10.35608 -5.880294659619935e-7 -5.880294659619935e-7
10.36326 -6.312961252800081e-7 -6.312961252800081e-7
10.37044 -6.759192077943754e-7 -6.759192077943754e-7
10.37762 -7.218360208172092e-7 -7.218360208172092e-7
10.3848 -7.691510560695772e-7 -7.691510560695772e-7
10.39198 -8.175894287162807e-7 -8.175894287162807e-7
10.39916 -8.665171280112171e-7 -8.665171280112171e-7
10.40634 -9.130079262411188e-7 -9.130079262411188e-7
10.41352 -9.640414838330006e-7 -9.640414838330006e-7
10.42071 -1.010625795669627e-6 -1.010625795669627e-6
10.42789 -1.0357830965647374e-6 -1.0357830965647374e-6
10.43507 -1.0762384683216868e-6 -1.0762384683216868e-6
10.44225 -1.119641485335803e-6 -1.119641485335803e-6
10.44943 -1.1329596301585551e-6 -1.1329596301585551e-6
10.45661 -1.170719027704576e-6 -1.170719027704576e-6
10.46379 -1.197146862950358e-6 -1.197146862950358e-6
10.47097 -1.221280613481746e-6 -1.221280613481746e-6
10.47815 -1.2429976953067123e-6 -1.2429976953067123e-6
10.48533 -1.2621460372069121e-6 -1.2621460372069121e-6
10.49252 -1.2795771437472787e-6 -1.2795771437472787e-6
10.4997 -1.294212342485296e-6 -1.294212342485296e-6
10.50688 -1.306541496044146e-6 -1.306541496044146e-6
10.51406 -1.3166864094492722e-6 -1.3166864094492722e-6
10.52124 -1.3248188926000016e-6 -1.3248188926000016e-6
10.52842 -1.3307923683820175e-6 -1.3307923683820175e-6
10.5356 -1.3347863478157845e-6 -1.3347863478157845e-6
10.54278 -1.3371712502807183e-6 -1.3371712502807183e-6
10.54996 -1.337560124952892e-6 -1.337560124952892e-6
10.55714 -1.3314842794738844e-6 -1.3314842794738844e-6
10.56433 -1.3335831636025736e-6 -1.3335831636025736e-6
10.57151 -1.3290415689242503e-6 -1.3290415689242503e-6
10.57869 -1.322874949252076e-6 -1.322874949252076e-6
10.58587 -1.3153114209759802e-6 -1.3153114209759802e-6
10.59305 -1.3061750185888212e-6 -1.3061750185888212e-6
10.60023 -1.2959406581475523e-6 -1.2959406581475523e-6
10.60741 -1.284361429566317e-6 -1.284361429566317e-6
10.61459 -1.2715448662074978e-6 -1.2715448662074978e-6
10.62177 -1.2576088871800968e-6 -1.2576088871800968e-6
10.62895 -1.2427485647035163e-6 -1.2427485647035163e-6
10.63613 -1.2269679461332949e-6 -1.2269679461332949e-6
10.64332 -1.210531148587614e-6 -1.210531148587614e-6
10.6505 -1.1926801901590852e-6 -1.1926801901590852e-6
10.65768 -1.174070716949283e-6 -1.174070716949283e-6
10.66486 -1.1548877296299609e-6 -1.1548877296299609e-6
10.67204 -1.1348772174925956e-6 -1.1348772174925956e-6
10.67922 -1.1143157907986652e-6 -1.1143157907986652e-6
10.6864 -1.09296256548061e-6 -1.09296256548061e-6
10.69358 -1.0712640222421478e-6 -1.0712640222421478e-6
10.70076 -1.048967932354809e-6 -1.048967932354809e-6
10.70794 -1.0261116862027056e-6 -1.0261116862027056e-6
10.71513 -1.0033592883674193e-6 -1.0033592883674193e-6
10.72231 -9.79697864948047e-7 -9.79697864948047e-7
10.72949 -9.55963249470893e-7 -9.55963249470893e-7
10.73667 -9.317918840659764e-7 -9.317918840659764e-7
10.74385 -9.075214520649611e-7 -9.075214520649611e-7
10.75103 -8.829994306943495e-7 -8.829994306943495e-7
10.75821 -8.582642726729247e-7 -8.582642726729247e-7
10.76539 -8.329486619786897e-7 -8.329486619786897e-7
10.77257 -8.085038017481408e-7 -8.085038017481408e-7
10.77975 -7.804521520173329e-7 -7.804521520173329e-7
10.78693 -7.587824940732214e-7 -7.587824940732214e-7
10.79412 -7.432518918123109e-7 -7.432518918123109e-7
10.8013 -7.13977639930092e-7 -7.13977639930092e-7
10.80848 -6.842085495347373e-7 -6.842085495347373e-7
10.81566 -6.595309524421556e-7 -6.595309524421556e-7
10.82284 -6.349417056657079e-7 -6.349417056657079e-7
10.83002 -6.104782866599431e-7 -6.104782866599431e-7
10.8372 -5.863128806594156e-7 -5.863128806594156e-7
10.84438 -5.62303470013686e-7 -5.62303470013686e-7
10.85156 -5.385981952589736e-7 -5.385981952589736e-7
10.85874 -5.150598044663476e-7 -5.150598044663476e-7
10.86593 -4.920353100481967e-7 -4.920353100481967e-7
10.87311 -4.6908473859096827e-7 -4.6908473859096827e-7
10.88029 -4.4661550839757394e-7 -4.4661550839757394e-7
10.88747 -4.2442538992336374e-7 -4.2442538992336374e-7
10.89465 -4.026877448210012e-7 -4.026877448210012e-7
10.90183 -3.812251590249005e-7 -3.812251590249005e-7
10.90901 -3.6028811111784524e-7 -3.6028811111784524e-7
10.91619 -3.3969219201295167e-7 -3.3969219201295167e-7
10.92337 -3.195800844581923e-7 -3.195800844581923e-7
10.93055 -2.999583005918921e-7 -2.999583005918921e-7
10.93773 -2.808332152822801e-7 -2.808332152822801e-7
10.94492 -2.622933252527721e-7 -2.622933252527721e-7
10.9521 -2.4417696351833895e-7 -2.4417696351833895e-7
10.95928 -2.2661557424637474e-7 -2.2661557424637474e-7
10.96646 -2.1176051295978612e-7 -2.1176051295978612e-7
10.97364 -1.9534853290248468e-7 -1.9534853290248468e-7
10.98082 -1.7730530941019867e-7 -1.7730530941019867e-7
10.988 -1.6203525934340425e-7 -1.6203525934340425e-7
10.99518 -1.473568715223541e-7 -1.473568715223541e-7
11.00236 -1.3332708770105128e-7 -1.3332708770105128e-7
11.00954 -1.1994521020919178e-7 -1.1994521020919178e-7
11.01673 -1.0720453960193186e-7 -1.0720453960193186e-7
