 R   <X|H|A> 
10.93773 -3.3614227975698517e-6
10.94492 -3.3754999786897976e-6
10.9521 -3.3894857372467527e-6
10.95928 -3.4034056004418e-6
10.96646 -3.4172591755927576e-6
10.97364 -3.431035642646665e-6
10.98082 -3.4447407015395307e-6
10.988 -3.458379477512397e-6
10.99518 -3.4719523515034213e-6
11.00236 -3.4854534390681795e-6
11.00954 -3.4988831077177023e-6
11.01673 -3.512270576901591e-6
11.02391 -3.5255622745359558e-6
11.03109 -3.538793575849588e-6
11.03827 -3.5519530917007315e-6
11.04545 -3.5650522066654274e-6
11.05263 -3.5780740299044133e-6
11.05981 -3.5910352702677398e-6
11.06699 -3.603930600290753e-6
11.07417 -3.6167541486867306e-6
11.08135 -3.629517288979709e-6
11.08854 -3.6422317983016674e-6
11.09572 -3.654856979702629e-6
11.1029 -3.6674217550090214e-6
11.11008 -3.6799202601322705e-6
11.11726 -3.69235284834833e-6
11.12444 -3.704724679152845e-6
11.13162 -3.717024909757319e-6
11.1388 -3.7292647255423855e-6
11.14598 -3.741443792059336e-6
11.15316 -3.753545913762237e-6
11.16034 -3.765598295379642e-6
11.16753 -3.7776012411320895e-6
11.17471 -3.7895215225269073e-6
11.18189 -3.8013810530291146e-6
11.18907 -3.813174655537673e-6
11.19625 -3.824907510028517e-6
11.20343 -3.836574272365968e-6
11.21061 -3.848186121095193e-6
11.21779 -3.859731715996551e-6
11.22497 -3.871216886814917e-6
11.23215 -3.882635806413567e-6
11.23934 -3.8940100759390086e-6
11.24652 -3.905313251495654e-6
11.2537 -3.9165558380972e-6
11.26088 -3.927732490317296e-6
11.26806 -3.938853911206191e-6
11.27524 -3.9499093926864984e-6
11.28242 -3.960909644541923e-6
11.2896 -3.971849314205804e-6
11.29678 -3.982723039651331e-6
11.30396 -3.993547044485446e-6
11.31114 -4.004310619531843e-6
11.31833 -4.0150283234284445e-6
11.32551 -4.025670493838381e-6
11.33269 -4.036252231349864e-6
11.33987 -4.046784252321599e-6
11.34705 -4.0572503245164494e-6
11.35423 -4.0676611757838e-6
11.36141 -4.078016952596895e-6
11.36859 -4.088306776426209e-6
11.37577 -4.098552398748787e-6
11.38295 -4.108732071254863e-6
11.39014 -4.118876098582645e-6
11.39732 -4.128945393912027e-6
11.4045 -4.138959758379578e-6
11.41168 -4.148924412790639e-6
11.41886 -4.158828619148597e-6
11.42604 -4.168677611976387e-6
11.43322 -4.1784716638834665e-6
11.4404 -4.188216013531443e-6
11.44758 -4.197894267954493e-6
11.45476 -4.207528594577818e-6
11.46194 -4.217107708480915e-6
11.46913 -4.226656135819088e-6
11.47631 -4.236125022756783e-6
11.48349 -4.2455498561208545e-6
11.49067 -4.2549197384277135e-6
11.49785 -4.264234414929733e-6
11.50503 -4.273499651991401e-6
11.51221 -4.282709683168569e-6
11.51939 -4.291870143435746e-6
11.52657 -4.300986671774065e-6
11.53375 -4.310048000073342e-6
11.54094 -4.319066881866095e-6
11.54812 -4.328023492683137e-6
11.5553 -4.336936043414914e-6
11.56248 -4.345799145080112e-6
11.56966 -4.354607047260508e-6
11.57684 -4.363371011491377e-6
11.58402 -4.3720852843154524e-6
11.5912 -4.380749990074739e-6
11.59838 -4.389359735390516e-6
11.60556 -4.397930806710306e-6
11.61275 -4.4064642661955094e-6
11.61993 -4.41493613320694e-6
11.62711 -4.4233584363449595e-6
11.63429 -4.431742301561044e-6
11.64147 -4.440070971095301e-6
11.64865 -4.448355696172993e-6
11.65583 -4.456585227295031e-6
11.66301 -4.46478182966397e-6
11.67019 -4.472923237958531e-6
11.67737 -4.481031605500328e-6
11.68455 -4.489079497852197e-6
11.69174 -4.497105357379473e-6
11.69892 -4.505065058949332e-6
11.7061 -4.512986104292563e-6
11.71328 -4.520863083388263e-6
11.72046 -4.5286906042571115e-6
11.72764 -4.536484971802744e-6
11.73482 -4.544224367772555e-6
11.742 -4.5519306124062295e-6
11.74918 -4.559581781161718e-6
11.75636 -4.567194496263031e-6
11.76355 -4.574779075271713e-6
11.77073 -4.582309114999388e-6
11.77791 -4.589789484840933e-6
11.78509 -4.597236812180352e-6
11.79227 -4.604640177982102e-6
11.79945 -4.61199937984525e-6
11.80663 -4.619314621642984e-6
11.81381 -4.626596716542756e-6
11.82099 -4.633834753008713e-6
11.82817 -4.641028822833585e-6
11.83535 -4.648189750894673e-6
11.84254 -4.655311086102271e-6
11.84972 -4.662383837725707e-6
11.8569 -4.669423639429545e-6
11.86408 -4.676419278199286e-6
11.87126 -4.683370857717256e-6
11.87844 -4.690289488685686e-6
11.88562 -4.697163959808474e-6
11.8928 -4.704010990707826e-6
11.89998 -4.710808359543661e-6
11.90716 -4.717567167893726e-6
11.91435 -4.724302367576263e-6
11.92153 -4.730989526451577e-6
11.92871 -4.737638224198936e-6
11.93589 -4.7442482774109956e-6
11.94307 -4.750825284590571e-6
11.95025 -4.757358320248206e-6
11.95743 -4.763858219759009e-6
11.96461 -4.7703196566943926e-6
11.97179 -4.776742446053867e-6
11.97897 -4.783137701133148e-6
