 R   <X|H|X>   <A|H|A> 
10.00421 -0.008455440021848505 -0.009987193043145172
10.01139 -0.008410358224379976 -0.009987852909105149
10.01857 -0.008365456370769997 -0.00998851277359411
10.02575 -0.008320733832907838 -0.009989182646595927
10.03293 -0.008276201864629937 -0.009989852504010823
10.04011 -0.008231839222412234 -0.00999054237178485
10.0473 -0.008187605739415666 -0.009991223187082982
10.05448 -0.008143613851153152 -0.009991913054633558
10.06166 -0.008099811293332855 -0.009992612928144873
10.06884 -0.008056179287076604 -0.009993322784900302
10.07602 -0.008012726622634999 -0.009994022653846439
10.0832 -0.007969464504673536 -0.009994742510386189
10.09038 -0.007926372329346757 -0.009995452366011381
10.09756 -0.007883469499344726 -0.009996182229491158
10.10474 -0.007840737211070108 -0.009996902082462825
10.11192 -0.007798194271600607 -0.009997641941353823
10.11911 -0.007755762984469007 -0.009998372817455345
10.12629 -0.007713570777206877 -0.009999112678456656
10.13347 -0.007671557926751259 -0.009999862541434722
10.14065 -0.007629725605673416 -0.010000612391240076
10.14783 -0.007588072646587825 -0.010001362253245383
10.15501 -0.007546590213200097 -0.010002122102586464
10.16219 -0.007505287722047465 -0.010002881950711175
10.16937 -0.007464164603680415 -0.01000365180708066
10.17655 -0.007423212003694216 -0.010004421655615858
10.18373 -0.007382438775520699 -0.0100051915100175
10.19092 -0.007341789647545507 -0.010005972439979308
10.1981 -0.007301366557108637 -0.010006752294259715
10.20528 -0.007261113980336057 -0.01000753214315322
10.21246 -0.007221041348722724 -0.01000832198890095
10.21964 -0.007181148103245079 -0.010009111844533115
10.22682 -0.007141425358582402 -0.01000991168750741
10.234 -0.007101872009860347 -0.010010711540834698
10.24118 -0.00706248915691232 -0.01001151138325085
10.24836 -0.0070232862471331925 -0.01001231122411493
10.25554 -0.006984252743872234 -0.010013121069120452
10.26272 -0.006945389723347996 -0.010013940910348296
10.26991 -0.006906652350972692 -0.010014751895265786
10.27709 -0.00686812946573911 -0.010015571739218986
10.28427 -0.0068297865247875554 -0.01001639157653486
10.29145 -0.006791602998493875 -0.010017211428561294
10.29863 -0.006753599951740247 -0.010018041266907403
10.30581 -0.006715766322969266 -0.010018871115687321
10.31299 -0.006678093168387554 -0.01001970095188961
10.32017 -0.006640599958560839 -0.010020540786052187
10.32735 -0.006603266179841559 -0.010021380633726923
10.33453 -0.006566102863450511 -0.010022220470104275
10.34172 -0.006529057574893611 -0.010023061489772
10.3489 -0.0064922343904499445 -0.010023911327668524
10.35608 -0.006455581148300965 -0.010024761160971438
10.36326 -0.006419087343579847 -0.010025611006480693
10.37044 -0.006382754000227389 -0.010026460841492581
10.37762 -0.0063466000986148975 -0.01002732068638056
10.3848 -0.006310606649248336 -0.010028180518715188
10.39198 -0.006274772648456185 -0.010029040363404174
10.39916 -0.006239109094951018 -0.01002990019349146
10.40634 -0.006203605489129488 -0.010030770021467544
10.41352 -0.006168271337095053 -0.010031639864877592
10.42071 -0.006133048754070906 -0.010032510906192496
10.42789 -0.006098034735852515 -0.010033380753195426
10.43507 -0.006063191153670981 -0.01003426058211758
10.44225 -0.006028507514287043 -0.010035130412111093
10.44943 -0.0059939733470925835 -0.010036010254686391
10.45661 -0.005959609609040516 -0.010036890083507983
10.46379 -0.005925415343559919 -0.010037779922043088
10.47097 -0.005891371506657035 -0.010038669753247553
10.47815 -0.005857487616465409 -0.010039549577925962
10.48533 -0.005823763205424566 -0.010040449413886977
10.49252 -0.005790152576364003 -0.01004134048748903
10.4997 -0.005756738295064437 -0.010042240327380462
10.50688 -0.005723494428226784 -0.01004313015247066
10.51406 -0.005690400506935982 -0.010044029983667779
10.52124 -0.005657466080635658 -0.010044939820229656
