 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C> 
6.0 -0.045710024989000037 -0.04248853339000003 -0.034266626562 -0.03971898415299999
6.01 -0.045984289058515274 -0.04272454915059098 -0.03383006277552919 -0.039274451293483184
6.02 -0.04626027947409208 -0.04296232773212457 -0.03338582437550098 -0.038823423532359576
6.03 -0.04653799862591201 -0.04320186486351828 -0.032934138610590045 -0.038366121819810695
6.04 -0.04681744903289653 -0.04344315638922094 -0.032475238400435674 -0.037902772978029374
6.05 -0.04709863334270796 -0.04368619826921352 -0.032009362335641646 -0.03743360970121972
6.06 -0.04738155433174854 -0.04393098657900833 -0.031536754677776314 -0.03695887055559715
6.07 -0.047666214905161076 -0.04417751750964962 -0.031057665359372613 -0.03647879997938844
6.08 -0.047952618096828534 -0.044425787367713146 -0.030572349983928025 -0.03599364828283161
6.09 -0.048240767069374274 -0.044675792575306454 -0.03008106982590463 -0.03550367164817608
6.1 -0.04853066511416201 -0.044927529670068786 -0.02958409183072898 -0.03500913212968247
6.11 -0.04882231565129577 -0.04518099530517112 -0.029081688614792257 -0.03451029765362278
6.12 -0.04911572222961983 -0.04543618624931601 -0.028574138465450215 -0.034007442018280355
6.13 -0.049410693296730424 -0.0456929198622291 -0.028062402204005802 -0.03350142252468292
6.14 -0.04970605603876602 -0.04595011251723088 -0.02755076879096081 -0.032995929861030206
6.15 -0.050001605729410516 -0.04620757287867936 -0.027040049954815036 -0.0324916756293018
6.16 -0.05029733234432663 -0.04646528879923679 -0.026530374881835142 -0.03198878827650038
6.17 -0.050593225911833566 -0.046723248180574835 -0.026021873855605854 -0.03148739736387608
6.18 -0.05088927651290654 -0.04698143897337417 -0.025514678257030222 -0.03098763356692667
6.19 -0.051185474281177236 -0.0472398491773249 -0.025008920564329608 -0.030489628675397652
6.2 -0.05148180940293316 -0.04749846684112592 -0.024504734353043674 -0.029993515593282137
6.21 -0.05177827211711844 -0.047757280062485696 -0.02400225429603031 -0.029499428338820858
6.22 -0.052074852715333235 -0.048016276988121706 -0.023501616163465664 -0.029007502044502177
6.23 -0.052371541541834016 -0.04827544581376068 -0.023002956822844173 -0.02851787295706207
6.24 -0.052668328993533284 -0.048534774784138396 -0.022506414238978634 -0.028030678437484264
6.25 -0.05296520552000002 -0.048794252193000015 -0.02201212747400001 -0.027546056961000005
6.26 -0.053262161623459224 -0.049053866383099734 -0.02152023668735757 -0.02706414811708821
6.27 -0.053559187858792254 -0.049313605746201056 -0.021030883135818874 -0.02658509260947545
6.28 -0.05385627483353673 -0.049573458723076676 -0.02054420917346973 -0.026109032256135895
6.29 -0.054153413207886206 -0.04983341380350826 -0.020060358251714296 -0.02563610998929144
6.3 -0.054450593694690755 -0.05009345952628691 -0.01957947491927494 -0.02516646985541155
6.31 -0.05474780705945659 -0.050353584479212836 -0.019101704822192304 -0.02470025701521332
6.32 -0.05504504412034614 -0.05061377729909542 -0.018627194703825276 -0.024237617743661462
6.33 -0.055342295748177985 -0.050874026671753204 -0.018156092404851148 -0.023778699429968433
6.34 -0.05563955286642704 -0.05113432133201401 -0.017688546863265372 -0.023323650577594245
6.35 -0.05593680645122436 -0.05139465006371474 -0.017224708114381707 -0.02287262080424655
6.36 -0.05623404753135739 -0.05165500169970166 -0.01676472729083214 -0.022425760841880613
6.37 -0.05653126718826942 -0.051915365121829884 -0.016308756622567068 -0.021983222536699456
6.38 -0.056828208350733295 -0.05217550909945834 -0.015858640351830728 -0.021546700547287065
6.39 -0.05712336690059203 -0.052434098147762134 -0.015424427052089693 -0.021125349366981423
6.4 -0.05741647045955281 -0.0526908923198666 -0.01500732675350019 -0.020720233537962977
6.41 -0.057707494434416494 -0.052945871714934575 -0.014606842850892619 -0.020330860464739052
6.42 -0.057996414490818486 -0.053199016709832535 -0.01422249118188595 -0.019956750102782223
6.43 -0.058283206553228335 -0.053450307959130125 -0.013853800026887792 -0.0195974349585303
6.44 -0.05856784680495052 -0.05369972639510101 -0.013500310109094455 -0.019252460089386494
6.45 -0.05885031168812314 -0.053947253227721544 -0.013161574594490934 -0.018921383103719294
6.46 -0.059130577903719256 -0.05419286994467212 -0.012837159091850825 -0.018603774160862462
6.47 -0.05940862241154615 -0.05443655831133642 -0.012526641652736406 -0.018299215971115074
6.48 -0.05968442243024552 -0.054678300370801576 -0.012229612771498605 -0.018007303795741517
6.49 -0.0599579554372933 -0.054918078443858064 -0.011945675385277047 -0.01772764544697149
6.5 -0.06022919916900001 -0.055155875129000005 -0.011674444873999995 -0.017459861288
6.51 -0.06049813162051045 -0.05539167330242487 -0.011415549060384335 -0.017203584232987304
6.52 -0.060764731045803835 -0.05562545611803358 -0.011168628209935638 -0.016958459747058997
6.53 -0.061028975957693875 -0.05585720700743067 -0.010933335030948139 -0.01672414584630599
6.54 -0.0612908451278284 -0.05608690967992384 -0.010709334674504748 -0.01650031309778448
6.55 -0.06155031758668987 -0.05631454812252446 -0.010496304734477008 -0.01628664461951598
6.56 -0.06180737262359502 -0.05654010659994732 -0.010293935247525112 -0.016082836080487273
6.57 -0.06206198978669514 -0.05676356965461075 -0.01010192869309793 -0.015888595700650474
6.58 -0.06231414888297559 -0.056984922106636256 -0.009919999993433007 -0.015703644250923
6.59 -0.06256382997825645 -0.05720414905384915 -0.009747876513556516 -0.015527715053187568
6.6 -0.06281101339719193 -0.057421235871777894 -0.009585298061283302 -0.015360553980292178
6.61 -0.06305567972327088 -0.0576361682136547 -0.009432016887216855 -0.015201919456050145
6.62 -0.06329780979881634 -0.057848932010415036 -0.009287797684749358 -0.015051582455240112
6.63 -0.06353723131122503 -0.05805935991743002 -0.009151942994726714 -0.014908889558734898
6.64 -0.06377300208469047 -0.05826651320979043 -0.009021433051938605 -0.014771052325375034
6.65 -0.06400494262840836 -0.05847021524845619 -0.008895688063203039 -0.014637532434399901
6.66 -0.06423302698577939 -0.05867044297248794 -0.008774610284657033 -0.01450823589047922
6.67 -0.064457229664171 -0.05886717378200469 -0.008658104982367132 -0.01438307175307635
6.68 -0.06467752563491655 -0.059060385538183074 -0.008546080432329382 -0.014261952136448253
6.69 -0.06489389033331618 -0.0592500565632582 -0.008438447920469426 -0.014144792209645603
6.7 -0.06510629965863587 -0.05943616564052271 -0.008335121742642415 -0.014031510196512678
6.71 -0.06531472997410837 -0.0596186920143276 -0.008236019204633047 -0.013922027375687438
6.72 -0.06551915810693261 -0.05979761539008184 -0.008141060622155576 -0.013816268080601483
6.73 -0.06571956134827381 -0.05997291593425233 -0.008050169320853761 -0.013714159699480036
6.74 -0.0659159174532636 -0.060144574274364024 -0.007963271636300947 -0.013615632675342028
6.75 -0.066108204641 -0.060312571499 -0.007880296914 -0.013520620506
6.76 -0.0662964015945473 -0.060476889157801264 -0.007801177509383321 -0.013429059744060147
6.77 -0.06648048746093606 -0.06063750926146674 -0.007725848787812846 -0.013340889996922307
6.78 -0.0666604418511635 -0.06079441428175373 -0.007654249124580088 -0.013256053926780014
6.79 -0.06683624484019267 -0.06094758715147705 -0.007586319904906057 -0.013174497250620384
6.8 -0.06700787696695343 -0.06109701126450999 -0.007522005523941335 -0.01309616874022424
6.81 -0.06717531923434183 -0.061242670475783724 -0.007461253386766034 -0.013021020222166028
6.82 -0.0673385531092202 -0.06138454910128732 -0.007404013908389805 -0.012949006577813846
6.83 -0.06749756052241719 -0.061522631918067956 -0.00735024051375184 -0.012880085743329455
6.84 -0.06765232386872794 -0.061656904164230905 -0.007299889637720888 -0.012814218709668266
6.85 -0.06780282600691379 -0.06178735153893934 -0.0072529207250952125 -0.012751369522579306
6.86 -0.0679490502597026 -0.06191396020241464 -0.007209296230602643 -0.012691505282605315
6.87 -0.06809098041378829 -0.062036716775935884 -0.007168981618900529 -0.012634596145082612
6.88 -0.06822845560951595 -0.06215545833465431 -0.007131495513927416 -0.012580207754444192
6.89 -0.0683605882104831 -0.06226926960624643 -0.007094121797969803 -0.012525880943610894
6.9 -0.06848721412240646 -0.062377981655081446 -0.0070564129764667215 -0.012471211373786496
6.91 -0.06860831492734958 -0.062481575992666565 -0.007018372814195304 -0.01241620351634132
6.92 -0.06872387296725474 -0.06258003488463385 -0.006980005145400555 -0.012360861918137619
6.93 -0.06883387134394203 -0.0626733413507393 -0.006941313873795346 -0.012305191201529538
6.94 -0.06893829391911031 -0.06276147916486383 -0.006902302972560423 -0.012249196064363144
6.95 -0.06903712531433615 -0.06284443285501222 -0.006862976484344396 -0.012192881279976399
6.96 -0.06913035091107483 -0.0629221877033141 -0.006823338521263746 -0.012136251697199188
6.97 -0.06921795685065975 -0.06299472974602334 -0.006783393264902827 -0.012079312240353288
6.98 -0.06929993003430257 -0.06306204577351818 -0.006743144966313856 -0.012022067909252403
6.99 -0.06937625812309325 -0.06312412333030137 -0.006702597946016926 -0.011964523779202128
7.0 -0.06944692953799997 -0.06318095071499998 -0.006661756593999996 -0.011906685000999988
7.01 -0.06951193345986935 -0.0632325169803656 -0.006620625369718901 -0.011848556800935417
7.02 -0.06957125982942602 -0.0632788119332741 -0.006579208802097328 -0.011790144480789709
7.03 -0.06962489934727321 -0.06331982613472593 -0.006537511489526857 -0.011731453417836145
7.04 -0.06967284347389208 -0.06335555089984575 -0.006495538099866916 -0.011672489064839845
7.05 -0.06971508442964233 -0.06338597829788283 -0.006453293370444819 -0.011613256950057878
7.06 -0.06975161519476175 -0.06341110115221064 -0.006410782108055738 -0.01155376267723921
7.07 -0.06978242950936661 -0.06343091304032733 -0.006368009188962729 -0.011494011925624728
7.08 -0.06980752187345123 -0.06344540829385521 -0.006324979558896692 -0.011434010449947194
7.09 -0.06982688754688836 -0.06345458199854113 -0.006281698233056428 -0.011373764080431323
7.1 -0.06984052254942895 -0.06345842999425634 -0.006238170296108577 -0.011313278722793703
7.11 -0.06984842366070235 -0.06345694887499657 -0.006194400902187673 -0.011252560358242849
7.12 -0.06985058842021588 -0.0634501359888817 -0.00615039527489611 -0.011191615043479191
7.13 -0.06984702854965802 -0.06343800525976473 -0.0061062032405193225 -0.011130491678271749
7.14 -0.06983782361503424 -0.06342065029662809 -0.006062095515562058 -0.011069451163300135
7.15 -0.06982298677317736 -0.06339808606322664 -0.0060181173162229575 -0.011008537629068317
7.16 -0.0698025184864914 -0.0633703124062316 -0.005974269127513713 -0.010947752239762559
7.17 -0.06977641994764602 -0.06333732989587339 -0.005930551440182604 -0.010887096172010752
7.18 -0.06974469307957568 -0.06329913982594101 -0.005886964750714414 -0.010826570614882292
7.19 -0.0697073405354805 -0.06325574421378272 -0.005843509561330532 -0.01076617676988822
7.2 -0.06966436569882543 -0.06320714580030531 -0.005800186379988871 -0.010705915850981079
7.21 -0.06961577268334099 -0.06315334804997476 -0.005756995720383905 -0.01064578908455504
7.22 -0.06956156633302273 -0.06309435515081581 -0.005713938101946673 -0.01058579770944583
7.23 -0.06950175222213155 -0.06303017201441215 -0.005671014049844756 -0.010525942976930741
7.24 -0.0694363366551935 -0.06296080427590635 -0.0056282240949822974 -0.010466226150728647
7.25 -0.06936532666699996 -0.06288625829399996 -0.005585568774 -0.010406648506999999
7.26 -0.06928873002260755 -0.06280654115095341 -0.0055430486292751095 -0.010347211334346816
7.27 -0.06920655521733797 -0.06272166065258589 -0.00550066420892143 -0.010287915933812671
7.28 -0.06911881147677841 -0.06263162532827575 -0.0054584160667893325 -0.010228763618882766
7.29 -0.06902550875678098 -0.06253644443095994 -0.005416304762465729 -0.010169755715483812
7.3 -0.06892665774346336 -0.06243612793713464 -0.005374330861274092 -0.010110893561984137
7.31 -0.06882226985320822 -0.06233068654685466 -0.005332494934274449 -0.010052178509193625
7.32 -0.06871235723266365 -0.06222013168373394 -0.005290797558263381 -0.009993611920363733
7.33 -0.06859693275874276 -0.06210447549494508 -0.005249239315774023 -0.0099351951711875
7.34 -0.0684760100386242 -0.061983730851219894 -0.005207820795076075 -0.009876929649799535
7.35 -0.06834960340975153 -0.06185791134684875 -0.0051665425901757725 -0.009818816756776011
7.36 -0.0682177279398338 -0.06172703129968124 -0.005125405300815927 -0.009760857905134692
7.37 -0.06808039942684514 -0.061591105751125634 -0.005084409532475895 -0.009703054520334901
7.38 -0.06793766853968833 -0.061450187353657135 -0.005043621161297645 -0.009645469164633267
7.39 -0.06778975700032633 -0.06130451343766387 -0.00500342921889267 -0.009588466898910297
7.4 -0.06763671592752607 -0.06115413682883279 -0.004963891528440072 -0.009532102347146307
7.41 -0.06747856291551961 -0.06099907406171093 -0.0049250003936414325 -0.009476368767066456
7.42 -0.06731531621541892 -0.06083934231933661 -0.004886748218380878 -0.009421259524897389
7.43 -0.06714699473521582 -0.06067495943323963 -0.004849127506725065 -0.009366768095367125
7.44 -0.06697361803978191 -0.06050594388344095 -0.004812130862923199 -0.009312888061705176
7.45 -0.0667952063508686 -0.06033231479845294 -0.004775750991407013 -0.00925961311564245
7.46 -0.06661178054710717 -0.060154091955279355 -0.004739980696790793 -0.009206937057411303
7.47 -0.0664233621640087 -0.059971295779415144 -0.004704812883871355 -0.00915485379574554
7.48 -0.06622997339396422 -0.05978394734484685 -0.004670240557628053 -0.009103357347880384
7.49 -0.06603163708624442 -0.05959206837405207 -0.004636256823222788 -0.009052441839552498
7.5 -0.06582837674699997 -0.05939568123799997 -0.004602854885999998 -0.009002101504999999
7.51 -0.0656202165392613 -0.059194808956150924 -0.004570028051486661 -0.008952330686962415
7.52 -0.06540718128293863 -0.058989475196456614 -0.004537769725392283 -0.008903123836680715
7.53 -0.06518929645482219 -0.05877970427536026 -0.00450607341360893 -0.008854475513897331
7.54 -0.06496658818858178 -0.058565521157796174 -0.004474932722211186 -0.008806380386856083
7.55 -0.06473908327476727 -0.05834695145719014 -0.004444341357456194 -0.008758833232302273
7.56 -0.06450680916080821 -0.05812402143545927 -0.004414293125783619 -0.008711828935482608
7.57 -0.0642697939510141 -0.05789675800301204 -0.0043847819338156775 -0.008665362490145247
7.58 -0.06402806640657417 -0.05766518871874816 -0.0043558017883571195 -0.008619428998539787
7.59 -0.06378165594555758 -0.05742934179005885 -0.004327346796395241 -0.008574023671417248
7.6 -0.0635305926429132 -0.05718924607282646 -0.004299411165099866 -0.008529141828030088
7.61 -0.06327490723046991 -0.05694493107142487 -0.0042719892018233665 -0.00848477889613222
7.62 -0.0630146310969362 -0.056696426938719166 -0.004245075314100649 -0.008440930411978968
7.63 -0.06274998865604048 -0.056443952263796254 -0.004218645101399955 -0.008397578370196045
7.64 -0.06248216301973092 -0.056188661302291124 -0.004192580436332413 -0.008354637074243106
7.65 -0.0622113700307701 -0.055930763747885665 -0.004166858911692216 -0.00831208985441746
7.66 -0.06193763306903636 -0.05567028139399392 -0.004141477147462952 -0.008269933786110082
7.67 -0.061660975834805044 -0.05540723635019089 -0.004116431801922787 -0.00822816598821059
7.68 -0.06138142234874803 -0.055141651042212116 -0.004091719571644458 -0.008186783623107215
7.69 -0.061098996951934145 -0.05487354821195412 -0.004067337191495302 -0.00814578389668684
7.7 -0.06081372430582892 -0.05460295091747409 -0.004043281434637211 -0.008105164058334956
7.71 -0.06052562939229458 -0.05432988253298996 -0.004019549112526674 -0.00806492140093572
7.72 -0.06023473751359036 -0.05405436674888063 -0.0039961370749147535 -0.008025053260871887
7.73 -0.05994107429237194 -0.053776427571685485 -0.00397304220984709 -0.007985557018024864
7.74 -0.059644665671691986 -0.05349608932410488 -0.0039502614436639025 -0.007946430095774676
7.75 -0.05934553791499998 -0.053213376644999984 -0.003927791741 -0.007907669961000001
7.76 -0.05904371760614204 -0.052928314489392614 -0.0039056301047847583 -0.007869274124078122
7.77 -0.058739231649361116 -0.05264092812846543 -0.0038837735762421357 -0.00783124013888498
7.78 -0.058432107269296936 -0.052351243149561855 -0.0038622192348906764 -0.007793565602795124
7.79 -0.058122372010985954 -0.052059285456186065 -0.003840964198543494 -0.0077562481566817495
7.8 -0.05781005373986151 -0.051765081268003096 -0.003820005623308294 -0.007719285484916691
7.81 -0.05749518064175357 -0.051468657120838625 -0.003799340703587349 -0.007682675315370394
7.82 -0.05717778122288893 -0.05117003986667918 -0.003778966672077519 -0.007646415419411949
7.83 -0.05685788430989124 -0.05086925667367212 -0.003758880799770241 -0.007610503611909074
7.84 -0.05653551904978088 -0.05056633502612555 -0.003739080395951532 -0.007574937751228127
7.85 -0.05621071490997485 -0.0502613027245082 -0.0037195628082019863 -0.007539715739234088
7.86 -0.05588350167828722 -0.04995418788544986 -0.0037003254223967833 -0.007504835521290574
7.87 -0.05555390946292856 -0.04964501894174085 -0.0036813656627056744 -0.0074702950862598275
7.88 -0.05522215482641431 -0.049334005202992685 -0.003662660588598946 -0.007436077095894284
7.89 -0.05488938008803041 -0.049022253795278345 -0.0036440858804393955 -0.007402087733210349
7.9 -0.05455578896221932 -0.0487099609953717 -0.0036256201841053295 -0.007368310574097036
7.91 -0.05422139855183583 -0.048397142033798225 -0.0036072626206365135 -0.007334744610982069
7.92 -0.05388622605890935 -0.048083812240196054 -0.0035890123161516803 -0.007301388844736718
7.93 -0.05355028878464322 -0.04776998704331535 -0.0035708684018485124 -0.007268242284675779
7.94 -0.05321360412941569 -0.04745568197101916 -0.0035528300140036605 -0.007235303948557611
7.95 -0.052876189592779003 -0.0471409126502826 -0.0035348962939727225 -0.007202572862584089
7.96 -0.05253806277345997 -0.046825694807193445 -0.0035170663881902617 -0.007170048061400637
7.97 -0.05219924136935979 -0.0465100442669518 -0.0034993394481698014 -0.007137728588096231
7.98 -0.051859743177554034 -0.046193976953870265 -0.0034817146305038188 -0.007105613494203366
7.99 -0.05151958609429261 -0.045877508891373805 -0.0034641910968637537 -0.007073701839698094
8.0 -0.051178788115000005 -0.045560656202000005 -0.003446768014000001 -0.007041992693000002
8.01 -0.05083736733427481 -0.04524343510739859 -0.003429444553741914 -0.00701048513097221
8.02 -0.050495341945890275 -0.04492586192833199 -0.0034122198929978104 -0.006979178238921392
8.03 -0.05015273024279386 -0.04460795308467491 -0.003395093213754957 -0.006948071110597744
8.04 -0.04980955061710748 -0.04428972509541451 -0.003378063703079591 -0.006917162848195023
8.05 -0.04946582156012742 -0.04397119457865044 -0.003361130553116895 -0.006886452562350513
8.06 -0.049121561662324474 -0.04365237825159481 -0.003344292961091021 -0.006855939372145039
8.07 -0.04877678961334372 -0.04333329293057214 -0.0033275501293050756 -0.006825622405102973
8.08 -0.048431524202004625 -0.04301395553101933 -0.0033109012651411224 -0.006795500797192224
8.09 -0.04808578431630102 -0.0426943830674857 -0.0032943455810601845 -0.00676557369282423
8.1 -0.04773958894340124 -0.04237459265363314 -0.003277882294602245 -0.00673584024485399
8.11 -0.04739295716964788 -0.04205460150223583 -0.003261510628386241 -0.00670629961458002
8.12 -0.047045908180558 -0.04173442692518046 -0.0032452298101100763 -0.006676950971744398
8.13 -0.04669860806742657 -0.04141422380552643 -0.0032290379351904066 -0.006647800925316512
8.14 -0.04635195202658426 -0.04109482979189091 -0.003212927485645021 -0.006618893284885647
8.15 -0.04600609345445972 -0.04077638792499016 -0.00319689674059996 -0.006590234770758784
8.16 -0.0456610383949266 -0.0404589032661547 -0.003180945127233718 -0.006561824678914414
8.17 -0.04531679290263866 -0.040142380889123 -0.0031650720757835146 -0.006533662307402817
8.18 -0.0449733630430296 -0.03982682588004134 -0.0031492770195452706 -0.006505746956345998
8.19 -0.04463075489231307 -0.03951224333746376 -0.0031335593948736288 -0.006478077927937734
8.2 -0.04428897453748276 -0.03919863837235223 -0.0031179186411819403 -0.006450654526443554
8.21 -0.04394802807631223 -0.03888601610807644 -0.0031023542009422675 -0.006423476058200727
8.22 -0.04360792161735516 -0.038574381680414035 -0.0030868655196853905 -0.006396541831618298
8.23 -0.04326866127994505 -0.03826374023755035 -0.0030714520460008005 -0.006369851157177047
8.24 -0.0429302531941955 -0.03795409694007866 -0.003056113231536699 -0.0063434033474295175
8.25 -0.04259270350099998 -0.03764545696099998 -0.003040848531000001 -0.006317197717
8.26 -0.042256018352032035 -0.037337825485723224 -0.0030256574021563357 -0.00629123358258455
8.27 -0.04192020390974508 -0.03703120771206507 -0.003010539305830042 -0.006265510262950961
8.28 -0.04158526634737258 -0.03672560885025005 -0.0029954937059041777 -0.0062400270789387865
8.29 -0.041251211848928014 -0.0364210341229106 -0.0029805200693205055 -0.006214783353459338
8.3 -0.04091804660920466 -0.03611748876508681 -0.0029656178660795083 -0.006189778411495684
8.31 -0.04058577683377599 -0.03581497802422678 -0.0029507865692403753 -0.006165011580102637
8.32 -0.04025440873899535 -0.03551350716018636 -0.002936025654921017 -0.0061404821884067625
8.33 -0.03992394855199602 -0.03521308144522919 -0.002921334602298047 -0.006116189567606392
8.34 -0.03959440251069129 -0.034913706164026774 -0.0029067128936067976 -0.0060921330509716
8.35 -0.0392657768637745 -0.03461538661365852 -0.0028921600141413074 -0.006068311973844211
8.36 -0.038938077870718776 -0.034318128103611456 -0.002877675452254338 -0.006044725673637818
8.37 -0.038611311801777425 -0.03402193595578065 -0.002863258699357354 -0.006021373489837755
8.38 -0.03828560724321643 -0.03372693015785966 -0.002848909885647475 -0.005998263272764438
8.39 -0.03796169951201006 -0.03343379951347463 -0.0028346323369732814 -0.005975445430056757
8.4 -0.037639704933106824 -0.033142652627607586 -0.00282042622488608 -0.0059529278446216315
8.41 -0.037319617002460496 -0.03285348296646714 -0.0028062910890041194 -0.005930709892501945
8.42 -0.03700142922627831 -0.03256628400677644 -0.002792226471171285 -0.005908790950339185
8.43 -0.036685135121020784 -0.03228104923577313 -0.0027782319154570803 -0.005887170395373424
8.44 -0.03637072821340175 -0.03199777215120924 -0.0027643069681566445 -0.0058658476054433365
8.45 -0.03605820204038862 -0.03171644626135152 -0.002750451177790746 -0.005844821958986182
8.46 -0.03574755014920184 -0.031437065084980884 -0.0027366640951057694 -0.0058240928350378075
8.47 -0.035438766097315576 -0.031159622151393104 -0.0027229452730737442 -0.005803659613232668
8.48 -0.03513184345245715 -0.030884111000398243 -0.0027092942668923187 -0.0057835216738038025
8.49 -0.034826775792607255 -0.030610525182320845 -0.0026957106339847697 -0.005763678397582837
8.5 -0.034523556706 -0.030338858258 -0.0026821939340000004 -0.005744129166000002
8.51 -0.03422217979112284 -0.03006910379878929 -0.0026687437288125467 -0.0057248733610841115
8.52 -0.033922638656716596 -0.029801255386556785 -0.0026553595825225683 -0.005705910365462575
8.53 -0.0336249269217754 -0.029535306613685 -0.002642041061455856 -0.00568723956236139
8.54 -0.0333290382155469 -0.029271251083071076 -0.0026287877341638313 -0.005668860335605166
8.55 -0.0330349661775319 -0.029009082408126465 -0.002615599171423535 -0.005650772069617074
8.56 -0.03274270445748477 -0.02874879421277729 -0.002602474946237643 -0.005632974149418906
8.57 -0.03245224671541314 -0.02849038013146409 -0.0025894146338344623 -0.0056154659606310366
8.58 -0.03216358662157801 -0.028233833809141875 -0.0025764178116679205 -0.005598246889472426
8.59 -0.03187671785649374 -0.027979148901280164 -0.0025634840594175737 -0.005581316322760632
8.6 -0.03159163411092808 -0.027726319073862978 -0.0025506129589886128 -0.005564673647911811
8.61 -0.031308329085902115 -0.027475338003388836 -0.002537804094511849 -0.0055483182529407
8.62 -0.0310267964926903 -0.02722619937687072 -0.0025250570523437277 -0.005532249526460643
8.63 -0.030747067350164015 -0.02697893613011682 -0.0025123728442802964 -0.0055164688164105035
8.64 -0.03046935752006678 -0.02673377593585083 -0.0024997595761668302 -0.005500987431640285
8.65 -0.03019369382448558 -0.026490748016656244 -0.00248721820223242 -0.005485807147342401
8.66 -0.02992006563314824 -0.026249842222698327 -0.0024747482529194342 -0.00547092779929214
8.67 -0.029648462344949948 -0.026011048433168652 -0.0024623492607893246 -0.005456349224058927
8.68 -0.029378873387953197 -0.02577435655628507 -0.0024500207605226074 -0.005442071259006302
8.69 -0.02911128821938775 -0.025539756529291618 -0.0024377622889188814 -0.0054280937422919555
8.7 -0.02884569632565067 -0.025307238318458623 -0.0024255733848968174 -0.005414416512867691
8.71 -0.02858208722230634 -0.025076791919082672 -0.002413453589494153 -0.005401039410479448
8.72 -0.028320450454086495 -0.02484840735548664 -0.002401402445867711 -0.005387962275667294
8.73 -0.028060775594890102 -0.024622074681019596 -0.0023894194992933834 -0.00537518494976543
8.74 -0.027803052247783417 -0.024397783978056857 -0.0023775042971661327 -0.005362707274902183
8.75 -0.02754727004500001 -0.024175525358000008 -0.0023656563890000013 -0.005350529094000002
8.76 -0.02729341864794082 -0.02395528896127694 -0.002353875326428099 -0.00533865025077548
8.77 -0.02704148774717396 -0.023737064957341694 -0.0023421606632026168 -0.005327070589739325
8.78 -0.026791467062434977 -0.023520843544674663 -0.0023305119551948156 -0.005315789956196387
8.79 -0.026543346342626638 -0.023306614950782446 -0.002318928760395032 -0.005304808196245644
8.8 -0.026297115365818993 -0.02309436943219785 -0.002307410638912674 -0.005294125156780196
8.81 -0.0260527639392495 -0.02288409727448007 -0.002295957152976227 -0.005283740685487272
8.82 -0.02581028189932285 -0.022675788792214456 -0.0022845678669332512 -0.005273654630848246
8.83 -0.025569659111610996 -0.022469434329012595 -0.002273242347250377 -0.005263866842138602
8.84 -0.025330885470853246 -0.022265024257512374 -0.002261980162513309 -0.00525437716942796
8.85 -0.025093950900956192 -0.022062548979377913 -0.00225078088342683 -0.005245185463580077
8.86 -0.024858845354993695 -0.021861998925299567 -0.0022396440828147918 -0.00523629157625283
8.87 -0.024625558815206984 -0.021663364554993986 -0.002228569335620123 -0.005227695359898226
8.88 -0.024394106456239677 -0.021466664540451496 -0.0022175577244378394 -0.005219398570393308
8.89 -0.024164628099773235 -0.021272057476098775 -0.0022066178306201795 -0.005211412654147368
8.9 -0.02393713592798698 -0.021079559489970038 -0.002195750661874061 -0.005203739820585282
8.91 -0.023711616877536267 -0.020889158464571043 -0.0021849557193547114 -0.005196380398213167
8.92 -0.02348805793639428 -0.020700842334249514 -0.0021742325066527266 -0.005189334717656498
8.93 -0.023266446143851836 -0.02051459908519493 -0.002163580529794048 -0.005182603111660091
8.94 -0.023046768590517575 -0.02033041675543872 -0.002152999297239979 -0.005176185915088107
8.95 -0.022829012418317838 -0.020148283434854145 -0.0021424883198871746 -0.005170083464924057
8.96 -0.02261316482049664 -0.019968187265156277 -0.0021320471110676466 -0.005164296100270803
8.97 -0.022399213041615865 -0.019790116439902163 -0.002121675186548763 -0.005158824162350542
8.98 -0.022187144377555052 -0.019614059204490657 -0.002111372064533252 -0.005153667994504833
8.99 -0.021976946175511426 -0.01944000385616241 -0.002101137265659186 -0.005148827942194574
9.0 -0.021768605834000008 -0.01926793874400001 -0.002090970312999999 -0.005144304353
9.01 -0.021562110802853546 -0.01909785226892789 -0.0020808707320644853 -0.0051400975766207144
9.02 -0.021357448583222492 -0.018929732883712323 -0.0020708380507967867 -0.005136207964875646
9.03 -0.021154606727575086 -0.018763569092961493 -0.002060871799576406 -0.005132635871703092
9.04 -0.020953572839697256 -0.018599349453125406 -0.002050971511218198 -0.005129381653160678
9.05 -0.020754334574692654 -0.01843706257249592 -0.0020411367209723767 -0.005126445667425386
9.06 -0.020556879638982724 -0.018276697111206802 -0.0020313669665245086 -0.005123828274793538
9.07 -0.02036119579030662 -0.018118241781233665 -0.0020216617879955175 -0.005121529837680817
9.08 -0.020167270837721196 -0.017961685346393957 -0.002012020727941683 -0.005119550720622239
9.09 -0.019975092641601026 -0.017807016622346964 -0.0020024433313546347 -0.005117891290272168
9.1 -0.01978464911363852 -0.017654224476593944 -0.0019929291456613693 -0.005116551915404321
9.11 -0.019595928216843715 -0.017503297828477902 -0.001983477720724225 -0.005115532966911759
9.12 -0.019408917965544434 -0.017354225649183763 -0.001974088608840908 -0.00511483481780689
9.13 -0.019223602873518944 -0.017206995903189123 -0.0019647612585299893 -0.005114458752115317
9.14 -0.019039949900845097 -0.01706159158697929 -0.0019554946029685235 -0.005114410749404987
