 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C> 
0.76 -0.01997663097551617 -0.019704892980208277 -5.983259781235179e-7 -0.0008742547072128346
0.77 -0.021009697880341873 -0.02077903063816844 -2.6563627465383367e-6 -0.0008728105887577877
0.78 -0.022073063333076594 -0.021890094263845385 -6.599553200227696e-6 -0.0008756840918122804
0.79 -0.023167254698669325 -0.023038876982207815 -1.2894479759397247e-5 -0.0008838524119183049
0.8 -0.024292821122418602 -0.024226252307228267 -2.2048864369475114e-5 -0.0008984178309824189
0.81 -0.02545033352997248 -0.025453174141883105 -3.461156850111179e-5 -0.0009206077172757495
0.82 -0.026640384627328498 -0.02672067677815246 -5.117259315018014e-5 -0.0009517745254339911
0.83 -0.027863588900833864 -0.02802987489702045 -7.236307883777581e-5 -0.0009933957964574091
0.84 -0.029120582617185177 -0.029381963568474865 -9.885530561021647e-5 -0.0010470741577108338
0.85 -0.030412023823428634 -0.030778218251507405 -0.0001313626930390426 -0.0011145373229236662
0.86 -0.03173859234695994 -0.032219994794113575 -0.0001706398002210167 -0.0011976380921898744
0.87 -0.03310098979552436 -0.033708729433292714 -0.00021748232577812398 -0.0012983543519679943
0.88 -0.034499914496631874 -0.03524561552493199 -0.00027258763511316537 -0.0014186335944600078
0.89 -0.03593583461536853 -0.03683018057946013 -0.0003358575223967819 -0.0015594788965514249
0.9 -0.03740915913619829 -0.03846343156376987 -0.00040770161129773054 -0.0017223085962731137
0.91 -0.038920312388505164 -0.040146736018262824 -0.0004886685007654602 -0.0019087273800497508
0.92 -0.04046972268635983 -0.04188151260861496 -0.0005793212188218654 -0.002120401943365437
0.93 -0.042057822328519595 -0.04366923112577649 -0.0006802372225612867 -0.0023590609907637016
0.94 -0.04368504759842854 -0.04551141248597206 -0.0007920083981505094 -0.0026264952358475008
0.95 -0.04535183876421738 -0.04740962873070059 -0.0009152410608287702 -0.002924557401279225
0.96 -0.047058640078703355 -0.04936550302673517 -0.001050555954907746 -0.0032551622187806805
0.97 -0.048805899779390594 -0.05138070966612342 -0.0011985882537715621 -0.003620286429133106
0.98 -0.05059407008846972 -0.05345697406618713 -0.001359987559876791 -0.004021968782177168
0.99 -0.05242360721281819 -0.055596072769522505 -0.001535417904752448 -0.004462310036812956
1.0 -0.05429497134399997 -0.05779983344399997 -0.0017255577489999987 -0.004943472960999996
1.0833333333333333 -0.07157943349772757 -0.07894335859098578 -0.003978448973072696 -0.010853911567280237
1.1666666666666667 -0.09190654683018395 -0.10538349875410374 -0.007672379244444457 -0.020710461567880284
1.25 -0.11422318071599992 -0.13396096438199992 -0.012668763317999994 -0.031769509086
1.375 -0.15029572502034322 -0.1769894943490289 -0.022514294981661645 -0.04688420464747832
1.5 -0.17861359900899992 -0.2082534727359999 -0.033851749408999994 -0.058457917663999985
1.51 -0.18000931831740946 -0.20971993872954522 -0.0347429317192434 -0.05920123934563269
1.52 -0.18126553591962252 -0.21102184674311056 -0.03562841402209661 -0.05991388295899318
1.53 -0.182380738498147 -0.21215767369327865 -0.03650755135426259 -0.06059526435858393
1.54 -0.18335359113755054 -0.21312610550706568 -0.03737971155939222 -0.0612448424599227
1.55 -0.18418293732446123 -0.21392603712192207 -0.0382442752880844 -0.061862119239542525
1.56 -0.18486779894756744 -0.21455657248573226 -0.03910063599788594 -0.06244663973499166
1.57 -0.18540737629761747 -0.21501702455681426 -0.039948199953291595 -0.06299799204483368
1.58 -0.18580104806742 -0.2153069153039204 -0.04078638622574414 -0.0635158073286475
1.59 -0.1860483713518439 -0.21542597570623673 -0.04161462669363425 -0.06399975980702717
1.6 -0.18614908164781804 -0.2153741457533832 -0.042432366042300496 -0.06444956676158203
1.61 -0.18610309285433208 -0.2151515744454143 -0.043239061764029633 -0.06486498853493697
1.62 -0.18591049727243503 -0.21475861979281755 -0.04403418415805613 -0.0652458285307318
1.63 -0.18558248166515787 -0.21420738165314154 -0.04481478893018062 -0.065590128541362
1.64 -0.18518483357126436 -0.21356765124742894 -0.045565624182448985 -0.06588680428972862
1.65 -0.18472861785009595 -0.2128514002234053 -0.046283322365958335 -0.0661336262167279
1.66 -0.1842140029315017 -0.2120591028780485 -0.04696697306477371 -0.06633022458979203
1.67 -0.18364119141831212 -0.2111912859354026 -0.047615716768011344 -0.06647630162911947
1.68 -0.1830104200863393 -0.2102485285465779 -0.048228744869838906 -0.06657163150767548
1.69 -0.18232195988437738 -0.20923146228975098 -0.048805299669475215 -0.0666160603511915
1.7 -0.18157611593420214 -0.20814077117016513 -0.04934467437119055 -0.06660950623816583
1.71 -0.18077322753057096 -0.2069771916201294 -0.04984621308430632 -0.06655195919986291
1.72 -0.17991366814122337 -0.20574151249901995 -0.05030931082319543 -0.06644348122031406
1.73 -0.17899784540688018 -0.2044345750932786 -0.05073341350728191 -0.06628420623631676
1.74 -0.17802620114124423 -0.20305727311641364 -0.05111801796104121 -0.0660743401374352
1.75 -0.17699921133100008 -0.20161055270900008 -0.05146267191399999 -0.06581416076599998
1.76 -0.1759173861358139 -0.20009541243867882 -0.05176697400073636 -0.06550401791710837
1.77 -0.1747812698883341 -0.1985129033001577 -0.052030573760879543 -0.06514433333862392
1.78 -0.17359144109418997 -0.19686412871520997 -0.05225317163911024 -0.06473560073117686
1.79 -0.17234851243199326 -0.19515024453267607 -0.052434518985160286 -0.0642783857481638
1.8 -0.1710531307533375 -0.19337245902846267 -0.05257441805381296 -0.06377332599574796
1.81 -0.16970597708279728 -0.19153203290554205 -0.052672722004902736 -0.06322113103285894
1.82 -0.16830776661792982 -0.1896302792939539 -0.05272933490331552 -0.06262258237119303
1.83 -0.1668592487292733 -0.18766856375080337 -0.052744211718988354 -0.061978533475212844
1.84 -0.16536120696034845 -0.18564830426026263 -0.05271735832690976 -0.061289909762147626
1.85 -0.16381445902765696 -0.18357097123356964 -0.05264883150711939 -0.060557708601993034
1.86 -0.16221985682068296 -0.18143808750902918 -0.05253873894470831 -0.05978299931751129
1.87 -0.1605782864018915 -0.17925122835201168 -0.05238723922981887 -0.05896692318423111
1.88 -0.15888001270824575 -0.17700493803425443 -0.0521913113631287 -0.058111738704234174
1.89 -0.15706254600763972 -0.1746583657011998 -0.05193190778868826 -0.05722447205124553
1.9 -0.1551175463192099 -0.17220615539656772 -0.051606343908623065 -0.05630619591041145
1.91 -0.15304756869188169 -0.16965022036873928 -0.05121530550519121 -0.05535700028521117
1.92 -0.15085535694325228 -0.16699266594273876 -0.05075961162759544 -0.05437709778768951
1.93 -0.14854384365959178 -0.16423578952023482 -0.050240214591983155 -0.05336682363845698
1.94 -0.14611615019584276 -0.16138208057954004 -0.04965819998144641 -0.05232663566668972
1.95 -0.1435755866756203 -0.15843422067561103 -0.04901478664602203 -0.05125711431012967
1.96 -0.14092565199121146 -0.15539508344004777 -0.048311326702691434 -0.050158962615084325
1.97 -0.1381700338035765 -0.15226773458109494 -0.047549305535380795 -0.04903300623642695
1.98 -0.1353126085423475 -0.14905543188364045 -0.04673034179496087 -0.04788019343759642
1.99 -0.13235744140582972 -0.14576162520921693 -0.04585618739924726 -0.046701595090597375
2.0 -0.12930878636100004 -0.14238995649600003 -0.044928727533000035 -0.04549840467600004
2.125 -0.0853456830637118 -0.0954632495884392 -0.029817230251421495 -0.029064040144541076
2.25 -0.04626194787200002 -0.05470305749700002 -0.016396909709000006 -0.015886626804000006
2.26 -0.043796781408588815 -0.05214375140908235 -0.015624980171704517 -0.015122471734009215
2.27 -0.04142093664035265 -0.04967932613810325 -0.014892032355977173 -0.014395455455376863
2.28 -0.03913267518026668 -0.04730799838799821 -0.014196966743025216 -0.013704445717274517
2.29 -0.036930273638969856 -0.04502800767308212 -0.013538705152806712 -0.01304832934367625
2.3 -0.034812023624765404 -0.042837616318049644 -0.01291619074403066 -0.01242601223335873
2.31 -0.032776231743620286 -0.04073510945797481 -0.012328388014156911 -0.011836419359901146
2.32 -0.030821219599165683 -0.038718795038311354 -0.011774282799396253 -0.011278494771685271
2.33 -0.028945323792696615 -0.036787003814892444 -0.011252882274710302 -0.010751201591895387
2.34 -0.02714689592317237 -0.03493808935393106 -0.010763214953811651 -0.010253522018518407
2.35 -0.025424302587215886 -0.03317042803201939 -0.010304330689163697 -0.009784457324343706
2.36 -0.023775925379114507 -0.0314824190361296 -0.009875300671980789 -0.0093430278569633
2.37 -0.022200160890819255 -0.02987248436361307 -0.009475217432228141 -0.008928273038771707
2.38 -0.02069911389426381 -0.028342004280474623 -0.00910254047610504 -0.00853867096157588
2.39 -0.01929215175814809 -0.026905847240211556 -0.008752565488858319 -0.008169930853435651
2.4 -0.017978362824136947 -0.025562404788491325 -0.008424009338893325 -0.007820854704233786
2.41 -0.016753147915736007 -0.024307139179395167 -0.00811626151227269 -0.007490845736274744
2.42 -0.015612051570251041 -0.023135656001755957 -0.007828719851639862 -0.007179315089974506
2.43 -0.014550762038787506 -0.022043704179157797 -0.007560790556219008 -0.006885681823860514
2.44 -0.013565111286251022 -0.021027175969936442 -0.0073118881818150785 -0.006609372914571755
2.45 -0.012651074991346984 -0.020082106967178957 -0.007081435640813785 -0.006349823256858686
2.46 -0.011804772546580833 -0.019204676098723953 -0.006868864202181609 -0.006106475663583285
2.47 -0.011022467058257816 -0.01839120562716136 -0.0066736134914657606 -0.005878780865718993
2.48 -0.01030056534648324 -0.017638161149832673 -0.006495131490794246 -0.005666197512350795
2.49 -0.009635617945162253 -0.016942151598830765 -0.00633287453887582 -0.005468192170675139
2.5 -0.009024319101999996 -0.016299929241 -0.006186307330999998 -0.005284239326000003
2.51 -0.008463506778501509 -0.01570838967793614 -0.006054902919037057 -0.005113821381744827
