{R} <|d/dR|>_46
0.0000000000e+00 0.0000000000e+00
1.0000000000e-01 0.0000000000e+00
2.0000000000e-01 0.0000000000e+00
3.0000000000e-01 0.0000000000e+00
4.0000000000e-01 0.0000000000e+00
5.0000000000e-01 0.0000000000e+00
8.0000000000e-01 0.0000000000e+00
1.0000000000e+00 0.0000000000e+00
1.2000000000e+00 0.0000000000e+00
1.5000000000e+00 0.0000000000e+00
1.8897300000e+00 -4.4459874000e-01
1.8969100000e+00 -4.6440823000e-01
1.9040900000e+00 -4.7379549000e-01
1.9112700000e+00 -4.8153405000e-01
1.9184500000e+00 -4.8783368000e-01
1.9256300000e+00 -4.9288058000e-01
1.9328100000e+00 -4.9683973000e-01
1.9399900000e+00 -4.9985694000e-01
1.9471700000e+00 -5.0206108000e-01
1.9543500000e+00 -5.0356588000e-01
1.9615400000e+00 -5.0447154000e-01
1.9687200000e+00 -5.0486638000e-01
1.9759000000e+00 -5.0482814000e-01
1.9830800000e+00 -5.0442531000e-01
1.9902600000e+00 -5.0371818000e-01
1.9974400000e+00 -5.0275982000e-01
2.0046200000e+00 -5.0159702000e-01
2.0118000000e+00 -5.0027099000e-01
2.0189800000e+00 -4.9881818000e-01
2.0261600000e+00 -4.9727077000e-01
2.0333500000e+00 -4.9565727000e-01
2.0405300000e+00 -4.9400301000e-01
2.0477100000e+00 -4.9233057000e-01
2.0548900000e+00 -4.9066018000e-01
2.0620700000e+00 -4.8900997000e-01
2.0692500000e+00 -4.8739635000e-01
2.0764300000e+00 -4.8583432000e-01
2.0836100000e+00 -4.8433762000e-01
2.0907900000e+00 -4.8291889000e-01
2.0979700000e+00 -4.8159012000e-01
2.1051500000e+00 -4.8036247000e-01
2.1123400000e+00 -4.7924679000e-01
2.1195200000e+00 -4.7825343000e-01
2.1267000000e+00 -4.7739254000e-01
2.1338800000e+00 -4.7667433000e-01
2.1410600000e+00 -4.7610884000e-01
2.1482400000e+00 -4.7570642000e-01
2.1554200000e+00 -4.7547751000e-01
2.1626000000e+00 -4.7543303000e-01
2.1697800000e+00 -4.7558429000e-01
2.1769600000e+00 -4.7594314000e-01
2.1841500000e+00 -4.7652214000e-01
2.1913300000e+00 -4.7733461000e-01
2.1985100000e+00 -4.7839471000e-01
2.1986616400e+00 -4.7842010451e-01
2.1988132800e+00 -4.7844538058e-01
2.1989649200e+00 -4.7847078862e-01
2.1991165600e+00 -4.7849630535e-01
2.1992682000e+00 -4.7852194135e-01
2.1994198400e+00 -4.7854769898e-01
2.1995714800e+00 -4.7857357208e-01
2.1997231200e+00 -4.7859955761e-01
2.1998747600e+00 -4.7862621100e-01
2.2000264000e+00 -4.7865211000e-01
2.2000725000e+00 -4.7866013000e-01
2.2001185000e+00 -4.7866811000e-01
2.2001645000e+00 -4.7867610000e-01
2.2002106000e+00 -4.7868414000e-01
2.2002566000e+00 -4.7869215000e-01
2.2003026000e+00 -4.7870020000e-01
2.2003487000e+00 -4.7870827000e-01
2.2003947000e+00 -4.7871632000e-01
2.2004407000e+00 -4.7872437000e-01
2.2004867000e+00 -4.7873250000e-01
2.2005328000e+00 -4.7874057000e-01
2.2005788000e+00 -4.7874867000e-01
2.2006248000e+00 -4.7875681000e-01
2.2006709000e+00 -4.7876493000e-01
2.2007169000e+00 -4.7877306000e-01
2.2007629000e+00 -4.7878121000e-01
2.2008090000e+00 -4.7878936000e-01
2.2008550000e+00 -4.7879752000e-01
2.2009010000e+00 -4.7880574000e-01
2.2009471000e+00 -4.7881392000e-01
2.2009931000e+00 -4.7882214000e-01
2.2010391000e+00 -4.7883035000e-01
2.2010852000e+00 -4.7883855000e-01
2.2011312000e+00 -4.7884680000e-01
2.2011772000e+00 -4.7885504000e-01
2.2012233000e+00 -4.7886333000e-01
2.2012693000e+00 -4.7887157000e-01
2.2013153000e+00 -4.7887986000e-01
2.2013614000e+00 -4.7888816000e-01
2.2014074000e+00 -4.7889645000e-01
2.2014534000e+00 -4.7890479000e-01
2.2014994000e+00 -4.7891311000e-01
2.2015455000e+00 -4.7892147000e-01
2.2015915000e+00 -4.7892979000e-01
2.2016375000e+00 -4.7893816000e-01
2.2016836000e+00 -4.7894653000e-01
2.2017296000e+00 -4.7895492000e-01
2.2017756000e+00 -4.7896328000e-01
2.2018217000e+00 -4.7897170000e-01
2.2018677000e+00 -4.7898013000e-01
2.2019137000e+00 -4.7898854000e-01
2.2019598000e+00 -4.7899697000e-01
2.2020058000e+00 -4.7900542000e-01
2.2020518000e+00 -4.7901389000e-01
2.2020979000e+00 -4.7902237000e-01
2.2021439000e+00 -4.7903084000e-01
2.2021899000e+00 -4.7903934000e-01
2.2022360000e+00 -4.7904785000e-01
2.2022820000e+00 -4.7905636000e-01
2.2023280000e+00 -4.7906487000e-01
2.2023741000e+00 -4.7907343000e-01
2.2024201000e+00 -4.7908198000e-01
2.2024661000e+00 -4.7909054000e-01
2.2025121000e+00 -4.7909910000e-01
2.2025582000e+00 -4.7910766000e-01
2.2026042000e+00 -4.7911626000e-01
2.2026502000e+00 -4.7912486000e-01
2.2026963000e+00 -4.7913350000e-01
2.2027423000e+00 -4.7914213000e-01
2.2027883000e+00 -4.7915078000e-01
2.2028344000e+00 -4.7915940000e-01
2.2028804000e+00 -4.7916807000e-01
2.2029264000e+00 -4.7917675000e-01
2.2029725000e+00 -4.7918542000e-01
2.2030185000e+00 -4.7919412000e-01
2.2030645000e+00 -4.7920282000e-01
2.2031106000e+00 -4.7921155000e-01
2.2031566000e+00 -4.7922025000e-01
2.2032026000e+00 -4.7922898000e-01
2.2032487000e+00 -4.7923775000e-01
2.2032947000e+00 -4.7924652000e-01
2.2033407000e+00 -4.7925529000e-01
2.2033868000e+00 -4.7926407000e-01
2.2034328000e+00 -4.7927286000e-01
2.2034788000e+00 -4.7928166000e-01
2.2035248000e+00 -4.7929049000e-01
2.2035709000e+00 -4.7929931000e-01
2.2036169000e+00 -4.7930817000e-01
2.2036629000e+00 -4.7931700000e-01
2.2037090000e+00 -4.7932586000e-01
2.2037550000e+00 -4.7933474000e-01
2.2038010000e+00 -4.7934362000e-01
2.2038471000e+00 -4.7935253000e-01
2.2038931000e+00 -4.7936145000e-01
2.2039391000e+00 -4.7937036000e-01
2.2039852000e+00 -4.7937929000e-01
2.2040312000e+00 -4.7938823000e-01
2.2040772000e+00 -4.7939719000e-01
2.2041233000e+00 -4.7940616000e-01
2.2041693000e+00 -4.7941511000e-01
2.2042153000e+00 -4.7942412000e-01
2.2042614000e+00 -4.7943311000e-01
2.2043074000e+00 -4.7944212000e-01
2.2043534000e+00 -4.7945113000e-01
2.2043995000e+00 -4.7946017000e-01
2.2044455000e+00 -4.7946922000e-01
2.2044915000e+00 -4.7947827000e-01
2.2045375000e+00 -4.7948736000e-01
2.2045836000e+00 -4.7949643000e-01
2.2046296000e+00 -4.7950552000e-01
2.2046756000e+00 -4.7951461000e-01
2.2047217000e+00 -4.7952372000e-01
2.2047677000e+00 -4.7953283000e-01
2.2048137000e+00 -4.7954200000e-01
2.2048598000e+00 -4.7955111000e-01
2.2049058000e+00 -4.7956028000e-01
2.2049518000e+00 -4.7956946000e-01
2.2049979000e+00 -4.7957860000e-01
2.2050439000e+00 -4.7958782000e-01
2.2050899000e+00 -4.7959703000e-01
2.2051360000e+00 -4.7960622000e-01
2.2051820000e+00 -4.7961545000e-01
2.2052280000e+00 -4.7962467000e-01
2.2052741000e+00 -4.7963395000e-01
2.2053201000e+00 -4.7964320000e-01
2.2053661000e+00 -4.7965248000e-01
2.2054122000e+00 -4.7966177000e-01
2.2054582000e+00 -4.7967103000e-01
2.2055042000e+00 -4.7968035000e-01
2.2055502000e+00 -4.7968966000e-01
2.2055963000e+00 -4.7969900000e-01
2.2056423000e+00 -4.7970834000e-01
2.2056883000e+00 -4.7971770000e-01
2.2057344000e+00 -4.7972706000e-01
2.2057804000e+00 -4.7973643000e-01
2.2058264000e+00 -4.7974580000e-01
2.2058725000e+00 -4.7975522000e-01
2.2059185000e+00 -4.7976463000e-01
2.2059645000e+00 -4.7977406000e-01
2.2060106000e+00 -4.7978349000e-01
2.2060566000e+00 -4.7979292000e-01
2.2061026000e+00 -4.7980238000e-01
2.2061487000e+00 -4.7981185000e-01
2.2061947000e+00 -4.7982132000e-01
2.2062407000e+00 -4.7983082000e-01
