 R   <X|d2/dR2|A>   <X|d2/dR2|B>   <X|d2/dR2|C>   <X|d2/dR2|D>   <X|d2/dR2|E>   <X|d2/dR2|F>   <X|d2/dR2|G>   <X|d2/dR2|H>   <X|d2/dR2|I>   <X|d2/dR2|J>   <A|d2/dR2|B>   <A|d2/dR2|C>   <A|d2/dR2|D>   <A|d2/dR2|E>   <A|d2/dR2|F>   <A|d2/dR2|G>   <A|d2/dR2|H>   <A|d2/dR2|I>   <A|d2/dR2|J>   <B|d2/dR2|C>   <B|d2/dR2|D>   <B|d2/dR2|E>   <B|d2/dR2|F>   <B|d2/dR2|G>   <B|d2/dR2|H>   <B|d2/dR2|I>   <B|d2/dR2|J>   <C|d2/dR2|D>   <C|d2/dR2|E>   <C|d2/dR2|F>   <C|d2/dR2|G>   <C|d2/dR2|H>   <C|d2/dR2|I>   <C|d2/dR2|J>   <D|d2/dR2|E>   <D|d2/dR2|F>   <D|d2/dR2|G>   <D|d2/dR2|H>   <D|d2/dR2|I>   <D|d2/dR2|J>   <E|d2/dR2|F>   <E|d2/dR2|G>   <E|d2/dR2|H>   <E|d2/dR2|I>   <E|d2/dR2|J>   <F|d2/dR2|G>   <F|d2/dR2|H>   <F|d2/dR2|I>   <F|d2/dR2|J>   <G|d2/dR2|H>   <G|d2/dR2|I>   <G|d2/dR2|J>   <H|d2/dR2|I>   <H|d2/dR2|J>   <I|d2/dR2|J> 
29.00503 9.828446795263089e-5 2.2138770212970368e-5 -1.0842750070617437e-5 3.7504037099615195e-5 2.6120008935516752e-5 1.5585179781403154e-6 9.79787016115708e-6 -9.752883059141123e-7 -5.692604830625362e-6 -2.4864598738381226e-5 -0.00026343830354476187 -8.94302135579846e-5 -0.0002852998177452012 0.00012764262986746653 -7.825505343496457e-5 9.142984680214964e-5 -3.97531252749195e-5 5.073379496933629e-5 8.828136409629319e-5 -0.0017746380413132742 -0.0004553655395027033 3.947121814211036e-5 3.7437898380490856e-5 -9.242692082158878e-5 1.0836664085422321e-5 -0.0001671942694099368 -0.00013208517729678218 -0.0007228655649956878 -5.782848184495902e-6 -7.720951027959867e-5 0.00012951315533390987 -3.616972940849414e-5 0.0001369794749854902 0.00013910053197964208 -0.0007129200686927608 0.00014627926985507158 -8.519587797706094e-5 1.6733172892497127e-5 -3.987661433271747e-5 -5.698847122445666e-5 0.00016786368657777367 9.787803635092625e-6 0.00044994785133027333 0.00017526539142050622 -9.000044018788825e-5 -3.8697176989874815e-5 -0.0005122997428859516 -0.00040521532873855705 -0.0007430094786755926 -0.0001505122722573334 0.008077941525228768 -0.0014927193722103751 0.010391969947691235 -0.005044616658216708 0.012982861654143328
29.01221 0.00011470851546744577 3.851477345886073e-6 -3.2677139964326352e-6 1.866669640044041e-5 1.160941169250808e-5 -3.767221342775024e-6 -3.112508995795384e-7 -9.85930910317324e-6 1.04229962536632e-5 -9.424160596138003e-7 -0.00013682872723781267 -3.636345173047566e-5 5.893249503438546e-6 -1.0615463426165897e-6 3.0283381762300786e-5 7.882615418305018e-6 -3.566710374623073e-5 -1.2796688169465383e-5 -9.43580596383239e-6 0.00032046896215091566 -4.548752664952494e-5 2.7312144438138694e-5 4.1289817570162795e-6 2.052775406422495e-5 1.3745046646253273e-5 -2.56013895186994e-5 2.874354866315925e-5 0.00015149776198024426 -1.3469704870406713e-6 0.00010228461423165234 -7.841359561640693e-5 -3.485411004346362e-6 -4.7432048599857546e-5 -1.8842004009530284e-5 -0.00039303980980138624 -2.290939159534087e-5 3.2587066365720175e-5 2.2197982006858735e-5 -1.4908812425084467e-5 8.037616202867867e-6 0.0006533002616153962 -3.4580371616630274e-5 0.00035205659889560857 -1.0892863493953413e-5 6.296662536692156e-5 -0.0002812203551967834 -0.0004887096922753455 3.0341261268530925e-5 -3.448165825867657e-6 3.009280539122162e-5 0.009874505917509914 2.5805837179224654e-5 0.010641554619966857 -0.004349415683724536 -0.003663927783927704
29.01939 0.00010957194300497837 2.5303359807306195e-6 1.5726047680176025e-6 1.827456235478974e-5 2.2351983778230896e-5 3.8406706015620325e-7 -7.89991173616379e-6 -1.1636344130108023e-5 1.9185912960792482e-5 1.0553651669416775e-5 -0.00013782455568948516 3.999164955516207e-5 3.9245547373701386e-5 -4.004695615446271e-6 -2.619189269463759e-6 5.0339789852191654e-6 -3.600527966922668e-5 5.771445383892618e-6 1.2826298978017045e-5 -0.0001986384212722469 -5.128023490555838e-5 -3.466263806170306e-5 4.837098859355076e-5 1.0222303093512668e-5 1.2432510535258457e-5 -7.764291725212392e-5 -3.448943828879476e-5 9.682372347132411e-5 8.353611476903453e-6 -5.239946518347758e-5 3.009064925278503e-6 -8.254896328672147e-6 -8.946783865417093e-6 3.176138891836681e-5 -0.00041747803427038724 -3.7999874373649995e-5 2.694932206792121e-5 2.2229753068917508e-5 2.354304737305248e-5 4.1613181067756366e-5 0.0011761483593897648 1.044861475317786e-5 0.00038209362894591197 2.4866494756800133e-6 2.65380250755415e-5 -6.0450650501419365e-5 -0.00039591261121722007 0.0001446205815958605 7.934283028538409e-5 -9.182398945084106e-5 0.00990320328728505 0.00013513478169696895 0.01040157699260681 -0.00466063553129868 -0.004432191186708423
29.02657 0.00010083664629716705 -4.993388260533382e-6 -7.793435745891877e-6 1.111244503268263e-5 2.259436492875277e-5 -2.2623890429642335e-6 -1.4157470656607164e-6 -9.581908754955891e-6 1.885892883795497e-5 6.012261153459518e-6 -1.3236100003675134e-5 4.123256594004082e-5 9.882918356424577e-5 -9.464639288976597e-6 -9.514733178061127e-6 1.7159460850715007e-5 -3.819345261828174e-5 -1.4886919011630284e-6 1.0021252943271639e-5 -0.0003101087408859804 -0.00025485967299765464 -2.5619162339827118e-5 3.1626768185305824e-5 7.1461541935306065e-6 7.435088598752977e-6 -8.481833607792538e-5 -4.2668391350550245e-5 -0.00011502163186011194 -2.3890776920858685e-5 -1.0679755567418023e-5 1.938378945218223e-5 -1.5947968746885318e-5 -1.3532100878971807e-5 3.0543835515783e-5 -0.00043502929945471696 1.1312472989985889e-5 -1.9386830435741633e-5 1.5334939394676185e-5 -2.2421509584528946e-6 -2.705905427879424e-5 0.0009550210681490766 2.1221579113965508e-5 0.00042025739497587395 2.748071481303217e-5 3.2143793382995315e-5 -0.00010079126265704672 -0.0003951924490701972 9.236623655753607e-6 -0.00017567507964751146 -0.00011169389143657061 0.009192884139230272 -0.0006375169894632963 0.010173347846090449 -0.004612710168590036 -0.0010622372559969395
29.03375 0.00011854123930380122 1.36579012515106e-6 -1.0540808036052437e-6 3.187885076357253e-5 2.160140569718817e-5 -1.5295470421534533e-6 6.160817422977842e-6 -8.886219403224556e-6 5.9189869694099115e-6 -5.980820802882668e-6 0.0001874041608884224 1.9493645589764874e-6 2.5105841307229812e-5 -4.167463101051717e-5 8.091974610931107e-5 -2.5381381779343087e-5 -3.548920416552258e-5 -1.6353008653199485e-5 -2.8466924425316753e-5 0.0005712691056043357 0.0003542507371842122 4.646311886837287e-5 -0.00011254901638381626 1.952345132835138e-5 8.935808007930274e-7 -3.138441987722202e-5 8.59501289596079e-6 0.0002073118828634051 -6.060734832680483e-5 9.327697264633093e-5 -1.634186248133666e-5 -9.806503198690807e-6 -6.670674412676744e-5 -5.141049309752578e-5 -0.000436332734623219 2.2146778483012602e-5 -1.622443682957123e-5 1.3301059017593882e-5 -3.106860355001391e-6 -2.6174130195374247e-5 0.0010920177049090767 -4.678359835936259e-5 0.00044582486333381453 6.516224254162849e-5 4.14279090659311e-5 1.4037473997170887e-5 -0.0003667325461760538 0.00010341226671358781 -2.213087616880301e-5 -2.8536545779694495e-5 0.00978509686740041 -0.0002825935634536954 0.010507766996110342 -0.003948517012415893 -0.01117041919607753
29.04093 0.00010378659590908491 8.379634083415608e-6 7.257944514895259e-6 4.3237001311944666e-5 2.6812270326132058e-5 7.458217289012116e-6 -2.1858275361854136e-6 -8.657293601299818e-6 -6.544344706064167e-6 -1.7411680721500808e-5 6.801474917745055e-6 -6.337440460070765e-5 -0.00017647887297398183 6.217943229992229e-5 -3.2509139810467447e-5 2.111020133209035e-5 -3.3455798572699406e-5 8.229810936922609e-6 1.1024388967110782e-5 0.00023085754239102137 0.00019605666627216402 -6.287658994137734e-6 -1.4395803766456902e-5 -1.2907962453062128e-5 1.1715170698224999e-5 -9.39693772354256e-5 -3.74701746300657e-5 -9.45826430346348e-5 2.840941613638266e-5 -2.170324452728332e-5 -2.380421497304928e-5 -9.842038674647028e-6 -4.08083016360165e-5 -3.435099907206465e-5 -0.0005130648477715918 -6.436620100367475e-6 1.4487829297228811e-5 1.670697069182225e-5 -5.575658732911659e-5 -4.533965422392249e-5 0.0013948852632803405 4.7293497386157376e-5 0.00038209590765868947 0.0001248353116003328 -1.4383751376010006e-5 -4.0491839736046895e-6 -0.0004110104616613547 -2.5140442095888523e-5 -4.102984643078685e-5 -0.0001402855787158121 0.009572152350925884 -0.0003053979857479005 0.010310693080992594 -0.004414711196288269 -0.0012110961152926973
29.04811 0.00010692856896955889 -1.1119783724524722e-5 -4.3500891846786816e-6 2.405641821733213e-7 1.772958071015209e-5 -1.9278444492286504e-6 5.641096791139305e-6 -1.0128675821771352e-5 8.534988695291019e-6 2.4563983433912398e-6 -4.039987110615118e-5 -4.0463255087800135e-7 -1.7038123465036665e-5 -2.0805139021512985e-5 -1.3213294426511651e-5 -1.3628245627767528e-6 -3.637478282665814e-5 -2.4958956574170535e-5 -1.035721154910242e-5 -0.00022374064802093725 -0.00027198405553532706 -4.0566101820635315e-5 6.320460742579083e-5 2.5991202486519745e-5 1.5857209797881166e-5 -5.171018292991407e-5 1.77054755450404e-5 -0.00010227994212798275 7.948808248740754e-5 -6.819339579032146e-5 3.58753882677777e-6 -9.184862552679007e-6 -3.60115837875935e-5 1.6458571342795737e-5 -0.00039188990488691673 -1.31782688304857e-5 -3.608580021151164e-5 2.2980478978466244e-5 -3.033697569405945e-5 -1.2501584457701211e-5 0.001492326375990001 -0.0001527680730896326 0.00035883374035689387 -5.481212762697446e-5 7.482848344808398e-5 0.0002986440946740611 -0.00045462054421778535 0.00011973563697109102 0.0001130014058702602 -0.00016476636153369374 0.00880659542358131 -0.001093664310333055 0.01055937163166975 -0.004962666093406898 0.0076179616571768515
29.0553 0.00011851699101457857 4.638406492817319e-6 8.989414511096794e-7 3.417300207982844e-5 2.928201155653771e-5 6.441974679455835e-7 -9.499001302791491e-6 -7.776372946058531e-6 1.5147605992689432e-5 1.0684394445601405e-5 6.605183133183461e-5 3.3446633537005834e-6 2.16035913890003e-5 -6.326644428059673e-5 4.2488121743430485e-5 -9.190643662364393e-6 -3.5990204511447286e-5 -2.3209847246039738e-7 7.995424201478957e-6 5.7233627842048003e-5 -5.844195506817087e-5 -2.0550989291977983e-5 -2.7554756003746754e-5 1.654188353164974e-5 4.463360412578744e-6 -4.906023661184458e-5 8.737957109499455e-6 -6.655466620794736e-5 -1.0356299614177978e-6 -7.240400546267384e-5 6.469866302524851e-5 -1.2680959669250166e-5 -1.0778470078888688e-6 3.846645870186172e-5 -0.00044755991190019635 -5.938195695324003e-7 2.2850149592854745e-6 1.8817104873103026e-5 2.790261768093241e-5 4.293572498912281e-5 0.0013748028132786441 -4.2357022203300614e-5 0.0004243944553980448 1.370057297910063e-5 0.00015216091243575389 0.00023737891161915468 -0.0004096946000662585 4.029735807766879e-5 6.722737716169917e-5 -0.00019914623304920285 0.009802007903386024 -0.0001680374560372157 0.011048334479612731 -0.004865145382219302 -0.005171821006571046
29.06248 9.519692513450923e-5 -4.11497274682821e-6 -7.880244588702227e-6 2.9400792542732603e-5 1.884775803211263e-5 -5.613305667324212e-6 7.255332165357273e-6 -9.751918049815627e-6 6.421295581410642e-6 -9.002594551634616e-6 -1.2406169759179381e-5 -9.28959409090778e-6 -1.3424834061026288e-5 4.319680832510502e-5 2.1902398628873588e-5 2.2194001481939444e-5 -3.783119745055906e-5 1.4534561585731013e-5 2.9395864524918626e-5 0.00021412659750398675 0.00010404049953167159 5.436147892314036e-5 -6.099987876884774e-6 -3.075269581547199e-5 8.535609865310563e-6 -7.610013882562802e-5 -4.8982936296061495e-5 2.0832970293437048e-5 -1.622064331073244e-5 5.326989204538222e-5 -4.2592046760191295e-5 -1.1391243660830009e-5 -1.7426850127839438e-5 -7.120444183940744e-6 -0.0004485104203112778 4.1973994982156974e-5 1.2007242513751907e-5 1.261403410007404e-5 -2.7533861480030018e-5 -1.8409847655736075e-5 0.0005148116045459328 -1.2135103563880838e-5 0.000401247879086257 0.00010246597784035441 -7.323994102755922e-5 -0.0003428439340089987 -0.0004328723982679082 -0.00011575071462974134 -0.0003057447862467779 0.00016111934042984863 0.010615799157920412 0.00025547214619026895 0.010441406466241365 -0.00408768926188374 -0.008478464961013541
29.06966 0.00010583198473555256 -2.2596772623865404e-5 -1.6155262181592914e-5 -9.597303877552797e-6 8.155496755695019e-6 -9.78549664309217e-6 3.288093891970173e-5 -1.0963069413933904e-5 1.6346725000857366e-5 6.555854017494505e-6 -0.00014886757698667053 2.4678787190309475e-5 0.00011026370526665047 -2.9897795573173646e-5 4.2774249796482524e-5 -1.2656830401260443e-5 -3.9290404705640404e-5 -1.068177470128173e-5 3.8507728771220255e-6 5.984685815554685e-6 -0.00022005903583390257 -3.4225655126431706e-5 6.318555718644202e-5 -3.952216002507848e-5 1.3392309990785311e-5 -5.13555381233956e-5 -2.0962583538128686e-5 6.352301457938033e-5 2.804903791749203e-5 -4.17544283779459e-5 -2.9232087274549526e-5 -1.162716928598626e-5 -1.0737946639145383e-5 3.3782971530917465e-5 -0.0003166097167216285 -5.574816997144909e-5 -5.5120005019818865e-5 2.234700833592745e-5 1.1370334656492769e-5 3.710245714488949e-5 0.0014689381186983109 -0.0002731243422574619 0.00037051995812717735 -3.652489373972494e-5 -2.8387573530257057e-5 5.9670831391096744e-5 -0.0004312676825003239 0.0002211784175282274 6.2902037270035e-5 0.00025472580432432814 0.01002076277900328 -0.0004974551850978886 0.010608877769457696 -0.004570833808729465 -0.00014700280248342934
