 {R}   <|d/dR|>_50 
2.2048137 -0.006120111487200001
2.2048598 -0.006132799812
2.2049058 -0.006145453510800002
2.2049518 -0.0061581001149
2.2049979 -0.006170767093400002
2.2050439 -0.006183399491899999
2.2050899 -0.006196024795200001
2.205136 -0.006208670426200001
2.205182 -0.0062212815230999995
2.205228 -0.006233885524400001
2.2052741 -0.006246509806800001
2.2053201 -0.0062590996009000005
2.2053661 -0.006271682298999999
2.2054122 -0.0062842852314
2.2054582 -0.006296853721499999
2.2055042 -0.0063094151151999985
2.2055502 -0.006321969412199998
2.2055963 -0.0063345438813000015
2.2056423 -0.0063470839693
2.2056883 -0.0063596169602000005
2.2057344 -0.006372170076599999
2.2057804 -0.0063846888579000005
2.2058264 -0.006397200542300001
2.2058725 -0.006409732306000001
2.2059185 -0.006422229781400001
2.2059645 -0.0064347201601
2.2060106 -0.006447230572100002
2.2060566 -0.0064597067423
2.2061026 -0.006472175816200001
2.2061487 -0.006484664877300002
2.2061947 -0.0064971197433000005
2.2062407 -0.006509567513299999
2.2062868 -0.006522035224499999
2.2063328 -0.0065344687871999995
2.2063788 -0.006546895254099999
2.2064249 -0.0065593416163
2.2064709 -0.006571753876500001
2.2065169 -0.0065841590413
2.2065629 -0.006596557110700001
2.206609 -0.006608975014000001
2.206655 -0.0066213588776
2.206701 -0.006633735645999998
2.2067471 -0.0066461322023999994
2.2067931 -0.006658494765600001
2.2068391 -0.006670850234000001
2.2068852 -0.006683225444300001
2.2069312 -0.0066955667081000005
2.2069772 -0.006707900877300001
2.2070233 -0.006720254742499999
2.2070693 -0.006732574707699999
2.2071153 -0.0067448875787
2.2071614 -0.0067572200996
2.2072074 -0.0067695187670999985
2.2072534 -0.006781810340700001
2.2072995 -0.0067941215182
2.2073455 -0.0068063988889999994
2.2073915 -0.0068186691662
2.2074376 -0.006830959001200001
2.2074836 -0.0068432150761
2.2075296 -0.006855464057700001
2.2075756 -0.006867705946099999
2.2076217 -0.0068799673311
2.2076677 -0.006892195017999999
2.2077137 -0.006904415611999999
2.2077598 -0.0069166556566
2.2078058 -0.0069288620497
2.2078518 -0.006941061350200002
2.2078979 -0.0069532800554
2.2079439 -0.006965465155600001
2.2079899 -0.006977643163499998
2.208036 -0.006989840530000001
2.208082 -0.0070020043383
2.208128 -0.0070141610545
2.2081741 -0.007026337083300001
2.2082201 -0.0070384796005
2.2082661 -0.007050615025900001
2.2083122 -0.0070627697179
2.2083582 -0.0070748909448
2.2084042 -0.007087005080399999
2.2084502 -0.007099112124599998
2.2084963 -0.007111238374100002
2.2085423 -0.0071233312206
2.2085883 -0.007135416976100001
2.2086344 -0.0071475218909
2.2086804 -0.007159593449299999
2.2087264 -0.007171657916999998
2.2087725 -0.007183741498000001
2.2088185 -0.007195791769100001
2.2088645 -0.0072078349499000004
2.2089106 -0.007219897198000001
2.2089566 -0.0072319261828
2.2090026 -0.0072439480774999995
2.2090487 -0.0072559889936
2.2090947 -0.007267996692999999
2.2091407 -0.007279997302500001
2.2091868 -0.007292016887499999
2.2092328 -0.007304003302299999
2.2092788 -0.0073159826276
2.2093249 -0.0073279808824
2.2093709 -0.0073399460136
2.2094169 -0.0073519040555
2.2094629 -0.0073638550084
2.209509 -0.0073758248294000005
2.209555 -0.007387761588899999
2.209601 -0.0073996912594999995
2.2096471 -0.007411639752400001
2.2096931 -0.007423555230399999
2.2097391 -0.0074354636197999984
2.2097852 -0.0074473907854
2.2098312 -0.0074592849827
2.2098772 -0.007471172091700002
2.2099233 -0.0074830779311
2.2099693 -0.0074949508485
2.2100153 -0.0075068166781
2.2100614 -0.007518701192000002
2.2101074 -0.0075305528306
2.2101534 -0.007542397381499999
2.2101995 -0.007554260570899999
2.2102455 -0.0075660909315
2.2102915 -0.0075779142048
2.2103376 -0.0075897560705
