 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
0.47 6.879578653298843 7.017259065875291 7.083831702222404 7.068194496621964
0.48 6.557550582516779 6.695113373775836 6.7618054903555995 6.746168343226467
0.49 6.254128858027414 6.391598610815392 6.458378951341569 6.4427418725793135
0.5 5.967301000000001 6.104701000000001 6.171538000000001 6.155901000000001
0.51 5.695307459442536 5.832659697553665 5.899521868650893 5.883884957808527
0.52 5.43740041071803 5.574725592572208 5.641583059615503 5.6259462463269205
0.53 5.193084959028241 5.33040250736941 5.397227392715401 5.381590682877713
0.54 4.961866209574931 5.099194264259051 5.165960687772158 5.150324084783438
0.55 4.743249267559861 4.8806046855549114 4.947288764607345 4.93165226936663
0.56 4.536739238184792 4.674137593570771 4.740717443042531 4.725081053949821
0.57 4.341841226651484 4.479296810620415 4.545752542899289 4.53011625585555
0.58 4.158060338161695 4.295586159017617 4.361899883999187 4.346263692406342
0.59 3.9849016779171875 4.122509461076159 4.188665286163797 4.173029180924734
0.6 3.8218703511197245 3.959570539109824 4.02555456921469 4.0099185387332605
0.61 3.6684714629710617 3.8062732154323893 3.8720735529734354 3.8564375831544546
0.62 3.524210118672964 3.6621213123576384 3.727728057261605 3.71209213151085
0.63 3.3885914234271897 3.5266186521993483 3.5920239019007694 3.5763880011249793
0.64 3.2611204824354996 3.399269057271302 3.4644669067124974 3.4488310093193766
0.65 3.1413024008996544 3.2795763498872788 3.344562891518362 3.3289269734165754
0.66 3.028642284021415 3.167044352361059 3.2318176761399324 3.2161817107391086
0.67 2.9226452370025413 3.0611768870064227 3.12573708039878 3.11010103860951
0.68 2.822816365044795 2.9614777761371514 3.0258269241164752 3.010190774350314
0.69 2.728660773349936 2.867450842067026 2.9315930271145887 2.9159567352840536
0.7 2.639683567119724 2.7785999071098226 2.84254120921469 2.8269047387332606
0.71 2.5553898515559204 2.694428793579327 2.758177290238351 2.74254060202047
0.72 2.4752847318602855 2.6144413237893156 2.678007090007142 2.662370142468215
0.73 2.3988733132345805 2.5381413200535707 2.6015364283426337 2.58589917739903
0.74 2.325660700880565 2.465032604685872 2.528271125066396 2.512633524135447
0.75 2.255152 2.394619 2.4577169999999997 2.442079
0.76 2.186927238199637 2.326479491885911 2.389454555731761 2.3738161072731963
0.77 2.1208661327061966 2.2604937205382645 2.323363025916965 2.3077240880674346
0.78 2.0569233231513855 2.1966164897278926 2.2593963269776447 2.2437568694530876
0.79 1.9950534491669154 2.1348026032256326 2.1975083753358318 2.1818683785005297
0.8 1.9352111503844964 2.0750068648023183 2.1376530874135584 2.1220125422801317
0.81 1.8773510664358377 2.017184078228785 2.079784379632855 2.0641432878622674
0.82 1.8214278369526502 1.961289047275867 2.023856168415755 2.00821454231731
0.83 1.7673961015666422 1.9072765757143972 1.9698223701842876 1.9541802327156308
0.84 1.7152104999095248 1.8551014673152126 1.9176369013604866 1.901994286127604
0.85 1.6648256716130072 1.8047185258491467 1.8672536783663825 1.8516106296236012
0.86 1.6161962563088001 1.7560825550870347 1.8186266176240071 1.802983190273996
0.87 1.5692768936286126 1.7091483587997105 1.771709635555392 1.7560658951491606
