 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
2.2133757 -0.6132086140654278 -0.6132086140654278
2.2134217 -0.613173291616042 -0.613173291616042
2.2134677 -0.6131379710143642 -0.6131379710143642
2.2135137 -0.6131026523103011 -0.6131026523103011
2.2135598 -0.6130672587280425 -0.6130672587280425
2.2136058 -0.6130319438550721 -0.6130319438550721
2.2136518 -0.6129966309354723 -0.6129966309354723
2.2136979 -0.6129612432433791 -0.6129612432433791
2.2137439 -0.6129259343133722 -0.6129259343133722
2.2137899 -0.6128906274237986 -0.6128906274237986
2.213836 -0.6128552458518136 -0.6128552458518136
2.213882 -0.6128199431102992 -0.6128199431102992
2.213928 -0.6127846424649509 -0.6127846424649509
2.2139741 -0.6127492672429714 -0.6127492672429714
2.2140201 -0.6127139708884654 -0.6127139708884654
2.2140661 -0.6126786767328103 -0.6126786767328103
2.2141122 -0.6126433080750362 -0.6126433080750362
2.2141582 -0.6126080183686318 -0.6126080183686318
2.2142042 -0.6125727309167817 -0.6125727309167817
2.2142503 -0.6125373690530254 -0.6125373690530254
2.2142963 -0.6125020861931515 -0.6125020861931515
2.2143423 -0.612466805690484 -0.612466805690484
2.2143884 -0.6124314508505102 -0.6124314508505102
2.2144344 -0.6123961750825145 -0.6123961750825145
2.2144804 -0.6123609017274053 -0.6123609017274053
2.2145264 -0.6123256308037373 -0.6123256308037373
2.2145725 -0.6122902856788172 -0.6122902856788172
2.2146185 -0.6122550197165512 -0.6122550197165512
2.2146645 -0.6122197562726891 -0.6122197562726891
2.2147106 -0.6121844187022765 -0.6121844187022765
2.2147566 -0.6121491603467968 -0.6121491603467968
2.2148026 -0.6121139045966643 -0.6121139045966643
2.2148487 -0.6120785748103775 -0.6120785748103775
2.2148947 -0.6120433242912315 -0.6120433242912315
2.2149407 -0.6120080764487131 -0.6120080764487131
2.2149868 -0.611972754676126 -0.611972754676126
2.2150328 -0.6119375122384607 -0.6119375122384607
2.2150788 -0.6119022725330476 -0.6119022725330476
2.2151249 -0.6118669590036877 -0.6118669590036877
2.2151709 -0.6118317248613149 -0.6118317248613149
2.2152169 -0.6117964935224494 -0.6117964935224494
2.215263 -0.6117611884501581 -0.6117611884501581
2.215309 -0.6117259628324915 -0.6117259628324915
