 R   <X|H|A>   <X|H|B>   <X|H|C>   <A|H|B>   <A|H|C>   <B|H|C> 
16.55 0.0 0.0 0.0 0.0 0.0 0.0
16.56 0.0 0.0 0.0 0.0 0.0 0.0
16.57 0.0 0.0 0.0 0.0 0.0 0.0
16.58 0.0 0.0 0.0 0.0 0.0 0.0
16.59 0.0 0.0 0.0 0.0 0.0 0.0
16.6 0.0 0.0 0.0 0.0 0.0 0.0
16.61 0.0 0.0 0.0 0.0 0.0 0.0
16.62 0.0 0.0 0.0 0.0 0.0 0.0
16.63 0.0 0.0 0.0 0.0 0.0 0.0
16.64 0.0 0.0 0.0 0.0 0.0 0.0
16.65 0.0 0.0 0.0 0.0 0.0 0.0
16.66 0.0 0.0 0.0 0.0 0.0 0.0
16.67 0.0 0.0 0.0 0.0 0.0 0.0
16.68 0.0 0.0 0.0 0.0 0.0 0.0
16.69 0.0 0.0 0.0 0.0 0.0 0.0
16.7 0.0 0.0 0.0 0.0 0.0 0.0
16.71 0.0 0.0 0.0 0.0 0.0 0.0
16.72 0.0 0.0 0.0 0.0 0.0 0.0
16.73 0.0 0.0 0.0 0.0 0.0 0.0
16.74 0.0 0.0 0.0 0.0 0.0 0.0
16.75 0.0 0.0 0.0 0.0 0.0 0.0
16.76 0.0 0.0 0.0 0.0 0.0 0.0
16.77 0.0 0.0 0.0 0.0 0.0 0.0
16.78 0.0 0.0 0.0 0.0 0.0 0.0
16.79 0.0 0.0 0.0 0.0 0.0 0.0
16.8 0.0 0.0 0.0 0.0 0.0 0.0
16.81 0.0 0.0 0.0 0.0 0.0 0.0
16.82 0.0 0.0 0.0 0.0 0.0 0.0
16.83 0.0 0.0 0.0 0.0 0.0 0.0
16.84 0.0 0.0 0.0 0.0 0.0 0.0
16.85 0.0 0.0 0.0 0.0 0.0 0.0
16.86 0.0 0.0 0.0 0.0 0.0 0.0
16.87 0.0 0.0 0.0 0.0 0.0 0.0
16.88 0.0 0.0 0.0 0.0 0.0 0.0
16.89 0.0 0.0 0.0 0.0 0.0 0.0
16.9 0.0 0.0 0.0 0.0 0.0 0.0
16.91 0.0 0.0 0.0 0.0 0.0 0.0
16.92 0.0 0.0 0.0 0.0 0.0 0.0
16.93 0.0 0.0 0.0 0.0 0.0 0.0
16.94 0.0 0.0 0.0 0.0 0.0 0.0
16.95 0.0 0.0 0.0 0.0 0.0 0.0
16.96 0.0 0.0 0.0 0.0 0.0 0.0
16.97 0.0 0.0 0.0 0.0 0.0 0.0
16.98 0.0 0.0 0.0 0.0 0.0 0.0
16.99 0.0 0.0 0.0 0.0 0.0 0.0
17.0 0.0 0.0 0.0 0.0 0.0 0.0
17.01 0.0 0.0 0.0 0.0 0.0 0.0
17.02 0.0 0.0 0.0 0.0 0.0 0.0
17.03 0.0 0.0 0.0 0.0 0.0 0.0
17.04 0.0 0.0 0.0 0.0 0.0 0.0
17.05 0.0 0.0 0.0 0.0 0.0 0.0
17.06 0.0 0.0 0.0 0.0 0.0 0.0
17.07 0.0 0.0 0.0 0.0 0.0 0.0
17.08 0.0 0.0 0.0 0.0 0.0 0.0
17.09 0.0 0.0 0.0 0.0 0.0 0.0
17.1 0.0 0.0 0.0 0.0 0.0 0.0
17.11 0.0 0.0 0.0 0.0 0.0 0.0
17.12 0.0 0.0 0.0 0.0 0.0 0.0
17.13 0.0 0.0 0.0 0.0 0.0 0.0
17.14 0.0 0.0 0.0 0.0 0.0 0.0
17.15 0.0 0.0 0.0 0.0 0.0 0.0
17.16 0.0 0.0 0.0 0.0 0.0 0.0
17.17 0.0 0.0 0.0 0.0 0.0 0.0
17.18 0.0 0.0 0.0 0.0 0.0 0.0
17.19 0.0 0.0 0.0 0.0 0.0 0.0
17.2 0.0 0.0 0.0 0.0 0.0 0.0
17.21 0.0 0.0 0.0 0.0 0.0 0.0
17.22 0.0 0.0 0.0 0.0 0.0 0.0
17.23 0.0 0.0 0.0 0.0 0.0 0.0
17.24 0.0 0.0 0.0 0.0 0.0 0.0
17.25 0.0 0.0 0.0 0.0 0.0 0.0
17.26 0.0 0.0 0.0 0.0 0.0 0.0
17.27 0.0 0.0 0.0 0.0 0.0 0.0
17.28 0.0 0.0 0.0 0.0 0.0 0.0
17.29 0.0 0.0 0.0 0.0 0.0 0.0
17.3 0.0 0.0 0.0 0.0 0.0 0.0
17.31 0.0 0.0 0.0 0.0 0.0 0.0
17.32 0.0 0.0 0.0 0.0 0.0 0.0
17.33 0.0 0.0 0.0 0.0 0.0 0.0
17.34 0.0 0.0 0.0 0.0 0.0 0.0
17.35 0.0 0.0 0.0 0.0 0.0 0.0
17.36 0.0 0.0 0.0 0.0 0.0 0.0
17.37 0.0 0.0 0.0 0.0 0.0 0.0
17.38 0.0 0.0 0.0 0.0 0.0 0.0
17.39 0.0 0.0 0.0 0.0 0.0 0.0
17.4 0.0 0.0 0.0 0.0 0.0 0.0
17.41 0.0 0.0 0.0 0.0 0.0 0.0
17.42 0.0 0.0 0.0 0.0 0.0 0.0
17.43 0.0 0.0 0.0 0.0 0.0 0.0
17.44 0.0 0.0 0.0 0.0 0.0 0.0
17.45 0.0 0.0 0.0 0.0 0.0 0.0
17.46 0.0 0.0 0.0 0.0 0.0 0.0
17.47 0.0 0.0 0.0 0.0 0.0 0.0
17.48 0.0 0.0 0.0 0.0 0.0 0.0
17.49 0.0 0.0 0.0 0.0 0.0 0.0
17.5 0.0 0.0 0.0 0.0 0.0 0.0
17.51 0.0 0.0 0.0 0.0 0.0 0.0
17.52 0.0 0.0 0.0 0.0 0.0 0.0
17.53 0.0 0.0 0.0 0.0 0.0 0.0
17.54 0.0 0.0 0.0 0.0 0.0 0.0
17.55 0.0 0.0 0.0 0.0 0.0 0.0
17.56 0.0 0.0 0.0 0.0 0.0 0.0
17.57 0.0 0.0 0.0 0.0 0.0 0.0
17.58 0.0 0.0 0.0 0.0 0.0 0.0
17.59 0.0 0.0 0.0 0.0 0.0 0.0
17.6 0.0 0.0 0.0 0.0 0.0 0.0
17.61 0.0 0.0 0.0 0.0 0.0 0.0
17.62 0.0 0.0 0.0 0.0 0.0 0.0
17.63 0.0 0.0 0.0 0.0 0.0 0.0
17.64 0.0 0.0 0.0 0.0 0.0 0.0
17.65 0.0 0.0 0.0 0.0 0.0 0.0
17.66 0.0 0.0 0.0 0.0 0.0 0.0
17.67 0.0 0.0 0.0 0.0 0.0 0.0
17.68 0.0 0.0 0.0 0.0 0.0 0.0
17.69 0.0 0.0 0.0 0.0 0.0 0.0
17.7 0.0 0.0 0.0 0.0 0.0 0.0
17.71 0.0 0.0 0.0 0.0 0.0 0.0
17.72 0.0 0.0 0.0 0.0 0.0 0.0
17.73 0.0 0.0 0.0 0.0 0.0 0.0
17.74 0.0 0.0 0.0 0.0 0.0 0.0
17.75 0.0 0.0 0.0 0.0 0.0 0.0
17.76 0.0 0.0 0.0 0.0 0.0 0.0
17.77 0.0 0.0 0.0 0.0 0.0 0.0
17.78 0.0 0.0 0.0 0.0 0.0 0.0
17.79 0.0 0.0 0.0 0.0 0.0 0.0
17.8 0.0 0.0 0.0 0.0 0.0 0.0
17.81 0.0 0.0 0.0 0.0 0.0 0.0
17.82 0.0 0.0 0.0 0.0 0.0 0.0
17.83 0.0 0.0 0.0 0.0 0.0 0.0
17.84 0.0 0.0 0.0 0.0 0.0 0.0
17.85 0.0 0.0 0.0 0.0 0.0 0.0
17.86 0.0 0.0 0.0 0.0 0.0 0.0
17.87 0.0 0.0 0.0 0.0 0.0 0.0
17.88 0.0 0.0 0.0 0.0 0.0 0.0
17.89 0.0 0.0 0.0 0.0 0.0 0.0
17.9 0.0 0.0 0.0 0.0 0.0 0.0
17.91 0.0 0.0 0.0 0.0 0.0 0.0
17.92 0.0 0.0 0.0 0.0 0.0 0.0
17.93 0.0 0.0 0.0 0.0 0.0 0.0
17.94 0.0 0.0 0.0 0.0 0.0 0.0
17.95 0.0 0.0 0.0 0.0 0.0 0.0
17.96 0.0 0.0 0.0 0.0 0.0 0.0
17.97 0.0 0.0 0.0 0.0 0.0 0.0
17.98 0.0 0.0 0.0 0.0 0.0 0.0
17.99 0.0 0.0 0.0 0.0 0.0 0.0
18.0 0.0 0.0 0.0 1.6450690724564727e-5 -1.5695545954462194e-6 5.690492003930007e-6
18.01 0.0 0.0 0.0 1.6725285170024384e-5 -1.5957535545642081e-6 5.785477528998476e-6
18.02 0.0 0.0 0.0 1.700443121479682e-5 -1.622386780166036e-6 5.8820375070749145e-6
18.03 0.0 0.0 0.0 1.7288203230592685e-5 -1.649461368030384e-6 5.980197664229544e-6
18.04 0.0 0.0 0.0 1.7576676768186104e-5 -1.6769845264299478e-6 6.079984134384839e-6
18.05 0.0 0.0 0.0 1.7869928574887478e-5 -1.7049635777985277e-6 6.181423465359578e-6
18.06 0.0 0.0 0.0 1.816803661223168e-5 -1.7334059604186094e-6 6.284542624987406e-6
18.07 0.0 0.0 0.0 1.8471080073886246e-5 -1.7623192301301105e-6 6.3893690073114965e-6
18.08 0.0 0.0 0.0 1.877913940377738e-5 -1.791711062059672e-6 6.495930438854544e-6
18.09 0.0 0.0 0.0 1.909229631443817e-5 -1.8215892523711135e-6 6.604255184965639e-6
18.1 0.0 0.0 0.0 1.9410633805576658e-5 -1.851961720037373e-6 6.714371956243196e-6
18.11 0.0 0.0 0.0 1.9734236182867678e-5 -1.8828365086330623e-6 6.8263099150352584e-6
18.12 0.0 0.0 0.0 2.0063189076968018e-5 -1.9142217881489745e-6 6.940098682017087e-6
18.13 0.0 0.0 0.0 2.0397579462754684e-5 -1.946125856827444e-6 7.055768342845899e-6
18.14 0.0 0.0 0.0 2.0737495678789824e-5 -1.9785571430194746e-6 7.173349454894025e-6
18.15 0.0 0.0 0.0 2.1083027447009517e-5 -2.011524207063268e-6 7.292873054059494e-6
18.16 0.0 0.0 0.0 2.1434265892640593e-5 -2.045035743184622e-6 7.4143706616555e-6
18.17 0.0 0.0 0.0 2.1791303564342316e-5 -2.0791005814184466e-6 7.537874291377663e-6
18.18 0.0 0.0 0.0 2.215423445457644e-5 -2.113727689552355e-6 7.663416456350258e-6
18.19 0.0 0.0 0.0 2.2523154020204642e-5 -2.1489261750917384e-6 7.79103017625114e-6
18.2 0.0 0.0 0.0 2.2898159203312297e-5 -2.1847052872468112e-6 7.92074898451491e-6
18.21 0.0 0.0 0.0 2.3279348452261764e-5 -2.221074418941088e-6 8.052606935615529e-6
18.22 0.0 0.0 0.0 2.3666821742971446e-5 -2.258043108841595e-6 8.186638612426974e-6
18.23 0.0 0.0 0.0 2.4060680600424336e-5 -2.2956210434112204e-6 8.322879133663322e-6
18.24 0.0 0.0 0.0 2.4461028120401693e-5 -2.3338180589819637e-6 8.461364161396688e-6
18.25 0.0 0.0 0.0 2.486796899144594e-5 -2.372644143850788e-6 8.602129908654445e-6
18.26 0.0 0.0 0.0 2.528160951704769e-5 -2.4121094403961456e-6 8.745213147093994e-6
18.27 0.0 0.0 0.0 2.5702057638060017e-5 -2.4522242472167883e-6 8.890651214756124e-6
18.28 0.0 0.0 0.0 2.612942295533763e-5 -2.4929990212914618e-6 9.038482023896184e-6
18.29 0.0 0.0 0.0 2.6563816752598615e-5 -2.5344443801605956e-6 9.188744068892221e-6
18.3 0.0 0.0 0.0 2.7005352019511312e-5 -2.5765711041284625e-6 9.341476434231018e-6
18.31 0.0 0.0 0.0 2.7454143475000274e-5 -2.619390138487153e-6 9.49671880256991e-6
18.32 0.0 0.0 0.0 2.791030759077513e-5 -2.6629125957614585e-6 9.654511462875686e-6
18.33 0.0 0.0 0.0 2.8373962615075335e-5 -2.707149757974061e-6 9.814895318638199e-6
18.34 0.0 0.0 0.0 2.8845228596634375e-5 -2.7521130789323077e-6 9.977911896159864e-6
18.35 0.0 0.0 0.0 2.9324227408856465e-5 -2.7978141865346698e-6 1.0143603352918673e-5
18.36 0.0 0.0 0.0 2.9811082774207396e-5 -2.844264885097949e-6 1.0312012486005284e-5
18.37 0.0 0.0 0.0 3.030592028881591e-5 -2.8914771577043793e-6 1.0483182740632928e-5
18.38 0.0 0.0 0.0 3.080886744728083e-5 -2.939463168568748e-6 1.0657158218718493e-5
18.39 0.0 0.0 0.0 3.132005366768594e-5 -2.988235265424707e-6 1.0833983687535486e-5
18.4 0.0 0.0 0.0 3.1839610316813775e-5 -3.0378059819306084e-6 1.1013704588435762e-5
18.41 0.0 0.0 0.0 3.236767073556091e-5 -3.088188040094271e-6 1.1196367045641005e-5
18.42 0.0 0.0 0.0 3.290437026454569e-5 -3.1393943527164156e-6 1.1382017875100734e-5
18.43 0.0 0.0 0.0 3.3449846269909046e-5 -3.191438025851982e-6 1.1570704593417116e-5
18.44 0.0 0.0 0.0 3.4004238169302695e-5 -3.2443323612899635e-6 1.1762475426834604e-5
18.45 0.0 0.0 0.0 3.456768745805831e-5 -3.298090859050005e-6 1.1957379320292166e-5
18.46 0.0 0.0 0.0 3.514033773553818e-5 -3.352727219896473e-6 1.2155465946538294e-5
18.47 0.0 0.0 0.0 3.572233473165608e-5 -3.408255347869187e-6 1.2356785715304893e-5
18.48 0.0 0.0 0.0 3.631382633356983e-5 -3.464689352829567e-6 1.2561389782540556e-5
18.49 0.0 0.0 0.0 3.6914962612533445e-5 -3.5220435530229718e-6 1.2769330059699052e-5
18.5 0.0 0.0 0.0 3.75258958509097e-5 -3.5803324776559595e-6 1.2980659223083295e-5
18.51 0.0 0.0 0.0 3.814678056933034e-5 -3.6395708694873713e-6 1.3195430723240377e-5
18.52 0.0 0.0 0.0 3.8777773554003e-5 -3.6997736874340206e-6 1.3413698794407384e-5
18.53 0.0 0.0 0.0 3.9419033884155725e-5 -3.7609561091888303e-6 1.363551846400476e-5
18.54 0.0 0.0 0.0 4.0070722959609585e-5 -3.82313353385183e-6 1.3860945562174028e-5
18.55 0.0 0.0 0.0 4.073300452847747e-5 -3.886321584572632e-6 1.4090036731359125e-5
18.56 0.0 0.0 0.0 4.140604471497425e-5 -3.950536111203905e-6 1.4322849435926267e-5
18.57 0.0 0.0 0.0 4.209001204733692e-5 -4.015793192965352e-6 1.4559441971821872e-5
18.58 0.0 0.0 0.0 4.278507748583859e-5 -4.082109141116263e-6 1.4799873476262943e-5
18.59 0.0 0.0 0.0 4.3491414450894984e-5 -4.149500501637182e-6 1.5044203937459424e-5
18.6 0.0 0.0 0.0 4.420919885124587e-5 -4.217984057918988e-6 1.5292494204362518e-5
18.61 0.0 0.0 0.0 4.493860911220762e-5 -4.287576833458095e-6 1.554480599643757e-5
18.62 0.0 0.0 0.0 4.567982620398405e-5 -4.3582960945578075e-6 1.5801201913457132e-5
18.63 0.0 0.0 0.0 4.643303367002148e-5 -4.43015935303351e-6 1.6061745445309336e-5
18.64 0.0 0.0 0.0 4.719841765540333e-5 -4.503184368921987e-6 1.63265009818199e-5
18.65 0.0 0.0 0.0 4.797616693526373e-5 -4.57738915319204e-6 1.6595533822580757e-5
18.66 0.0 0.0 0.0 4.876647294321625e-5 -4.652791970457232e-6 1.6868910186783885e-5
18.67 0.0 0.0 0.0 4.956952979977625e-5 -4.729411341687421e-6 1.7146697223052952e-5
18.68 0.0 0.0 0.0 5.038553434076986e-5 -4.8072660469192675e-6 1.742896301927031e-5
18.69 0.0 0.0 0.0 5.121468614571267e-5 -4.886375127963961e-6 1.7715776612393527e-5
18.7 0.0 0.0 0.0 5.20571875661405e-5 -4.966757891110054e-6 1.8007207998255357e-5
18.71 0.0 0.0 0.0 5.29132437538838e-5 -5.048433909821315e-6 1.8303328141344176e-5
18.72 0.0 0.0 0.0 5.378306268926067e-5 -5.131423027426519e-6 1.8604208984556308e-5
18.73 0.0 0.0 0.0 5.466685520918138e-5 -5.215745359800718e-6 1.8909923458917687e-5
18.74 0.0 0.0 0.0 5.556483503513726e-5 -5.301421298036102e-6 1.9220545493265588e-5
18.75 0.0 0.0 0.0 5.647721880106576e-5 -5.388471511100125e-6 1.9536150023887448e-5
18.76 0.0 0.0 0.0 5.7404226081063424e-5 -5.4769169484798595e-6 1.9856813004107156e-5
18.77 0.0 0.0 0.0 5.83460794169351e-5 -5.566778842810284e-6 2.018261141381462e-5
18.78 0.0 0.0 0.0 5.930300434555638e-5 -5.6580787124851575e-6 2.05136232689308e-5
18.79 0.0 0.0 0.0 6.0275229426024756e-5 -5.7508383642472945e-6 2.0849927630799587e-5
18.8 0.0 0.0 0.0 6.126298626658641e-5 -5.8450798957576995e-6 2.1191604615502122e-5
18.81 0.0 0.0 0.0 6.22665095513058e-5 -5.94082569814013e-6 2.153873540308213e-5
18.82 0.0 0.0 0.0 6.328603706646587e-5 -6.038098458499924e-6 2.1891402246678055e-5
18.83 0.0 0.0 0.0 6.432180972666348e-5 -6.136921162413702e-6 2.22496884815498e-5
18.84 0.0 0.0 0.0 6.537407160058721e-5 -6.237317096388919e-6 2.2613678533995567e-5
18.85 0.0 0.0 0.0 6.644306993643987e-5 -6.3393098502892545e-6 2.2983457930145816e-5
18.86 0.0 0.0 0.0 6.75290551869892e-5 -6.442923319725005e-6 2.33591133046286e-5
18.87 0.0 0.0 0.0 6.863228103421516e-5 -6.548181708404306e-6 2.3740732409095374e-5
18.88 0.0 0.0 0.0 6.975300441352209e-5 -6.655109530443307e-6 2.4128404120596243e-5
18.89 0.0 0.0 0.0 7.089148553749574e-5 -6.763731612633058e-6 2.452221844979784e-5
18.9 0.0 0.0 0.0 7.204798791916344e-5 -6.874073096658431e-6 2.4922266549029254e-5
18.91 0.0 0.0 0.0 7.322277839473869e-5 -6.986159441268383e-6 2.5328640720149722e-5
18.92 0.0 0.0 0.0 7.441612714580582e-5 -7.100016424392537e-6 2.57414344222225e-5
18.93 0.0 0.0 0.0 7.562830772092182e-5 -7.215670145202167e-6 2.6160742278987242e-5
18.94 0.0 0.0 0.0 7.68595970565973e-5 -7.333147026111958e-6 2.6586660086117553e-5
18.95 0.0 0.0 0.0 7.811027549761743e-5 -7.4524738147189085e-6 2.7019284818250256e-5
18.96 0.0 0.0 0.0 7.938062681667703e-5 -7.5736775856757115e-6 2.7458714635777374e-5
18.97 0.0 0.0 0.0 8.067093823327978e-5 -7.696785742493824e-6 2.7905048891383646e-5
18.98 0.0 0.0 0.0 8.198150043187725e-5 -7.821826019274089e-6 2.835838813632098e-5
18.99 0.0 0.0 0.0 8.331260757919388e-5 -7.948826482359995e-6 2.8818834126401425e-5
19.0 0.0 0.0 0.0 8.46645573407127e-5 -8.077815531910055e-6 2.9286489827699737e-5
19.01 0.0 0.0 0.0 8.603765089626546e-5 -8.208821903385867e-6 2.9761459421946214e-5
19.02 0.0 0.0 0.0 8.743219295469641e-5 -8.341874668950585e-6 3.0243848311599076e-5
19.03 0.0 0.0 0.0 8.884849176755155e-5 -8.477003238775444e-6 3.073376312457973e-5
19.04 0.0 0.0 0.0 9.028685914174301e-5 -8.614237362247937e-6 3.123131171865355e-5
19.05 0.0 0.0 0.0 9.174761045115558e-5 -8.753607129079017e-6 3.1736603185444676e-5
19.06 0.0 0.0 0.0 9.323106464713156e-5 -8.895142970303674e-6 3.22497478540629e-5
19.07 0.0 0.0 0.0 9.473754426780292e-5 -9.038875659171256e-6 3.277085729433175e-5
19.08 0.0 0.0 0.0 9.626737544620389e-5 -9.184836311919474e-6 3.330004431959472e-5
19.09 0.0 0.0 0.0 9.782088791713e-5 -9.333056388428686e-6 3.383742298908791e-5
19.1 0.0 0.0 0.0 9.939841502267519e-5 -9.48356769275054e-6 3.438310860985538e-5
19.11 0.0 0.0 0.0 0.00010100029371640717 -9.636402373505948e-6 3.493721773819345e-5
19.12 0.0 0.0 0.0 0.00010262686456612102 -9.79159292414799e-6 3.54998681806032e-5
19.13 0.0 0.0 0.0 0.00010427847175510942 -9.949172183083173e-6 3.6071178994229866e-5
19.14 0.0 0.0 0.0 0.00010595546308190728 -1.010917333364694e-5 3.665127048677452e-5
19.15 0.0 0.0 0.0 0.00010765818995843438 -1.0271629903926498e-5 3.7240264215851545e-5
19.16 0.0 0.0 0.0 0.000109387007406495 -1.0436575766426948e-5 3.783828298777785e-5
19.17 0.0 0.0 0.0 0.00011114227405255612 -1.0604045137572855e-5 3.8445450855766575e-5
19.18 0.0 0.0 0.0 0.00011292435212075656 -1.0774072577041467e-5 3.906189311750887e-5
19.19 0.0 0.0 0.0 0.00011473360742407867 -1.094669298692034e-5 3.968773631212006e-5
19.2 0.0 0.0 0.0 0.00011657040935361107 -1.1121941610682816e-5 4.032310821642555e-5
19.21 0.0 0.0 0.0 0.00011843513086585339 -1.129985403197691e-5 4.096813784056931e-5
19.22 0.0 0.0 0.0 0.00012032814846797593 -1.1480466173218837e-5 4.162295542291506e-5
19.23 0.0 0.0 0.0 0.00012224984220098736 -1.1663814293987082e-5 4.2287692424223756e-5
19.24 0.0 0.0 0.0 0.00012420059562071988 -1.1849934989208177e-5 4.2962481521076145e-5
19.25 0.0 0.0 0.0 0.00012618079577658364 -1.2038865187129773e-5 4.364745659852365e-5
19.26 0.0 0.0 0.0 0.0001281908331879968 -1.2230642147071768e-5 4.434275274193524e-5
19.27 0.0 0.0 0.0 0.0001302311018184371 -1.2425303456950435e-5 4.504850622802159e-5
19.28 0.0 0.0 0.0 0.0001323019990470342 -1.2622887030568252e-5 4.5764854515008446e-5
19.29 0.0 0.0 0.0 0.00013440392563761984 -1.2823431104661064e-5 4.6491936231930814e-5
19.3 0.0 0.0 0.0 0.00013653728570517975 -1.3026974235696882e-5 4.72298911670282e-5
19.31 0.0 0.0 0.0 0.00013870248667960706 -1.323355529641807e-5 4.797886025520648e-5
19.32 0.0 0.0 0.0 0.00014089993926670358 -1.3443213472120228e-5 4.873898556454779e-5
19.33 0.0 0.0 0.0 0.00014313005740632605 -1.3655988256658959e-5 4.9510410281832826e-5
19.34 0.0 0.0 0.0 0.00014539325822762308 -1.3871919448179087e-5 5.0293278697056726e-5
19.35 0.0 0.0 0.0 0.00014768996200125798 -1.40910471445563e-5 5.108773618690241e-5
19.36 0.0 0.0 0.0 0.00015002059208855652 -1.4313411738545153e-5 5.1893929197150124e-5
19.37 0.0 0.0 0.0 0.0001523855748874897 -1.4539053912625714e-5 5.271200522399229e-5
19.38 0.0 0.0 0.0 0.00015478533977540164 -1.476801463353869e-5 5.354211279422237e-5
19.39 0.0 0.0 0.0 0.00015722031904842 -1.5000335146505043e-5 5.438440144427618e-5
19.4 0.0 0.0 0.0 0.00015969094785743944 -1.5236056969118124e-5 5.523902169808782e-5
19.41 0.0 0.0 0.0 0.00016219766414062202 -1.5475221884903338e-5 5.610612504374074e-5
19.42 0.0 0.0 0.0 0.0001647409085523034 -1.5717871936535336e-5 5.6985863908875566e-5
19.43 0.0 0.0 0.0 0.00016732112438824255 -1.5964049418706006e-5 5.7878391634833034e-5
19.44 0.0 0.0 0.0 0.00016993875750712103 -1.6213796870634734e-5 5.878386244949966e-5
19.45 0.0 0.0 0.0 0.00017259425624819886 -1.6467157068212156e-5 5.970243143882393e-5
19.46 0.0 0.0 0.0 0.00017528807134506493 -1.6724173015770782e-5 6.063425451698151e-5
19.47 0.0 0.0 0.0 0.0001780206558353682 -1.698488793747291e-5 6.15794883951502e-5
19.48 0.0 0.0 0.0 0.00018079246496647655 -1.7249345268309173e-5 6.253829054887615e-5
19.49 0.0 0.0 0.0 0.0001836039560969478 -1.7517588644698135e-5 6.351081918399158e-5
19.5 0.0 0.0 0.0 0.00018645558859376135 -1.7789661894681095e-5 6.449723320106586e-5
19.51 0.0 0.0 0.0 0.00018934782372519615 -1.806560902770188e-5 6.54976921583508e-5
19.52 0.0 0.0 0.0 0.00019228112454929854 -1.8345474223965104e-5 6.651235623320032e-5
19.53 0.0 0.0 0.0 0.00019525595579784858 -1.862930182336592e-5 6.754138618193294e-5
19.54 0.0 0.0 0.0 0.0001982727837557336 -1.8917136313980877e-5 6.858494329810572e-5
19.55 0.0 0.0 0.0 0.0002013320761356767 -1.9209022320115762e-5 6.964318936918132e-5
19.56 0.0 0.0 0.0 0.0002044343019482095 -1.9505004589899845e-5 7.071628663154992e-5
19.57 0.0 0.0 0.0 0.0002075799313668467 -1.9805127982422275e-5 7.180439772389165e-5
19.58 0.0 0.0 0.0 0.00021076943558835345 -2.0109437454399968e-5 7.290768563884122e-5
19.59 0.0 0.0 0.0 0.00021400328668806802 -2.0417978046374413e-5 7.402631367294237e-5
19.6 0.0 0.0 0.0 0.00021728195747017367 -2.0730794868425854e-5 7.516044537485514e-5
19.61 0.0 0.0 0.0 0.00022060592131288017 -2.1047933085402174e-5 7.63102444918022e-5
19.62 0.0 0.0 0.0 0.00022397565200843675 -2.1369437901654602e-5 7.747587491422749e-5
19.63 0.0 0.0 0.0 0.00022739162359790163 -2.1695354545273272e-5 7.865750061864097e-5
19.64 0.0 0.0 0.0 0.00023085431020063583 -2.2025728251818977e-5 7.985528560863847e-5
19.65 0.0 0.0 0.0 0.00023436418583842745 -2.236060424754324e-5 8.106939385406414e-5
19.66 0.0 0.0 0.0 0.00023792172425422985 -2.2700027732094073e-5 8.229998922830994e-5
19.67 0.0 0.0 0.0 0.00024152739872542443 -2.304404386069929e-5 8.354723544372076e-5
19.68 0.0 0.0 0.0 0.0002451816818715917 -2.3392697725826316e-5 8.481129598510032e-5
19.69 0.0 0.0 0.0 0.0002488850454567349 -2.3746034338312124e-5 8.609233404129785e-5
19.7 0.0 0.0 0.0 0.00025263796018590296 -2.4104098607959358e-5 8.739051243485749e-5
19.71 0.0 0.0 0.0 0.0002564408954962107 -2.446693532359739e-5 8.870599354972974e-5
19.72 0.0 0.0 0.0 0.00026029431934218507 -2.48345891326025e-5 9.003893925702014e-5
19.73 0.0 0.0 0.0 0.0002641986979754547 -2.5207104519877983e-5 9.138951083878112e-5
19.74 0.0 0.0 0.0 0.0002681544957187181 -2.558452578628863e-5 9.275786890982498e-5
19.75 0.0 0.0 0.0 0.0002721621747340207 -2.596689702655202e-5 9.414417333756817e-5
19.76 0.0 0.0 0.0 0.0002762221947852881 -2.6354262106582083e-5 9.554858315988849e-5
19.77 0.0 0.0 0.0 0.0002803350129951466 -2.6746664640287178e-5 9.697125650100662e-5
19.78 0.0 0.0 0.0 0.0002845010835960205 -2.7144147965822666e-5 9.841235048538752e-5
19.79 0.0 0.0 0.0 0.00028872085767550127 -2.75467551212963e-5 9.987202114966059e-5
19.8 0.0 0.0 0.0 0.00029299478291604073 -2.795452881993291e-5 0.00010135042335257648
19.81 0.0 0.0 0.0 0.0002973233033289455 -2.8367511424694448e-5 0.00010284771068299246
19.82 0.0 0.0 0.0 0.00030170685898275325 -2.878574492236485e-5 0.00010436403536591456
19.83 0.0 0.0 0.0 0.0003061458857259775 -2.920927089709687e-5 0.00010589954816659165
19.84 0.0 0.0 0.0 0.00031064081490431904 -2.9638130503431622e-5 0.00010745439829269546
19.85 0.0 0.0 0.0 0.0003151920730723486 -3.007236443879008e-5 0.00010902873329458812
19.86 0.0 0.0 0.0 0.0003198000816997635 -3.0512012915447366e-5 0.00011062269896371288
19.87 0.0 0.0 0.0 0.0003244652568722743 -3.095711563199425e-5 0.00011223643922912704
19.88 0.0 0.0 0.0 0.0003291880089871854 -3.140771174429265e-5 0.00011387009605219982
19.89 0.0 0.0 0.0 0.0003339687424438014 -3.186383983593751e-5 0.00011552380931952001
19.9 0.0 0.0 0.0 0.00033880785532870543 -3.2325537888229156e-5 0.0001171977167340301
19.91 0.0 0.0 0.0 0.00034370573909607593 -3.279284324967264e-5 0.00011889195370444387
19.92 0.0 0.0 0.0 0.00034866277824310474 -3.326579260500933e-5 0.00012060665323296969
19.93 0.0 0.0 0.0 0.0003536793499806926 -3.374442194379813e-5 0.00012234194580140016
19.94 0.0 0.0 0.0 0.0003587558238995433 -3.422876652855753e-5 0.0001240979592556099
