<|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|>
0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.92563 -0.531462 0.28521 -0.0516471 -0.190989 -0.159409 -0.127005 0.384398 -0.0807182 -0.0385436 0.192869 0.177947 -0.0593894 -0.235516 0.228683 0.428248 0.233422 0.0217251 -0.145516 0.0759451 -0.677349 -0.166207 -0.365662 -0.479154 -0.00953155 -0.0806188 -0.109483 0.164612 0.0275267 0.635913 0.14079 0.0525928 -0.0483291 -0.110006 0.162667 0.216955 0.336016 -0.63026 -0.0999793 -0.13721 0.0145584 0.612186 -0.217363 -0.0326408 0.0843741 -0.0373047 -0.492881 0.0887779 -0.0747557 0.0296637 0.192177 -0.0826444 0.0397532 0.325077 -0.212429 3.71772
1.93281 -0.532766 0.276912 -0.0491486 -0.188643 -0.15743 -0.125003 0.384427 -0.0793658 -0.0437207 0.190258 0.177835 -0.0585207 -0.235013 0.228062 0.423736 0.227302 0.023718 -0.14596 0.0728567 -0.699708 -0.163478 -0.368637 -0.482737 -0.00983052 -0.0788538 -0.113066 0.162167 0.0505292 0.614768 0.14092 0.0478701 -0.0502122 -0.117995 0.15896 0.214963 0.31465 -0.600381 -0.0954694 -0.1366 0.0116413 0.59272 -0.203832 -0.031664 0.0834034 -0.0346528 -0.49684 0.0905886 -0.0753735 0.0292931 0.184817 -0.0804146 0.0351151 0.321749 -0.194984 3.47957
1.93999 -0.534028 0.269025 -0.0467158 -0.186421 -0.155528 -0.122965 0.384397 -0.0780282 -0.0485041 0.18761 0.177709 -0.0576922 -0.234509 0.227396 0.419254 0.22132 0.0256351 -0.146244 0.0699664 -0.723643 -0.160798 -0.371587 -0.486069 -0.0101258 -0.0771482 -0.116413 0.159818 0.0727009 0.5942 0.141192 0.0434255 -0.0519954 -0.125422 0.155199 0.214869 0.294829 -0.572173 -0.0911957 -0.135961 0.00894127 0.574455 -0.191123 -0.0307438 0.0823219 -0.0322594 -0.499857 0.0923793 -0.0760196 0.0289865 0.177485 -0.0780367 0.0307894 0.317738 -0.178792 3.28623
1.94717 -0.535245 0.261529 -0.0443502 -0.184314 -0.153702 -0.120897 0.38431 -0.0767042 -0.0529585 0.184933 0.177554 -0.0569051 -0.234004 0.226681 0.414803 0.215475 0.0274786 -0.146397 0.0672346 -0.749278 -0.158153 -0.374511 -0.489151 -0.0104158 -0.0755021 -0.11958 0.157543 0.0940558 0.574231 0.14161 0.0392451 -0.0536819 -0.132349 0.151389 0.21622 0.276434 -0.54554 -0.0871479 -0.13531 0.00641623 0.557317 -0.179192 -0.0298776 0.0811581 -0.0300911 -0.502061 0.0941421 -0.0766994 0.0287199 0.170194 -0.0755433 0.0267407 0.313206 -0.163688 3.12996
1.95435 -0.536415 0.254402 -0.0420537 -0.182309 -0.151949 -0.118807 0.38417 -0.075393 -0.0571363 0.182231 0.177356 -0.0561607 -0.233495 0.225914 0.410381 0.209769 0.0292503 -0.146444 0.0646284 -0.776748 -0.155534 -0.377406 -0.491985 -0.010699 -0.0739155 -0.122614 0.155321 0.11461 0.554882 0.142183 0.0353154 -0.0552752 -0.138823 0.147533 0.218636 0.259357 -0.520391 -0.0833163 -0.134656 0.00403134 0.541233 -0.167998 -0.0290628 0.079935 -0.0281192 -0.503566 0.0958702 -0.0774164 0.0284729 0.162958 -0.0729595 0.0229396 0.308274 -0.149527 3.0044
1.96154 -0.537535 0.247626 -0.039828 -0.180398 -0.150269 -0.116699 0.383978 -0.0740936 -0.0610803 0.179504 0.177108 -0.0554606 -0.23298 0.225095 0.40599 0.204201 0.030952 -0.146401 0.0621202 -0.8062 -0.15293 -0.380266 -0.494572 -0.0109741 -0.0723888 -0.125554 0.153135 0.134383 0.536174 0.142917 0.0316238 -0.0567783 -0.144884 0.14363 0.221793 0.243497 -0.496641 -0.0796917 -0.134008 0.0017576 0.526132 -0.157498 -0.0282966 0.0786706 -0.0263191 -0.504472 0.0975576 -0.078173 0.0282288 0.155789 -0.0703041 0.0193616 0.303033 -0.136186 2.90433
1.96872 -0.538603 0.241183 -0.0376749 -0.178571 -0.148658 -0.114581 0.383737 -0.0728053 -0.0648252 0.176751 0.176801 -0.0548066 -0.232458 0.224222 0.401631 0.198771 0.0325856 -0.146282 0.0596874 -0.837789 -0.150332 -0.383087 -0.496913 -0.0112397 -0.0709224 -0.128431 0.150967 0.153394 0.518124 0.143819 0.0281584 -0.0581939 -0.150565 0.139676 0.225423 0.228761 -0.47421 -0.0762652 -0.133369 -0.00042913 0.511948 -0.147652 -0.0275764 0.07738 -0.0246697 -0.504866 0.0991992 -0.0789704 0.0279731 0.148697 -0.0675919 0.0159866 0.297554 -0.123556 2.82542
1.9759 -0.539616 0.235056 -0.0355966 -0.176821 -0.147115 -0.112455 0.383448 -0.0715274 -0.0683989 0.173969 0.176431 -0.0542006 -0.231925 0.223295 0.397304 0.193478 0.0341528 -0.1461 0.0573115 -0.871689 -0.147731 -0.385863 -0.499006 -0.0114947 -0.069517 -0.131272 0.148801 0.171665 0.50075 0.144898 0.024908 -0.0595246 -0.15589 0.135668 0.2293 0.215063 -0.453023 -0.0730284 -0.132744 -0.00254893 0.498621 -0.138422 -0.0268994 0.0760753 -0.0231529 -0.504828 0.100791 -0.0798087 0.027694 0.141694 -0.0648339 0.0127978 0.291887 -0.111543 2.76409
1.98308 -0.540572 0.229231 -0.033595 -0.175141 -0.145636 -0.110327 0.383114 -0.0702593 -0.071824 0.171157 0.175992 -0.0536448 -0.23138 0.222313 0.393009 0.18832 0.0356551 -0.145861 0.0549772 -0.908083 -0.145119 -0.388587 -0.500851 -0.0117378 -0.0681733 -0.134096 0.146626 0.189216 0.484066 0.14616 0.0218619 -0.0607727 -0.160881 0.131603 0.233238 0.202326 -0.433009 -0.0699731 -0.132134 -0.0046185 0.48609 -0.129771 -0.0262632 0.0747662 -0.021753 -0.504425 0.102329 -0.0806878 0.0273812 0.134787 -0.0620389 0.00978165 0.28607 -0.100065 2.71732
1.99026 -0.541467 0.223693 -0.0316724 -0.173523 -0.144221 -0.1082 0.382736 -0.0690005 -0.0751182 0.168311 0.175481 -0.0531417 -0.230819 0.221277 0.388749 0.183297 0.0370942 -0.145571 0.0526724 -0.947172 -0.142485 -0.391252 -0.502447 -0.0119681 -0.0668923 -0.136923 0.144427 0.206071 0.468086 0.147615 0.0190102 -0.0619404 -0.165552 0.127478 0.237084 0.190477 -0.414101 -0.0670919 -0.131539 -0.00665162 0.474302 -0.121663 -0.0256655 0.0734611 -0.0204563 -0.503718 0.103809 -0.0816066 0.0270263 0.127986 -0.0592136 0.0069269 0.280128 -0.0890492 2.68252
