C1 C4 C5
0.0000000000e+00 1.0040000000e+01 1.0080000000e+01
1.0000000000e-01 8.7253514750e+00 8.7814645520e+00
2.0000000000e-01 7.5551380201e+00 7.6079898296e+00
3.0000000000e-01 6.5937379275e+00 6.6441324538e+00
4.0000000000e-01 5.6427656014e+00 5.6909764111e+00
5.0000000000e-01 4.8697480299e+00 4.9164114172e+00
8.0000000000e-01 2.9228736773e+00 2.9400000000e+00
1.0000000000e+00 2.0235623660e+00 2.0676827152e+00
1.2000000000e+00 1.3443833057e+00 1.3895049476e+00
1.5000000000e+00 7.4363452699e-01 7.9129731806e-01
1.8897261000e+00 3.7443640000e-01 4.1143988000e-01
1.8969071000e+00 3.7082172000e-01 4.0690778000e-01
1.9040881000e+00 3.6724904000e-01 4.0242631000e-01
1.9112690000e+00 3.6371777000e-01 3.9799515000e-01
1.9184500000e+00 3.6022730000e-01 3.9361397000e-01
1.9256309000e+00 3.5677703000e-01 3.8928243000e-01
1.9328119000e+00 3.5336636000e-01 3.8500019000e-01
1.9399928000e+00 3.4999468000e-01 3.8076691000e-01
1.9471738000e+00 3.4666142000e-01 3.7658224000e-01
1.9543548000e+00 3.4336595000e-01 3.7244584000e-01
1.9615357000e+00 3.4010771000e-01 3.6835737000e-01
1.9687167000e+00 3.3688607000e-01 3.6431647000e-01
1.9758976000e+00 3.3370045000e-01 3.6032282000e-01
1.9830786000e+00 3.3055025000e-01 3.5637607000e-01
1.9902596000e+00 3.2743486000e-01 3.5247588000e-01
1.9974405000e+00 3.2435368000e-01 3.4862193000e-01
2.0046215000e+00 3.2130609000e-01 3.4481391000e-01
2.0118024000e+00 3.1829148000e-01 3.4105149000e-01
2.0189834000e+00 3.1530921000e-01 3.3733438000e-01
2.0261644000e+00 3.1235867000e-01 3.3366229000e-01
2.0333453000e+00 3.0943919000e-01 3.3003494000e-01
2.0405263000e+00 3.0655013000e-01 3.2645207000e-01
2.0477072000e+00 3.0369082000e-01 3.2291344000e-01
2.0548882000e+00 3.0086058000e-01 3.1941881000e-01
2.0620692000e+00 2.9805871000e-01 3.1596799000e-01
2.0692501000e+00 2.9528449000e-01 3.1256079000e-01
2.0764311000e+00 2.9253719000e-01 3.0919705000e-01
2.0836120000e+00 2.8981603000e-01 3.0587665000e-01
2.0907930000e+00 2.8712025000e-01 3.0259949000e-01
2.0979740000e+00 2.8444903000e-01 2.9936550000e-01
2.1051549000e+00 2.8180153000e-01 2.9617464000e-01
2.1123359000e+00 2.7917689000e-01 2.9302691000e-01
2.1195168000e+00 2.7657420000e-01 2.8992235000e-01
2.1266978000e+00 2.7399256000e-01 2.8686101000e-01
2.1338787000e+00 2.7143102000e-01 2.8384300000e-01
2.1410597000e+00 2.6888860000e-01 2.8086844000e-01
2.1482407000e+00 2.6636432000e-01 2.7793748000e-01
2.1554216000e+00 2.6385721000e-01 2.7505027000e-01
2.1626026000e+00 2.6136626000e-01 2.7220697000e-01
2.1697835000e+00 2.5889053000e-01 2.6940771000e-01
2.1769645000e+00 2.5642908000e-01 2.6665262000e-01
2.1841455000e+00 2.5398108000e-01 2.6394173000e-01
2.1913264000e+00 2.5154572000e-01 2.6127504000e-01
2.1985074000e+00 2.4912236000e-01 2.5865240000e-01
2.2056883000e+00 2.4671044000e-01 2.5607357000e-01
2.2128693000e+00 2.4430958000e-01 2.5353817000e-01
2.2200503000e+00 2.4191954000e-01 2.5104564000e-01
2.2272312000e+00 2.3954027000e-01 2.4859527000e-01
2.2344122000e+00 2.3717186000e-01 2.4618620000e-01
2.2415931000e+00 2.3481458000e-01 2.4381742000e-01
2.2487741000e+00 2.3246882000e-01 2.4148776000e-01
2.2559551000e+00 2.3013510000e-01 2.3919598000e-01
2.2631360000e+00 2.2781401000e-01 2.3694072000e-01
2.2703170000e+00 2.2550622000e-01 2.3472059000e-01
2.2774979000e+00 2.2321248000e-01 2.3253425000e-01
2.2846789000e+00 2.2093363000e-01 2.3038046000e-01
2.2918599000e+00 2.1867048000e-01 2.2825802000e-01
2.2990408000e+00 2.1642380000e-01 2.2616578000e-01
2.3062218000e+00 2.1419432000e-01 2.2410262000e-01
2.3134027000e+00 2.1198270000e-01 2.2206751000e-01
2.3205837000e+00 2.0978954000e-01 2.2005947000e-01
2.3277647000e+00 2.0761537000e-01 2.1807759000e-01
2.3349456000e+00 2.0546067000e-01 2.1612102000e-01
2.3421266000e+00 2.0332585000e-01 2.1418897000e-01
2.3493075000e+00 2.0121125000e-01 2.1228072000e-01
2.3564885000e+00 1.9911719000e-01 2.1039559000e-01
2.3636694000e+00 1.9704390000e-01 2.0853297000e-01
2.3708504000e+00 1.9499159000e-01 2.0669229000e-01
2.3780314000e+00 1.9296042000e-01 2.0487301000e-01
2.3852123000e+00 1.9095052000e-01 2.0307465000e-01
2.3923933000e+00 1.8896197000e-01 2.0129675000e-01
2.3995742000e+00 1.8699483000e-01 1.9953890000e-01
2.4067552000e+00 1.8504914000e-01 1.9780069000e-01
2.4139362000e+00 1.8312491000e-01 1.9608177000e-01
2.4211171000e+00 1.8122211000e-01 1.9438179000e-01
2.4282981000e+00 1.7934073000e-01 1.9270043000e-01
2.4354790000e+00 1.7748070000e-01 1.9103738000e-01
2.4426600000e+00 1.7564195000e-01 1.8939238000e-01
2.4498410000e+00 1.7382443000e-01 1.8776514000e-01
2.4570219000e+00 1.7202802000e-01 1.8615541000e-01
2.4642029000e+00 1.7025263000e-01 1.8456296000e-01
2.4713838000e+00 1.6849815000e-01 1.8298755000e-01
2.4785648000e+00 1.6676446000e-01 1.8142897000e-01
2.4857458000e+00 1.6505144000e-01 1.7988702000e-01
2.4929267000e+00 1.6335894000e-01 1.7836149000e-01
2.5001077000e+00 1.6168684000e-01 1.7685219000e-01
2.5072886000e+00 1.6003499000e-01 1.7535896000e-01
2.5144696000e+00 1.5840323000e-01 1.7388161000e-01
2.5216506000e+00 1.5679143000e-01 1.7241999000e-01
2.5288315000e+00 1.5519942000e-01 1.7097393000e-01
2.5360125000e+00 1.5362705000e-01 1.6954328000e-01
2.5431934000e+00 1.5207415000e-01 1.6812790000e-01
2.5503744000e+00 1.5054057000e-01 1.6672765000e-01
2.5575553000e+00 1.4902614000e-01 1.6534239000e-01
2.5647363000e+00 1.4753069000e-01 1.6397200000e-01
2.5719173000e+00 1.4605406000e-01 1.6261635000e-01
2.5790982000e+00 1.4459608000e-01 1.6127532000e-01
2.5862792000e+00 1.4315658000e-01 1.5994878000e-01
2.5934601000e+00 1.4173540000e-01 1.5863664000e-01
2.6006411000e+00 1.4033235000e-01 1.5733876000e-01
2.6078221000e+00 1.3894728000e-01 1.5605505000e-01
2.6150030000e+00 1.3758001000e-01 1.5478540000e-01
2.6221840000e+00 1.3623036000e-01 1.5352969000e-01
2.6293649000e+00 1.3489818000e-01 1.5228783000e-01
2.6365459000e+00 1.3358329000e-01 1.5105970000e-01
2.6437269000e+00 1.3228552000e-01 1.4984519000e-01
2.6509078000e+00 1.3100470000e-01 1.4864420000e-01
2.6580888000e+00 1.2974070000e-01 1.4745663000e-01
2.6652697000e+00 1.2849338000e-01 1.4628240000e-01
2.6724507000e+00 1.2726262000e-01 1.4512142000e-01
2.6796317000e+00 1.2604828000e-01 1.4397360000e-01
2.6868126000e+00 1.2485024000e-01 1.4283883000e-01
2.6939936000e+00 1.2366837000e-01 1.4171702000e-01
2.7011745000e+00 1.2250254000e-01 1.4060806000e-01
2.7083555000e+00 1.2135261000e-01 1.3951183000e-01
2.7155365000e+00 1.2021846000e-01 1.3842823000e-01
2.7227174000e+00 1.1909995000e-01 1.3735712000e-01
2.7298984000e+00 1.1799695000e-01 1.3629838000e-01
2.7370793000e+00 1.1690934000e-01 1.3525187000e-01
2.7442603000e+00 1.1583697000e-01 1.3421746000e-01
2.7514412000e+00 1.1477973000e-01 1.3319500000e-01
2.7586222000e+00 1.1373746000e-01 1.3218433000e-01
2.7658032000e+00 1.1271006000e-01 1.3118529000e-01
2.7729841000e+00 1.1169738000e-01 1.3019773000e-01
2.7801651000e+00 1.1069928000e-01 1.2922146000e-01
2.7873460000e+00 1.0971565000e-01 1.2825632000e-01
2.7945270000e+00 1.0874635000e-01 1.2730211000e-01
2.8017080000e+00 1.0779125000e-01 1.2635867000e-01
2.8088889000e+00 1.0685021000e-01 1.2542578000e-01
2.8160699000e+00 1.0592311000e-01 1.2450327000e-01
2.8232508000e+00 1.0500982000e-01 1.2359093000e-01
2.8304318000e+00 1.0411021000e-01 1.2268857000e-01
2.8376128000e+00 1.0322414000e-01 1.2179598000e-01
2.8447937000e+00 1.0235149000e-01 1.2091296000e-01
2.8519747000e+00 1.0149213000e-01 1.2003932000e-01
2.8591556000e+00 1.0064593000e-01 1.1917485000e-01
2.8663366000e+00 9.9812760000e-02 1.1831935000e-01
2.8735176000e+00 9.8992490000e-02 1.1747265000e-01
2.8806985000e+00 9.8185010000e-02 1.1663454000e-01
2.8878795000e+00 9.7390170000e-02 1.1580485000e-01
2.8950604000e+00 9.6607850000e-02 1.1498340000e-01
2.9022414000e+00 9.5837940000e-02 1.1417003000e-01
2.9094224000e+00 9.5080290000e-02 1.1336457000e-01
2.9166033000e+00 9.4334790000e-02 1.1256688000e-01
2.9237843000e+00 9.3601310000e-02 1.1177680000e-01
2.9309652000e+00 9.2879720000e-02 1.1099421000e-01
2.9381462000e+00 9.2169910000e-02 1.1021898000e-01
2.9453272000e+00 9.1471750000e-02 1.0945099000e-01
2.9525081000e+00 9.0785110000e-02 1.0869013000e-01
2.9596891000e+00 9.0109880000e-02 1.0793630000e-01
2.9668700000e+00 8.9445930000e-02 1.0718941000e-01
2.9740510000e+00 8.8793140000e-02 1.0644936000e-01
