# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
1.17500000e+01  2.90400000e-02  2.71930000e-02  8.27200000e-03  -1.60374000e-01 -2.07830000e-02 1.30840000e-02
1.20000000e+01  2.48690000e-02  2.55610000e-02  7.57500000e-03  -1.79298000e-01 -2.04540000e-02 1.13410000e-02
1.22500000e+01  2.11460000e-02  2.40000000e-02  6.92500000e-03  -1.97530000e-01 -2.00760000e-02 9.59700000e-03
1.25000000e+01  1.77990000e-02  2.25170000e-02  6.33200000e-03  -2.13627000e-01 -1.96620000e-02 7.86000000e-03
1.27500000e+01  1.47680000e-02  2.11310000e-02  5.80400000e-03  -2.25955000e-01 -1.92250000e-02 6.13800000e-03
1.30000000e+01  1.20670000e-02  1.97880000e-02  5.32800000e-03  -2.32422000e-01 -1.87330000e-02 4.46300000e-03
1.32500000e+01  9.72300000e-03  1.84360000e-02  4.89000000e-03  -2.31414000e-01 -1.81480000e-02 2.87400000e-03
1.35000000e+01  7.72100000e-03  1.70770000e-02  4.48200000e-03  -2.23942000e-01 -1.74730000e-02 1.39400000e-03
1.37500000e+01  6.04000000e-03  1.57270000e-02  4.09900000e-03  -2.11582000e-01 -1.67210000e-02 4.60000000e-05
1.40000000e+01  4.66700000e-03  1.44040000e-02  3.74000000e-03  -1.95818000e-01 -1.59030000e-02 -1.14700000e-03
1.42500000e+01  3.58400000e-03  1.31240000e-02  3.39900000e-03  -1.78015000e-01 -1.50300000e-02 -2.16700000e-03
1.45000000e+01  2.74500000e-03  1.19000000e-02  3.07900000e-03  -1.59304000e-01 -1.41270000e-02 -3.03400000e-03
1.47500000e+01  2.09800000e-03  1.07460000e-02  2.78100000e-03  -1.40748000e-01 -1.32190000e-02 -3.77700000e-03
1.50000000e+01  1.59800000e-03  9.67500000e-03  2.50600000e-03  -1.23414000e-01 -1.23310000e-02 -4.42100000e-03
1.52500000e+01  1.20500000e-03  8.69900000e-03  2.25800000e-03  -1.08150000e-01 -1.14840000e-02 -4.99000000e-03
1.55000000e+01  8.97000000e-04  7.81300000e-03  2.03200000e-03  -9.48890000e-02 -1.06820000e-02 -5.50400000e-03
1.57500000e+01  6.59000000e-04  7.00800000e-03  1.82800000e-03  -8.33600000e-02 -9.92300000e-03 -5.98500000e-03
