# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
5.12500000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.15000000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.17500000e+01  -7.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.20000000e+01  -7.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.22500000e+01  -7.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.25000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.27500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.30000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.32500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.35000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.37500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.40000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.42500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 3.00000000e-06  -0.00000000e+00
5.45000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.47500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.50000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.52500000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.55000000e+01  -6.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.57500000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.60000000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.62500000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.65000000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.67500000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.70000000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.72500000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.75000000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.77500000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.80000000e+01  -5.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.82500000e+01  -5.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.85000000e+01  -5.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.87500000e+01  -5.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.90000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.92500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.95000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 2.00000000e-06  -0.00000000e+00
5.97500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.00000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.02500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.05000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.07500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.10000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.12500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.15000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.17500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.20000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.22500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.25000000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.27500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.30000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.32500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.35000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.37500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.40000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.42500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.45000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.47500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.50000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
6.52500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  0.00000000e+00
6.55000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  0.00000000e+00
6.57500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  0.00000000e+00
6.60000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  0.00000000e+00
6.62500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.65000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.67500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.70000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.72500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.75000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.77500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.80000000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.82500000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.85000000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.87500000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.90000000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.92500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.95000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 1.00000000e-06  0.00000000e+00
6.97500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
7.00000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
7.02500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
7.05000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
7.07500000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  0.00000000e+00
7.10000000e+01  -3.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  0.00000000e+00
7.12500000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 1.00000000e-06  -0.00000000e+00
7.15000000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 1.00000000e-06  -0.00000000e+00
7.17500000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -3.00000000e-06 1.00000000e-06  -0.00000000e+00
7.20000000e+01  -4.00000000e-06 -0.00000000e+00 -0.00000000e+00 -3.00000000e-06 0.00000000e+00  -0.00000000e+00
7.22500000e+01  -4.00000000e-06 -0.00000000e+00 0.00000000e+00  -2.00000000e-06 -0.00000000e+00 -0.00000000e+00
7.25000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  0.00000000e+00  2.00000000e-06  -0.00000000e+00
7.27500000e+01  -2.00000000e-06 0.00000000e+00  0.00000000e+00  -0.00000000e+00 2.00000000e-06  0.00000000e+00
7.30000000e+01  -2.00000000e-06 0.00000000e+00  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  0.00000000e+00
7.32500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
7.35000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -7.00000000e-06 1.00000000e-06  -0.00000000e+00
7.37500000e+01  -2.00000000e-06 0.00000000e+00  0.00000000e+00  -0.00000000e+00 2.00000000e-06  -0.00000000e+00
7.40000000e+01  -4.00000000e-06 0.00000000e+00  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  0.00000000e+00
7.42500000e+01  -3.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 -1.00000000e-06 0.00000000e+00
7.45000000e+01  -2.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 -1.00000000e-06 0.00000000e+00
7.47500000e+01  -2.00000000e-06 -0.00000000e+00 -0.00000000e+00 -2.00000000e-06 -0.00000000e+00 0.00000000e+00
7.50000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
7.52500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 2.00000000e-06  -0.00000000e+00
7.55000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  0.00000000e+00  3.00000000e-06  -0.00000000e+00
7.57500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  3.00000000e-06  -0.00000000e+00
7.60000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  4.00000000e-06  -0.00000000e+00
7.62500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  4.00000000e-06  -0.00000000e+00
7.65000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.67500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.70000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.72500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.75000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  3.00000000e-06  5.00000000e-06  -0.00000000e+00
7.77500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  3.00000000e-06  5.00000000e-06  -0.00000000e+00
7.80000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.82500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.85000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.87500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.90000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.92500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.95000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  5.00000000e-06  -0.00000000e+00
7.97500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  2.00000000e-06  4.00000000e-06  -0.00000000e+00
8.00000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  4.00000000e-06  -0.00000000e+00
8.02500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  4.00000000e-06  -0.00000000e+00
8.05000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  4.00000000e-06  -0.00000000e+00
8.07500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  3.00000000e-06  -0.00000000e+00
8.10000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  3.00000000e-06  -0.00000000e+00
8.12500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  1.00000000e-06  3.00000000e-06  -0.00000000e+00
8.15000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  0.00000000e+00  3.00000000e-06  -0.00000000e+00
8.17500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  0.00000000e+00  3.00000000e-06  -0.00000000e+00
8.20000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 2.00000000e-06  -0.00000000e+00
8.22500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 2.00000000e-06  -0.00000000e+00
8.25000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 2.00000000e-06  -0.00000000e+00
8.27500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
8.30000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 2.00000000e-06  -0.00000000e+00
8.32500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.35000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.37500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.40000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.42500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.45000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.47500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.50000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.52500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.55000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.57500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -1.00000000e-06 1.00000000e-06  -0.00000000e+00
8.60000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.62500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.65000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.67500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.70000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.72500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.75000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.77500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.80000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.82500000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.85000000e+01  -2.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.87500000e+01  -1.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.90000000e+01  -1.00000000e-06 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.92500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.95000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
8.97500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 1.00000000e-06  -0.00000000e+00
9.00000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.02500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.05000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.07500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.10000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.12500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.15000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.17500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.20000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.22500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.25000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -1.00000000e-06 0.00000000e+00  0.00000000e+00
9.27500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  0.00000000e+00
9.30000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.32500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.35000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.37500000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.40000000e+01  -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.42500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.45000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.47500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.50000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.52500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.55000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.57500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.60000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.62500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.65000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.67500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.70000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.72500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.75000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.77500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.80000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.82500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.85000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.87500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.90000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.92500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.95000000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
9.97500000e+01  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
1.00000000e+02  -0.00000000e+00 -0.00000000e+00 0.00000000e+00  -0.00000000e+00 0.00000000e+00  -0.00000000e+00
