C1 C11 C12
0.0000000000e+00 1.0200000000e+01 1.0220000000e+01
1.0000000000e-01 8.8658233454e+00 8.8817827485e+00
2.0000000000e-01 7.6659964649e+00 7.6761009361e+00
3.0000000000e-01 6.6884146072e+00 6.6889814391e+00
4.0000000000e-01 5.7208449536e+00 5.7236762279e+00
5.0000000000e-01 4.9415428694e+00 4.9442844622e+00
8.0000000000e-01 2.9869672937e+00 2.9895702744e+00
1.0000000000e+00 2.0877370063e+00 2.0908988225e+00
1.2000000000e+00 1.4212751067e+00 1.4257590496e+00
1.5000000000e+00 8.5942373129e-01 8.6056930347e-01
1.8897261000e+00 5.2626750000e-01 5.2766126000e-01
1.8969071000e+00 5.2238151000e-01 5.2383271000e-01
1.9040881000e+00 5.1853584000e-01 5.2004443000e-01
1.9112690000e+00 5.1473071000e-01 5.1629543000e-01
1.9184500000e+00 5.1096617000e-01 5.1258490000e-01
1.9256309000e+00 5.0724214000e-01 5.0891218000e-01
1.9328119000e+00 5.0355843000e-01 5.0527671000e-01
1.9399928000e+00 4.9991476000e-01 5.0167804000e-01
1.9471738000e+00 4.9631082000e-01 4.9811574000e-01
1.9543548000e+00 4.9274624000e-01 4.9458947000e-01
1.9615357000e+00 4.8922060000e-01 4.9109890000e-01
1.9687167000e+00 4.8573350000e-01 4.8764375000e-01
1.9758976000e+00 4.8228447000e-01 4.8422375000e-01
1.9830786000e+00 4.7887306000e-01 4.8083866000e-01
1.9902596000e+00 4.7549880000e-01 4.7748823000e-01
1.9974405000e+00 4.7216120000e-01 4.7417225000e-01
2.0046215000e+00 4.6885979000e-01 4.7089051000e-01
2.0118024000e+00 4.6559408000e-01 4.6764279000e-01
2.0189834000e+00 4.6236359000e-01 4.6442889000e-01
2.0261644000e+00 4.5916781000e-01 4.6124862000e-01
2.0333453000e+00 4.5600629000e-01 4.5810176000e-01
2.0405263000e+00 4.5287852000e-01 4.5498811000e-01
2.0477072000e+00 4.4978405000e-01 4.5190748000e-01
2.0548882000e+00 4.4672240000e-01 4.4885965000e-01
2.0620692000e+00 4.4369312000e-01 4.4584439000e-01
2.0692501000e+00 4.4069575000e-01 4.4286150000e-01
2.0764311000e+00 4.3772986000e-01 4.3991074000e-01
2.0836120000e+00 4.3479501000e-01 4.3699186000e-01
2.0907930000e+00 4.3189080000e-01 4.3410463000e-01
2.0979740000e+00 4.2901681000e-01 4.3124877000e-01
2.1051549000e+00 4.2617267000e-01 4.2842401000e-01
2.1123359000e+00 4.2335798000e-01 4.2563007000e-01
2.1195168000e+00 4.2057240000e-01 4.2286665000e-01
2.1266978000e+00 4.1781556000e-01 4.2013345000e-01
2.1338787000e+00 4.1508713000e-01 4.1743015000e-01
2.1410597000e+00 4.1238679000e-01 4.1475642000e-01
2.1482407000e+00 4.0971422000e-01 4.1211192000e-01
2.1554216000e+00 4.0706911000e-01 4.0949631000e-01
2.1626026000e+00 4.0445118000e-01 4.0690922000e-01
2.1697835000e+00 4.0186013000e-01 4.0435031000e-01
2.1769645000e+00 3.9929569000e-01 4.0181920000e-01
