 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <A|d/dR|B>   <A|d/dR|C>   <B|d/dR|C> 
0.16 -0.5389872338406909 4.8312843686644826e-5 0.07552772856412175 -4.177178362647145e-5 0.19108024649116326 0.00013063640802458938
0.17 -0.5302065475162082 4.562879681516456e-5 0.070358045866115 -3.9451128980556364e-5 0.179036935019432 0.00012337882980100108
0.18 -0.5210231096106047 4.2273738225814226e-5 0.06544140249360654 -3.655031067316252e-5 0.1675163056797679 0.00011430685702151574
0.19 -0.5114369201238803 3.8247667918593814e-5 0.060777798446596386 -3.30693287042899e-5 0.15651835847217094 0.00010342048968613326
0.2 -0.5014479790560354 3.355058589350334e-5 0.056367233725084544 -2.9008183073938514e-5 0.14604309339664118 9.071972779485377e-5
0.21 -0.49105628640706983 2.818249215054282e-5 0.05220970832907103 -2.436687378210837e-5 0.1360905104531786 7.62045713476772e-5
0.22 -0.4802618421769835 2.21433866897122e-5 0.048305222258555804 -1.9145400828799426e-5 0.1266606096417832 5.9875020344603476e-5
0.23 -0.46906464636577627 1.5433269511011503e-5 0.044653775513538885 -1.3343764214011704e-5 0.11775339096245492 4.1731074785632694e-5
0.24 -0.45746469897344844 8.052140614440783e-6 0.041255368094020285 -6.961963937745247e-6 0.10936885441519387 2.1772734670764878e-5
0.25 -0.4454620000000001 -2.710505431213761e-20 0.03810999999999999 -1.3552527156068805e-20 0.10150699999999999 -5.421010862427522e-20
0.26 -0.4330565494454308 -8.723152332310927e-6 0.03521767123147801 7.542127599224023e-6 0.09416782771687326 -2.358712922666202e-5
0.27 -0.4202483473097408 -1.8117316382491863e-5 0.032578381788454326 1.566441885992681e-5 0.08735133756581373 -4.8988653009221104e-5
0.28 -0.40703739359293034 -2.8182492150542876e-5 0.030192131670928962 2.4366873782108358e-5 0.08105752954682138 -7.620457134767725e-5
0.29 -0.39342368829499896 -3.891867963646391e-5 0.02805892087890191 3.364949236576864e-5 0.07528640365989621 -0.00010523488424203035
0.3 -0.3794072314159469 -5.032587884025509e-5 0.026178749412373158 4.351227461090774e-5 0.07003795990503821 -0.00013607959169228067
0.31 -0.3649880229557742 -6.240408976191629e-5 0.024551617271342717 5.3955220517525594e-5 0.0653121982822474 -0.000168738693698428
0.32 -0.3501660629144807 -7.515331240144761e-5 0.02317752445581058 6.497833008562226e-5 0.06110911879152373 -0.00020321219026047253
0.33 -0.3349413512920665 -8.857354675884896e-5 0.022056470965776752 7.658160331519766e-5 0.057428721432867244 -0.00023950008137841404
0.34 -0.31931388808853167 -0.00010266479283412041 0.02118845680124124 8.876504020625187e-5 0.05427100620627794 -0.0002776023670522527
0.35 -0.3032836733038762 -0.00011742705062726182 0.020573481962204036 0.00010152864075878474 0.05163597311175584 -0.00031751904728198816
0.36 -0.2868507069380999 -0.00013286032013827342 0.020211546448665144 0.0001148724049727965 0.049523622149300894 -0.000359250122067621
0.37 -0.27001498899120285 -0.00014896460136715499 0.020102650260624546 0.00012879633284828694 0.04793395331891311 -0.0004027955914091507
0.38 -0.2529307590443059 -0.0001650688825960367 0.02021573167258396 0.00014272026072377746 0.046801794888525344 -0.00044634106075068075
0.39 -0.2365234545841331 -0.00017714709351769785 0.020364420331553515 0.00015316320663039535 0.045736116465734514 -0.000479000162756828
0.4 -0.22094731519180524 -0.00018452822241426858 0.020517654512034914 0.0001595450069066618 0.044671746318473454 -0.0004989585028716959
0.41 -0.2062023408673225 -0.00018721226928574886 0.02067543421402815 0.00016186566155257685 0.043608684446742166 -0.000506216081095284
0.42 -0.19228853161068457 -0.00018519923413213863 0.020837759437533222 0.00016012517056814053 0.042546930850540635 -0.0005007728974275929
