 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <X|d/dR|D>   <X|d/dR|E>   <X|d/dR|F>   <X|d/dR|G>   <X|d/dR|H>   <X|d/dR|I>   <X|d/dR|J>   <A|d/dR|B>   <A|d/dR|C>   <A|d/dR|D>   <A|d/dR|E>   <A|d/dR|F>   <A|d/dR|G>   <A|d/dR|H>   <A|d/dR|I>   <A|d/dR|J>   <B|d/dR|C>   <B|d/dR|D>   <B|d/dR|E>   <B|d/dR|F>   <B|d/dR|G>   <B|d/dR|H>   <B|d/dR|I>   <B|d/dR|J>   <C|d/dR|D>   <C|d/dR|E>   <C|d/dR|F>   <C|d/dR|G>   <C|d/dR|H>   <C|d/dR|I>   <C|d/dR|J>   <D|d/dR|E>   <D|d/dR|F>   <D|d/dR|G>   <D|d/dR|H>   <D|d/dR|I>   <D|d/dR|J>   <E|d/dR|F>   <E|d/dR|G>   <E|d/dR|H>   <E|d/dR|I>   <E|d/dR|J>   <F|d/dR|G>   <F|d/dR|H>   <F|d/dR|I>   <F|d/dR|J>   <G|d/dR|H>   <G|d/dR|I>   <G|d/dR|J>   <H|d/dR|I>   <H|d/dR|J>   <I|d/dR|J> 
29.07684 -0.0012474257228123108 -1.8602087443796064e-6 -1.0411640255454227e-5 0.007110268519624762 2.5381360647307472e-5 4.974476036002052e-6 -4.4041871189637754e-7 2.8643664053678226e-5 -2.820784483592806e-5 -0.00045952458883188863 0.0015507585860044422 -5.316452626089617e-7 1.808624846717768e-5 -0.003073198517069483 1.281841104877976e-5 1.0371919484226061e-5 -7.67547886548309e-5 1.2519050709916262e-5 -2.8778857642536318e-6 -1.3073525982629415e-5 -2.976903434366871e-6 1.0203679477823994e-5 -1.0001211699544841e-5 0.0033488870353913566 -4.57107271445575e-5 -0.0009674847296045336 5.6550191863689465e-5 0.000529944567625623 6.296007582912787e-7 1.6908181326023496e-5 8.961976553136801e-7 -6.490720588541491e-5 7.197625420311237e-5 0.0012640822698100054 0.0035709041149056724 -0.001971093061792946 -6.134667001782795e-6 0.000339493678086119 -3.4079431945063495e-5 2.5188836401508833e-5 -0.005735786607889768 4.2052401247298296e-5 0.0013426568659951983 0.0026528421255014745 -7.41005315859743e-5 -2.5560939063269557e-6 0.009082494729615457 -0.00022231657470468406 -0.0017735943523466255 -0.00032879382630371265 0.018901999472983228 5.302147952663549e-5 0.009055905353834895 -0.0032695844894221563 0.020111833534392297
29.08402 -0.0012465890034852626 -1.6700062094101677e-6 -1.0280589352925875e-5 0.007110810409406936 2.5252692382275196e-5 5.055177626799242e-6 -2.510311557149253e-7 2.870542716911934e-5 -2.8315337537297672e-5 -0.0004596336447329857 0.0015519830950196506 -5.220152384728383e-7 1.676369459554274e-5 -0.003072875058890639 1.2310637534460827e-5 1.0234729222374206e-5 -7.652571611334874e-5 1.2528632589267399e-5 -2.854664184871624e-6 -1.7634253692843304e-5 -6.98605766214707e-7 1.0652866907753146e-5 -1.0459144672394821e-5 0.003348633114242889 -4.564021053716475e-5 -0.0009677304810219933 5.629072260271836e-5 0.0005297658917636927 1.9135152126330407e-7 1.7123679883332435e-5 8.950394368424063e-7 -6.484861695402068e-5 7.199001773849949e-5 0.0012639768233749927 0.003566962023083632 -0.0019703029980560607 -6.377370753423097e-6 0.0003392986354606081 -3.437713433869338e-5 2.4732874951165278e-5 -0.005732808446241825 4.03335904751896e-5 0.0013392802986622874 0.0026538652029700254 -7.40604395168549e-5 -1.3941636856027836e-6 0.009059870729102713 -0.00022292681350990094 -0.0017746742877475493 -0.0003311936651669817 0.018971677233825052 5.038747043548208e-5 0.00913591135268071 -0.0033007156548780334 0.02006645609214828
29.0912 -0.0012458629800708248 -1.6969166530667131e-6 -1.0319195059081165e-5 0.0071108500095265325 2.500272432678672e-5 4.9866274345328574e-6 -3.3071438384261667e-7 2.8779270290329767e-5 -2.8271564435195103e-5 -0.00045960105123637795 0.0015505374901270538 -7.405313658432756e-7 1.7842491913471582e-5 -0.0030733014636007516 1.2406176470536776e-5 1.0298247566377761e-5 -7.626878698711637e-5 1.2446639311113306e-5 -2.89220069652739e-6 -1.0734497723980211e-5 -6.97286837753232e-7 1.0679907084708245e-5 -9.917338014784917e-6 0.003348994747377593 -4.557788290957059e-5 -0.0009677343419172512 5.620402484948698e-5 0.0005286346453618627 6.0208814911498e-7 1.7664714104178522e-5 9.233328209967379e-7 -6.482244589550258e-5 7.185478868809326e-5 0.0012638099495504455 0.003564867120343945 -0.001970770476693412 -6.303857240102078e-6 0.0003390325733592428 -3.431741013529292e-5 2.4948725280821094e-5 -0.005725819160830146 4.066569196808258e-5 0.0013365760606721066 0.002653794451739369 -7.466889871645665e-5 -3.948124899199119e-7 0.009038314133395613 -0.00022367410891551093 -0.0017768920106551176 -0.00033055918554901996 0.019044205960917365 4.751315875291643e-5 0.00921222199099557 -0.0033339610789977175 0.02004360278484795
29.09838 -0.0012449377453966253 -1.5062001696351946e-6 -1.0158027554877769e-5 0.007111342802720202 2.4823695285036308e-5 4.987365571154771e-6 -2.927498944853703e-7 2.8840119148907952e-5 -2.8477247261197836e-5 -0.0004597411567785433 0.0015513122527912714 -8.4119283275991e-7 1.579938537095089e-5 -0.003072867368821165 1.2497797876450242e-5 1.029214012850938e-5 -7.609138552893297e-5 1.240488022781131e-5 -2.8094201835647294e-6 -1.752490466942166e-5 -1.822280583734632e-8 1.0796347715837368e-5 -9.893945041404585e-6 0.0033485663725559734 -4.554241353882357e-5 -0.0009675937044684781 5.6518989367812194e-5 0.0005294260567796351 1.8488383840505896e-7 1.7450147156969038e-5 9.06784784960415e-7 -6.473788596366627e-5 7.146991797881948e-5 0.0012635903807145475 0.0035615910514322662 -0.001970139193892525 -5.855407225101575e-6 0.00033886642729609706 -3.4852502123188803e-5 2.4401752617658742e-5 -0.005720849929047332 4.04059094924229e-5 0.0013334749327252602 0.0026544783695241435 -7.41996093082513e-5 -8.472006017300484e-7 0.009016060471793158 -0.00022295751814157996 -0.001776619236177797 -0.00033154295095800434 0.019115011032784773 4.4701408214881715e-5 0.009292358192513547 -0.0033688493925735238 0.020095102050725233
29.10556 -0.001244073222037071 -1.4554048870881305e-6 -1.0177219851086327e-5 0.007111281656819912 2.462407581266369e-5 4.9784195091889044e-6 -2.6115347999792546e-7 2.8924948386001303e-5 -2.834516245490585e-5 -0.0004596775572859832 0.0015520069988585203 -5.105388551295728e-7 1.743845168060201e-5 -0.003073342908066562 1.2434337020804024e-5 1.0204847973070778e-5 -7.583459038404698e-5 1.2285408965971724e-5 -2.9273031871055265e-6 -1.3915228101181686e-5 -2.9657228180964187e-7 1.0470942711252502e-5 -9.68031005537405e-6 0.0033487061958497174 -4.543936753197908e-5 -0.0009676759437812087 5.645190349258235e-5 0.0005268860288463557 2.6143304712858523e-7 1.801141732369201e-5 1.4058957260245675e-6 -6.468066273266613e-5 7.14171787122685e-5 0.0012636944618887188 0.003559352039299817 -0.0019708252782822053 -6.188264174003528e-6 0.00033870703566051734 -3.417010116036521e-5 2.4933438948463457e-5 -0.005710814400438167 4.013469910933502e-5 0.0013303011268106801 0.0026552221527703763 -7.498056198264063e-5 6.917733251183975e-7 0.008994187449591948 -0.0002222040429988015 -0.0017769869198843255 -0.0003321930662617009 0.019185335300456907 3.922767621315781e-5 0.009369978211804866 -0.0034000624389367265 0.02002589815695306
29.11274 -0.001243369418090356 -1.5048780972053719e-6 -1.015649740838062e-5 0.007111573133957693 2.4425480621939597e-5 5.009643422502614e-6 -2.818890658627152e-7 2.8987293280098742e-5 -2.8411236909062212e-5 -0.00045972613784880137 0.0015529317678513819 -1.6053897756957778e-7 1.66273682626838e-5 -0.003073466070198952 1.2308455968510422e-5 1.044743792658338e-5 -7.549749833843642e-5 1.2179968945652529e-5 -2.9051124200754042e-6 -1.57959774821056e-5 1.6431984195659301e-6 1.0579041657256524e-5 -1.012822137033006e-5 0.003348556936139044 -4.537145662310506e-5 -0.0009674855525695014 5.646776484067179e-5 0.0005276556177153317 5.139103288451031e-7 1.7724633083930174e-5 1.0010926404512579e-6 -6.466379836858594e-5 7.121656129516504e-5 0.0012635868337886442 0.003556411537825113 -0.0019704239412321896 -5.7291625866944575e-6 0.0003383430163403382 -3.4695227457971456e-5 2.4556941426138292e-5 -0.005701880588151187 4.039085212837899e-5 0.0013275412731972448 0.0026556616484456736 -7.438994120218464e-5 -1.208828277930149e-6 0.008972821236749804 -0.00022282403177235118 -0.0017778681307567524 -0.00033189408557673033 0.019264434184292658 4.28334148236584e-5 0.009448701891224423 -0.0034331026619282864 0.019991547232780203
29.11992 -0.0012425163828994723 -1.4127982385175803e-6 -1.0155668338836453e-5 0.007111793976637517 2.419634028473139e-5 4.970654993546362e-6 -2.8217299696849277e-7 2.9050295514635337e-5 -2.844787634766129e-5 -0.00045976445915220897 0.001552416813369232 9.901092720376673e-8 1.648552475274845e-5 -0.003073435919957217 1.2452775129804511e-5 1.037262943674089e-5 -7.530900835002145e-5 1.2239029041058432e-5 -2.8313486566289925e-6 -1.9276437038123227e-5 2.111593510766516e-6 1.099605018091661e-5 -9.849120535541306e-6 0.0033488121249655254 -4.535264401124251e-5 -0.0009680248086965153 5.606643013248888e-5 0.000530516150951236 4.81197038966395e-7 1.71396791806318e-5 4.6269284348557817e-7 -6.4548455624376e-5 7.170323712147929e-5 0.0012638162106320128 0.0035533838720849397 -0.0019701511498784107 -5.544052761639465e-6 0.00033818264952060535 -3.4785376264183744e-5 2.447071013498472e-5 -0.005692966859125755 4.1300330291615944e-5 0.001324142784280352 0.0026552119862877296 -7.519631738542043e-5 -3.551483755267754e-6 0.00895046004865384 -0.00022081940708739312 -0.0017773342897187635 -0.00033281038236669376 0.019335603254676866 3.81973482069922e-5 0.009529825722162617 -0.00346763267558435 0.019988374207386694
29.1271 -0.0012416635436876932 -1.3096092882345017e-6 -1.004384030535099e-5 0.00711211456874704 2.407793608389794e-5 4.9613010982172875e-6 -1.4159775165206597e-7 2.9123968074355534e-5 -2.8416988732600158e-5 -0.00045970194930141387 0.0015508218823817358 -6.196335836589989e-7 1.6283808064781348e-5 -0.003073548284658099 1.2098366328272436e-5 1.0244547677555836e-5 -7.504179930353435e-5 1.2109288898512525e-5 -2.889257345784508e-6 -1.4686414919992154e-5 1.0538979410969383e-6 1.064147941269646e-5 -8.92627274318765e-6 0.003348947601931635 -4.530512146351646e-5 -0.0009677591856327223 5.628348467021103e-5 0.0005255762647757762 5.772233058465154e-7 1.696214774261502e-5 5.399286898319836e-7 -6.448977685181207e-5 7.167530336858316e-5 0.0012639504065121375 0.0035501248705042073 -0.0019704694807329676 -6.0341990674196e-6 0.0003380693098649164 -3.463692536114092e-5 2.4549496115231756e-5 -0.005688735846136494 4.024486535821595e-5 0.0013218071357595283 0.002655898927318122 -7.511781596144952e-5 -2.464519281597739e-6 0.008929272783933406 -0.00022052474138989567 -0.0017777427943108182 -0.0003349658987210352 0.01940613796598683 3.378283884038247e-5 0.009608354492052957 -0.0034993904993741395 0.019983492993194147
29.13429 -0.0012410813469830783 -1.6788849796089116e-6 -1.0213173766012996e-5 0.007111935804853318 2.368801633472493e-5 4.9340552851317935e-6 -4.3070367473804453e-7 2.918824439854263e-5 -2.833135958057106e-5 -0.000459679070973107 0.001551546610631978 -1.204521314502847e-7 1.617211575482489e-5 -0.003073829242137948 1.201388286957679e-5 1.030888720213847e-5 -7.475293339982322e-5 1.2165679326336657e-5 -2.7853841401356952e-6 -1.904658472524143e-5 -3.8798557740176363e-7 1.1108778538169228e-5 -9.559041062446914e-6 0.003349733720203532 -4.52094641014707e-5 -0.0009679683743860178 5.622605789643141e-5 0.0005272877880723153 2.357878073631981e-7 1.7386678820650294e-5 6.383682457766144e-7 -6.443288932106103e-5 7.158726505765168e-5 0.0012641140492207585 0.0035475417242405087 -0.001970293853611884 -5.585428403748102e-6 0.0003377925409510376 -3.4431524855332e-5 2.497855531245518e-5 -0.005681192408229453 4.1558958036823075e-5 0.0013183115848635462 0.002655991028353325 -7.514826300977484e-5 -1.175001765226936e-6 0.00890706475694954 -0.00022151297579286908 -0.0017779337755249173 -0.0003315437414304375 0.019484889646592136 3.3176210560061664e-5 0.009692237430272624 -0.003538313133225473 0.02002262530489235
29.14147 -0.0012402905095236717 -1.66674511768372e-6 -1.0211659321886922e-5 0.00711221693744937 2.351986004053188e-5 4.95545741986669e-6 -4.599659093878366e-7 2.9292117733395946e-5 -2.8278995738355565e-5 -0.0004596365179949993 0.0015509219510689799 -5.493959049648284e-7 1.5551004806187645e-5 -0.0030738630363663605 1.1618921308624307e-5 1.0321089561823545e-5 -7.450494571863246e-5 1.209317418694626e-5 -2.6827353332723515e-6 -1.5597216602213145e-5 1.674586488773951e-6 1.058026323120607e-5 -9.304694075962741e-6 0.003349397018440558 -4.5160012572120904e-5 -0.0009677276233065453 5.642320541551498e-5 0.0005287671847636339 7.008226800622399e-7 1.720645081729542e-5 1.0958468249276978e-6 -6.440414971009266e-5 7.156902671846722e-5 0.0012639582579508247 0.003544751271918167 -0.0019706563903333254 -5.167115296281987e-6 0.0003374855909591895 -3.453745572961104e-5 2.4726377964802228e-5 -0.005669904204234422 4.1080809764003525e-5 0.0013155460345346496 0.0026564716863706705 -7.453458204660567e-5 -5.962843248298683e-7 0.008886048983722873 -0.00022108431819771576 -0.001777743740944663 -0.0003308236063741604 0.019564182716692562 3.442463112777277e-5 0.009772241553324687 -0.0035694399630286974 0.019949032390407236
