 R   <X|H|X>   <A|H|A> 
1.9229375 0.30398465621120074 0.29443268359097624
1.923835 0.3034395998531048 0.29389691183353944
1.9247325 0.30289531477164267 0.29336192551656126
1.92563 0.3023518006363106 0.2928277244404825
1.92922 0.30018543649460794 0.29069875769799647
1.93281 0.2980313261720212 0.28858228168379296
1.9364 0.29588940077547965 0.2864782334887555
1.93999 0.293759619232086 0.28438657740617773
1.94358 0.29164196140126514 0.282307299640306
1.94717 0.2895363699920379 0.2802403521174339
1.95076 0.28744277939924745 0.2781856786162441
1.95435 0.28536112823483595 0.2761432249951338
1.96154 0.2812277364070628 0.27208921326338076
1.96872 0.2771473750562655 0.26808935762969843
1.9759 0.27311375033650964 0.26413755982739984
1.98308 0.26912653890025817 0.2602335903835641
1.99026 0.2651852522228516 0.25637705877773165
1.99744 0.2612893992938464 0.2525675612871201
2.00462 0.2574386443606172 0.24880488328072894
2.0118 0.2536324423529198 0.24508858119327032
2.01898 0.24987045357729454 0.2414184462519621
2.02616 0.2461521979148812 0.23779411426837832
2.03335 0.24247210142866027 0.2342102787618679
2.04053 0.23884006327957807 0.23067671026392061
2.04771 0.23525040102198852 0.22718798357265887
2.05489 0.23170279351109252 0.22374391036848143
2.06207 0.22819677976150904 0.2203441850744345
2.06925 0.2247318981515251 0.21698849713849094
2.07643 0.2213078639813704 0.21367670280637463
2.08361 0.2179241874165553 0.21040848390491354
2.09079 0.21458060256576633 0.2071837238976449
2.09797 0.2112767062062178 0.2040021751730468
2.10515 0.20801212200598063 0.2008636134243495
2.11234 0.20478213295923753 0.19776367602158418
2.11952 0.2015953427596503 0.1947107569564357
2.1267 0.1984470518730294 0.1917004646488051
2.13388 0.19533690014728927 0.18873259218519145
2.14106 0.19226472965241098 0.1858071035817612
2.14824 0.18923027213311067 0.18292383897405398
2.15542 0.1862332957738743 0.18008264325395948
2.1626 0.18327370000307563 0.1772834661997511
2.16978 0.1803512194099841 0.17452605449190334
2.17696 0.17746575331593556 0.17181028862195946
2.18415 0.17461315081803896 0.16913216841334822
2.19133 0.17180116195279013 0.16649882235152708
2.19851 0.1690256638533693 0.16390614650935137
2.19866164 0.16896743692819774 0.16385182401996756
2.19881328 0.1689092261100873 0.163797519387265
2.19896492 0.16885103139837276 0.16374323260739254
2.19911656 0.16879285279239134 0.1636889636764979
2.1992682 0.16873469029148275 0.1636347125907281
2.19941984 0.1686765438949887 0.16358047934622827
2.19957148 0.16861841360225338 0.16352626393914266
2.19972312 0.16856029941262313 0.1634720663656142
2.19987476 0.16850220132544663 0.16341788662178455
2.2000264 0.1684441193400754 0.16336372470379448
2.2000725 0.16842646505649678 0.16334726249916687
2.2001185 0.16840885055178534 0.16333083764598597
2.2001645 0.1683912375286864 0.16331441443258982
2.2002106 0.16837358770283622 0.16329795716158352
2.2002566 0.16835597764612956 0.16328153723099798
2.2003026 0.1683383690709814 0.16326511893987347
2.2003487 0.16832072370269757 0.1632486666015146
2.2003947 0.16830311809383408 0.16323225159255256
2.2004407 0.1682855139664754 0.1632158382227277
2.2004867 0.16826791132060406 0.1631994264919325
2.2005328 0.16825027189441488 0.16318298072773124
2.2005788 0.16823267221468474 0.16316657227823372
2.2006248 0.1682150740163884 0.16315016546744193
2.2006709 0.16819743904738935 0.16313372463361472
2.2007169 0.1681798438151274 0.163117321103472
2.2007629 0.168162250064246 0.16310091921171094
2.200809 0.1681446195522766 0.16308448330728292
