# Data
{R} <G|V|G> <H|V|H>
3.0889463 0.16971568 0.21277568
3.0961273 0.16915385 0.21209974
3.1033083 0.16859864 0.21143091
3.1104892 0.16804997 0.21076911
3.1176702 0.16750779 0.2101143
3.1248511 0.16697203 0.20946639
3.1320321 0.16644262 0.20882534
3.1392131 0.16591951 0.20819108
3.146394 0.16540263 0.20756355
3.153575 0.16489191 0.20694268
3.1607559 0.16438731 0.20632843
3.1679369 0.16388875 0.20572071
3.1751178 0.16339617 0.20511948
3.1822988 0.16290952 0.20452468
3.1894798 0.16242873 0.20393625
3.1966607 0.16195374 0.20335412
3.2038417 0.1614845 0.20277825
3.2110226 0.16102094 0.20220856
3.2182036 0.16056302 0.20164501
3.2253846 0.16011066 0.20108754
3.2325655 0.15966381 0.20053608
3.2397465 0.15922242 0.19999059
3.2469274 0.15878643 0.19945101
3.2541084 0.15835577 0.19891727
3.2612894 0.15793041 0.19838933
3.2684703 0.15751027 0.19786712
3.2756513 0.15709531 0.1973506
3.2828322 0.15668547 0.19683971
3.2900132 0.15628069 0.19633439
3.2971942 0.15588093 0.1958346
3.3043751 0.15548612 0.19534027
3.3115561 0.15509621 0.19485135
3.318737 0.15471116 0.19436779
3.325918 0.15433091 0.19388954
3.333099 0.1539554 0.19341655
3.3402799 0.15358458 0.19294876
3.3474609 0.15321841 0.19248612
3.3546418 0.15285683 0.19202857
3.3618228 0.15249978 0.19157608
3.3690037 0.15214723 0.19112858
3.3761847 0.15179912 0.19068603
3.3833657 0.15145539 0.19024837
3.3905466 0.15111601 0.18981556
3.3977276 0.15078091 0.18938754
3.4049085 0.15045005 0.18896427
3.4120895 0.1501234 0.18854569
3.4192705 0.14980089 0.18813177
3.4264514 0.14948249 0.18772247
3.4336324 0.14916816 0.18731773
3.4408133 0.14885785 0.18691752
3.4479943 0.14855152 0.1865218
3.4551753 0.14824914 0.18613051
3.4623562 0.14795065 0.18574363
3.4695372 0.14765602 0.1853611
3.4767181 0.14736521 0.18498289
3.4838991 0.14707818 0.18460896
3.4910801 0.14679488 0.18423926
3.498261 0.14651528 0.18387374
3.505442 0.14623934 0.18351239
3.5126229 0.14596701 0.18315514
3.5198039 0.14569826 0.18280196
3.5269849 0.14543305 0.18245281
3.5341658 0.14517134 0.18210765
3.5413468 0.14491309 0.18176644
3.5485277 0.14465827 0.18142914
3.5557087 0.14440683 0.18109571
3.5628897 0.14415873 0.18076612
3.5700706 0.14391395 0.18044031
3.5772516 0.14367244 0.18011826
3.5844325 0.14343416 0.17979993
3.5916135 0.14319908 0.17948527
3.5987944 0.14296717 0.17917425
3.6059754 0.14273838 0.17886683
3.6131564 0.14251268 0.17856297
3.6203373 0.14229004 0.17826264
3.6275183 0.14207041 0.17796579
3.6346992 0.14185377 0.1776724
3.6418802 0.14164007 0.17738242
3.6490612 0.14142929 0.17709581
3.6562421 0.14122139 0.17681254
3.6634231 0.14101634 0.17653258
3.670604 0.14081409 0.17625588
3.677785 0.14061462 0.17598242
3.684966 0.14041789 0.17571215
3.6921469 0.14022388 0.17544503
3.6993279 0.14003254 0.17518104
3.7065088 0.13984384 0.17492014
3.7136898 0.13965776 0.1746623
3.7208708 0.13947425 0.17440747
3.7280517 0.13929329 0.17415562
3.7352327 0.13911484 0.17390672
3.7424136 0.13893888 0.17366074
3.7495946 0.13876537 0.17341764
3.7567756 0.13859427 0.17317738
3.7639565 0.13842557 0.17293994
3.7711375 0.13825922 0.17270528
3.7783184 0.1380952 0.17247336
3.7854994 0.13793348 0.17224415
3.7926803 0.13777403 0.17201763
3.7998613 0.13761683 0.17179376
3.8070423 0.13746187 0.17157252
3.8142232 0.13730912 0.17135389
3.8214042 0.13715856 0.17113783
3.8285851 0.13701017 0.17092432
3.8357661 0.13686394 0.17071333
3.8429471 0.13671983 0.17050483
3.850128 0.13657784 0.1702988
3.857309 0.13643794 0.17009521
3.8644899 0.13630012 0.16989404
3.8716709 0.13616435 0.16969526
3.8788519 0.13603061 0.16949884
3.8860328 0.13589889 0.16930476
3.8932138 0.13576916 0.16911299
3.9003947 0.13564142 0.16892351
3.9075757 0.13551563 0.16873629
3.9147567 0.13539179 0.1685513
3.9219376 0.13526987 0.16836853
3.9291186 0.13514985 0.16818794
3.9362995 0.13503172 0.16800951
3.9434805 0.13491546 0.16783321
3.9506615 0.13480105 0.16765903
3.9578424 0.13468847 0.16748694
3.9650234 0.13457771 0.1673169
3.9722043 0.13446875 0.16714891
3.9793853 0.13436157 0.16698293
3.9865662 0.13425615 0.16681894
3.9937472 0.13415248 0.16665692
4.0009282 0.13405055 0.16649684
4.0081091 0.13395033 0.16633868
4.0152901 0.1338518 0.16618241
4.022471 0.13375496 0.16602802
4.029652 0.13365979 0.16587548
4.036833 0.13356626 0.16572476
4.0440139 0.13347437 0.16557585
4.0511949 0.1333841 0.16542872
4.0583758 0.13329543 0.16528335
4.0655568 0.13320835 0.16513972
4.0727378 0.13312284 0.1649978
4.0799187 0.13303889 0.16485757
4.0870997 0.13295648 0.16471901
4.0942806 0.1328756 0.1645821
4.1014616 0.13279623 0.16444681
4.1086426 0.13271836 0.16431314
4.1158235 0.13264198 0.16418104
4.1230045 0.13256706 0.16405051
4.1301854 0.13249361 0.16392152
4.1373664 0.13242159 0.16379405
4.1445474 0.13235101 0.16366807
4.1517283 0.13228184 0.16354358
4.1589093 0.13221407 0.16342055
4.1660902 0.1321477 0.16329895
4.1732712 0.13208268 0.1631788
4.1804522 0.13201902 0.16306006
4.1876331 0.13195667 0.16294275
4.1948141 0.13189563 0.16282686
4.201995 0.13183588 0.16271237
4.209176 0.13177738 0.16259928
4.2163569 0.13172014 0.16248758
4.2235379 0.13166411 0.16237727
4.2307189 0.13160929 0.16226835
4.2378998 0.13155567 0.1621608
4.2450808 0.13150321 0.16205463
4.2522617 0.13145191 0.16194982
4.2594427 0.13140175 0.16184636
4.2666237 0.13135271 0.16174426
4.2738046 0.13130478 0.16164351
4.2809856 0.13125794 0.1615441
4.2881665 0.13121218 0.16144603
4.2953475 0.13116748 0.16134929
4.3025285 0.13112384 0.16125388
4.3097094 0.13108124 0.16115979
4.3168904 0.13103967 0.16106702
4.3240713 0.13099912 0.16097555
4.3312523 0.13095957 0.1608854
4.3384333 0.13092102 0.16079654
4.3456142 0.13088347 0.16070898
4.3527952 0.13084689 0.16062271
4.3599761 0.13081129 0.16053773
4.3671571 0.13077666 0.16045404
4.3743381 0.13074299 0.16037162
4.381519 0.13071028 0.16029047
4.3887 0.13067853 0.16021059
4.3958809 0.13064773 0.16013198
4.4030619 0.13061788 0.16005462
4.4102428 0.13058898 0.15997852
4.4174238 0.13056104 0.15990367
4.4246048 0.13053404 0.15983006
4.4317857 0.13050801 0.1597577
4.4389667 0.13048294 0.15968657
4.4461476 0.13045883 0.15961668
4.4533286 0.1304357 0.15954801
4.4605096 0.13041355 0.15948057
4.4676905 0.13039239 0.15941434
4.4748715 0.13037224 0.15934933
4.4820524 0.1303531 0.15928553
4.4892334 0.130335 0.15922294
4.4964144 0.13031794 0.15916154
4.5035953 0.13030195 0.15910135
4.5107763 0.13028705 0.15904234
4.5179572 0.13027325 0.15898453
4.5251382 0.13026058 0.15892789
4.5323192 0.13024907 0.15887244
4.5395001 0.13023874 0.15881816
4.5466811 0.13022962 0.15876504
4.553862 0.13022175 0.15871304
4.561043 0.13021515 0.15866216
4.568224 0.13020986 0.15861236
4.5754049 0.13020591 0.15856361
4.5825859 0.13020333 0.15851589
4.5897668 0.13020216 0.15846919
4.5969478 0.13020243 0.15842346
4.6041288 0.13020416 0.15837869
4.6113097 0.13020739 0.15833486
4.6184907 0.13021215 0.15829194
4.6256716 0.13021846 0.1582499
4.6328526 0.13022636 0.15820873
4.6400335 0.13023587 0.15816839
4.6472145 0.130247 0.15812887
4.6543955 0.1302598 0.15809015
4.6615764 0.13027426 0.1580522
4.6687574 0.13029042 0.15801499
4.6759383 0.13030829 0.15797851
4.6831193 0.13032788 0.15794273
4.6903003 0.1303492 0.15790764
4.6974812 0.13037226 0.15787321
4.7046622 0.13039705 0.15783941
4.7118431 0.13042358 0.15780623
4.7190241 0.13045185 0.15777365
4.7262051 0.13048184 0.15774165
4.733386 0.13051355 0.15771021
4.740567 0.13054702 0.15767931
4.7477479 0.13058227 0.15764896
4.7549289 0.13061933 0.15761913
4.7621099 0.13065821 0.15758982
4.7692908 0.13069892 0.15756102
4.7764718 0.13074149 0.15753272
4.7836527 0.13078591 0.15750491
4.7908337 0.13083218 0.15747757
4.7980147 0.1308803 0.1574507
4.8051956 0.13093026 0.15742428
4.8123766 0.13098203 0.1573983
4.8195575 0.13103561 0.15737275
4.8267385 0.13109096 0.15734761
4.8339194 0.13114805 0.15732288
4.8411004 0.13120684 0.15729853
4.8482814 0.13126732 0.15727456
4.8554623 0.13132942 0.15725096
4.8626433 0.13139312 0.15722769
4.8698242 0.13145836 0.15720476
4.8770052 0.13152511 0.15718215
4.8841862 0.13159331 0.15715983
4.8913671 0.13166293 0.1571378
4.8985481 0.13173392 0.15711604
4.905729 0.13180625 0.15709452
4.91291 0.13187986 0.15707323
4.920091 0.13195473 0.15705215
4.9272719 0.13203074 0.15703127
4.9344529 0.13210781 0.15701059
4.9416338 0.13218584 0.15699009
4.9488148 0.13226474 0.15696977
4.9559958 0.13234441 0.15694961
4.9631767 0.13242478 0.15692962
4.9703577 0.13250576 0.15690977
4.9775386 0.13258729 0.15689008
4.9847196 0.13266931 0.15687052
4.9919006 0.13275173 0.1568511
4.9990815 0.13283452 0.15683181
5.0062625 0.13291761 0.15681264
5.0134434 0.13300096 0.1567936
5.0206244 0.13308452 0.15677466
5.0278053 0.13316826 0.15675584
5.0349863 0.13325213 0.15673714
5.0421673 0.13333611 0.15671854
5.0493482 0.13342017 0.15670004
5.0565292 0.13350428 0.15668166
5.0637101 0.13358843 0.15666338
5.0708911 0.13367258 0.1566452
5.0780721 0.13375674 0.15662714
5.085253 0.13384087 0.15660918
5.092434 0.13392499 0.15659134
5.0996149 0.13400907 0.15657361
5.1067959 0.13409311 0.156556
5.1139769 0.13417717 0.15653851
5.1211578 0.13426131 0.15652116
5.1283388 0.13434562 0.15650395
5.1355197 0.13443015 0.15648688
