# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
1.60000000e+01  -6.88234000e-01 -6.11215000e-01 -5.90828000e-01 -5.69752000e-01
1.62500000e+01  -6.88232000e-01 -6.11158000e-01 -5.89958000e-01 -5.69809000e-01
1.65000000e+01  -6.88231000e-01 -6.11112000e-01 -5.89098000e-01 -5.69864000e-01
1.67500000e+01  -6.88230000e-01 -6.11075000e-01 -5.88249000e-01 -5.69917000e-01
1.70000000e+01  -6.88229000e-01 -6.11046000e-01 -5.87414000e-01 -5.69968000e-01
1.72500000e+01  -6.88229000e-01 -6.11022000e-01 -5.86595000e-01 -5.70016000e-01
1.75000000e+01  -6.88228000e-01 -6.11002000e-01 -5.85790000e-01 -5.70062000e-01
1.77500000e+01  -6.88227000e-01 -6.10986000e-01 -5.85002000e-01 -5.70106000e-01
1.80000000e+01  -6.88226000e-01 -6.10973000e-01 -5.84229000e-01 -5.70147000e-01
1.82500000e+01  -6.88226000e-01 -6.10963000e-01 -5.83472000e-01 -5.70185000e-01
1.85000000e+01  -6.88225000e-01 -6.10954000e-01 -5.82732000e-01 -5.70221000e-01
1.87500000e+01  -6.88225000e-01 -6.10947000e-01 -5.82008000e-01 -5.70255000e-01
1.90000000e+01  -6.88224000e-01 -6.10941000e-01 -5.81299000e-01 -5.70286000e-01
1.92500000e+01  -6.88223000e-01 -6.10936000e-01 -5.80607000e-01 -5.70315000e-01
1.95000000e+01  -6.88223000e-01 -6.10932000e-01 -5.79931000e-01 -5.70341000e-01
1.97500000e+01  -6.88223000e-01 -6.10928000e-01 -5.79270000e-01 -5.70365000e-01
2.00000000e+01  -6.88222000e-01 -6.10926000e-01 -5.78625000e-01 -5.70386000e-01
2.02500000e+01  -6.88222000e-01 -6.10923000e-01 -5.77995000e-01 -5.70405000e-01
2.05000000e+01  -6.88221000e-01 -6.10921000e-01 -5.77380000e-01 -5.70420000e-01
2.07500000e+01  -6.88221000e-01 -6.10920000e-01 -5.76781000e-01 -5.70433000e-01
2.10000000e+01  -6.88221000e-01 -6.10918000e-01 -5.76198000e-01 -5.70441000e-01
2.12500000e+01  -6.88220000e-01 -6.10917000e-01 -5.75630000e-01 -5.70446000e-01
