 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
0.0 -0.0003038491693068176 -0.0003038491693068176
0.01 -0.0003061600305239795 -0.0003061600305239795
0.02 -0.0003091075689790397 -0.0003091075689790397
0.03 -0.00031263595137480296 -0.00031263595137480296
0.04 -0.0003166895534935025 -0.0003166895534935025
0.05 -0.00032121240644853463 -0.00032121240644853463
0.06 -0.0003261477102731128 -0.0003261477102731128
0.07 -0.0003314374148121182 -0.0003314374148121182
0.08 -0.0003370218678823255 -0.0003370218678823255
0.09 -0.00034283953066499887 -0.00034283953066499887
0.1 -0.00034882676029369887 -0.00034882676029369887
0.11 -0.00035491765959886544 -0.00035491765959886544
0.12 -0.00036104399396949056 -0.00036104399396949056
0.13 -0.00036713517529083647 -0.00036713517529083647
0.14 -0.0003731183129158046 -0.0003731183129158046
0.15 -0.0003789183316261054 -0.0003789183316261054
0.16 -0.0003844581565379192 -0.0003844581565379192
0.17 -0.0003896589649051902 -0.0003896589649051902
0.18 -0.00039444050477210554 -0.00039444050477210554
0.19 -0.0003987214804246613 -0.0003987214804246613
0.2 -0.0004024200045895033 -0.0004024200045895033
0.21000000000000002 -0.0004055286261027611 -0.0004055286261027611
0.22 -0.0004083403130146932 -0.0004083403130146932
0.22999999999999998 -0.00041122790714314246 -0.00041122790714314246
0.24 -0.0004145696867129096 -0.0004145696867129096
0.25 -0.000418750529944067 -0.000418750529944067
0.26 -0.000424164799119714 -0.000424164799119714
0.27 -0.00043122094542782994 -0.00043122094542782994
0.27999999999999997 -0.00044034783488234723 -0.00044034783488234723
0.29 -0.00045200279563940014 -0.00045200279563940014
0.3 -0.0004666813870359838 -0.0004666813870359838
0.3090909090909091 -0.000482862688673377 -0.000482862688673377
0.3181818181818182 -0.0005009428212117057 -0.0005009428212117057
0.32727272727272727 -0.0005198065629174115 -0.0005198065629174115
0.33636363636363636 -0.0005382535940373664 -0.0005382535940373664
0.34545454545454546 -0.0005550002372591378 -0.0005550002372591378
0.35454545454545455 -0.0005686951244585327 -0.0005686951244585327
0.36363636363636365 -0.0005779487890333805 -0.0005779487890333805
0.37272727272727274 -0.0005813771830991897 -0.0005813771830991897
0.38181818181818183 -0.0005776591187981667 -0.0005776591187981667
0.39090909090909093 -0.0005656076329480011 -0.0005656076329480011
0.4 -0.0005442552742308608 -0.0005442552742308608
0.41000000000000003 -0.0005105164120021334 -0.0005105164120021334
0.42000000000000004 -0.0004715828486065158 -0.0004715828486065158
0.43 -0.00043366864861514907 -0.00043366864861514907
0.44 -0.000402093202986283 -0.000402093202986283
0.45 -0.0003814207616537421 -0.0003814207616537421
0.46 -0.00037594523352897354 -0.00037594523352897354
0.47000000000000003 -0.0003905202604361384 -0.0003905202604361384
0.48 -0.0004317345717482428 -0.0004317345717482428
0.49 -0.0005094326267512535 -0.0005094326267512535
0.5 -0.0006385805520328626 -0.0006385805520328626
0.5193548387096774 -0.0011058093388133714 -0.0011058093388133714
0.5290322580645161 -0.001476449219966217 -0.001476449219966217
0.5387096774193548 -0.001956496065313161 -0.001956496065313161
0.5483870967741935 -0.002556808897862093 -0.002556808897862093
0.5580645161290323 -0.0032844895409324987 -0.0032844895409324987
0.567741935483871 -0.004141832929736172 -0.004141832929736172
0.5774193548387097 -0.005125527993941225 -0.005125527993941225
0.5870967741935484 -0.006226109105217191 -0.006226109105217191
0.5967741935483871 -0.007427658083527018 -0.007427658083527018
0.6064516129032258 -0.008707756755689546 -0.008707756755689546
0.6161290322580645 -0.01003769005948338 -0.01003769005948338
0.6258064516129033 -0.011382899686300534 -0.011382899686300534
0.635483870967742 -0.012703688255083247 -0.012703688255083247
0.6451612903225806 -0.013956174009991898 -0.013956174009991898
0.6548387096774193 -0.015093496033953038 -0.015093496033953038
0.6645161290322581 -0.016067269969925992 -0.016067269969925992
