 R   <X|H|A> 
0.0 -0.0029396378411066237
0.01 -0.002947339587192177
0.02 -0.00295824688927504
0.03 -0.0029690121767314004
0.04 -0.0029796277121201253
0.05 -0.0029900819123607203
0.06 -0.0030003657910420145
0.07 -0.003010470312434066
0.08 -0.00302038639080604
0.09 -0.0030301048897383165
0.1 -0.0030396166214174958
0.11 -0.0030489123459176426
0.12 -0.0030579827704724227
0.13 -0.003066818548727257
0.14 -0.003075410279980151
0.15 -0.003083748508408979
0.16 -0.0030918237222816725
0.17 -0.003099626353147089
0.18 -0.003107146775015446
0.19 -0.0031143753035192123
0.2 -0.003121302195054243
0.21000000000000002 -0.003127928102235167
0.22 -0.003134295549376498
0.22999999999999998 -0.003140457753148196
0.24 -0.003146468197778196
0.25 -0.003152380640121466
0.26 -0.003158249246420608
0.27 -0.003164128590567694
0.27999999999999997 -0.0031700727523518157
0.29 -0.0031761366486933174
0.3 -0.0031823754955701
0.3090909090909091 -0.00318793872382217
0.3181818181818182 -0.003191889431922168
0.32727272727272727 -0.003192416413825616
0.33636363636363636 -0.003187699340388095
0.34545454545454546 -0.003175908603281541
0.35454545454545455 -0.003155205155695673
0.36363636363636365 -0.003123740349774695
0.37272727272727274 -0.0030796557707073458
0.38181818181818183 -0.003021083067404229
0.39090909090909093 -0.002946143779684607
0.4 -0.002852949161887719
0.41000000000000003 -0.0027282384886417876
0.42000000000000004 -0.002583543260003096
0.43 -0.0024232873361107465
0.44 -0.002251919780503653
0.45 -0.0020739152655709914
0.46 -0.0018937745758220714
0.47000000000000003 -0.0017160251230311507
0.48 -0.0015452214735681702
0.49 -0.0013859458882400366
0.5 -0.0012428088749689703
0.5193548387096774 -0.001022017333902503
0.5290322580645161 -0.0009384160535221842
0.5387096774193548 -0.0008713941304956396
0.5483870967741935 -0.0008199824668014832
0.5580645161290323 -0.0007832067323468861
0.567741935483871 -0.0007600872617592458
0.5774193548387097 -0.0007496389485500687
0.5870967741935484 -0.000750871136617759
0.5967741935483871 -0.0007627875090275849
0.6064516129032258 -0.000784385974023083
0.6161290322580645 -0.000814658595005624
0.6258064516129033 -0.0008525913302350752
0.635483870967742 -0.0008971640333481634
0.6451612903225806 -0.000947350318382445
0.6548387096774193 -0.0010021174104521968
0.6645161290322581 -0.0010604260140543165
0.6741935483870968 -0.0011212301779730538
0.6838709677419355 -0.0011834771567283964
0.6935483870967742 -0.0012461072684939456
0.7032258064516129 -0.0013080537494231104
0.7129032258064516 -0.0013682426432051198
0.7225806451612904 -0.0014255925762496346
