 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A>
6.1009905 -0.07574476141571622 -0.9970926316522524 0.997092631652252 -0.075744761415716
6.1010365 -0.07576327054761053 -0.9970912258787092 0.9970912258787089 -0.07576327054761031
6.1010826 -0.07578182919816664 -0.9970898160113926 0.9970898160113922 -0.07578182919816642
6.1011286 -0.07580035685978798 -0.9970884081659599 0.9970884081659596 -0.07580035685978775
6.1011746 -0.0758188937869413 -0.9970869992843507 0.9970869992843504 -0.07581889378694108
6.1012207 -0.07583748031471294 -0.9970855862994867 0.9970855862994864 -0.07583748031471271
6.1012667 -0.07585603581458161 -0.9970841753405423 0.997084175340542 -0.07585603581458139
6.1013127 -0.07587460060147966 -0.997082763342689 0.9970827633426886 -0.07587460060147944
6.1013588 -0.075893215071146 -0.9970813472320569 0.9970813472320565 -0.07589321507114578
6.1014048 -0.07591179847385426 -0.9970799331513729 0.9970799331513726 -0.07591179847385404
6.1014508 -0.07593039118514268 -0.9970785180290229 0.9970785180290226 -0.07593039118514246
6.1014969 -0.07594903366154364 -0.9970770987843274 0.997077098784327 -0.07594903366154342
6.1015429 -0.07596764503184442 -0.9970756815736017 0.9970756815736014 -0.0759676450318442
6.1015889 -0.0759862657323299 -0.9970742633184282 0.9970742633184279 -0.07598626573232968
6.101635 -0.07600493628046713 -0.9970728409312994 0.9970728409312991 -0.07600493628046691
6.101681 -0.07602357568327518 -0.9970714205821557 0.9970714205821554 -0.07602357568327496
6.101727 -0.07604222443792662 -0.9970699991857576 0.9970699991857572 -0.0760422244379264
6.1017731 -0.07606092312296467 -0.9970685736477515 0.9970685736477511 -0.07606092312296445
6.1018191 -0.07607959062335763 -0.9970671501517391 0.9970671501517387 -0.07607959062335741
6.1018651 -0.07609826749730718 -0.997065725605641 0.9970657256056407 -0.07609826749730696
6.1019111 -0.07611695375205764 -0.9970643000085088 0.9970643000085084 -0.07611695375205742
6.1019572 -0.07613569004779419 -0.9970628702568333 0.9970628702568329 -0.07613569004779397
6.1020032 -0.07615439510633842 -0.997061442552486 0.9970614425524856 -0.0761543951063382
6.1020492 -0.07617310956747002 -0.9970600137942404 0.99706001379424 -0.0761731095674698
6.1020953 -0.07619187415278195 -0.9970585808716976 0.9970585808716973 -0.07619187415278172
6.1021413 -0.07621060746138293 -0.9970571500004777 0.9970571500004773 -0.07621060746138271
6.1021873 -0.0762293501944131 -0.9970557180724705 0.9970557180724702 -0.07622935019441288
6.1022334 -0.07624814313501597 -0.997054281970369 0.9970542819703687 -0.07624814313501575
6.1022794 -0.07626690475930205 -0.9970528479235791 0.9970528479235787 -0.07626690475930183
6.1023254 -0.07628567582991559 -0.9970514128170885 0.9970514128170882 -0.07628567582991537
6.1023715 -0.07630449719169269 -0.9970499735266627 0.9970499735266624 -0.07630449719169247
6.1024175 -0.07632328719746063 -0.9970485362955315 0.9970485362955311 -0.07632328719746041
6.1024635 -0.07634208667150975 -0.9970470980017617 0.9970470980017614 -0.07634208667150953
6.1025096 -0.0763609365205132 -0.997045655514172 0.9970456555141717 -0.07636093652051298
6.1025556 -0.0763797549737283 -0.9970442150898546 0.9970442150898543 -0.07637975497372808
6.1026016 -0.07639858291723475 -0.9970427735999361 0.9970427735999358 -0.07639858291723453
6.1026477 -0.07641746131968664 -0.997041327906269 0.9970413279062686 -0.07641746131968642
6.1026937 -0.07643630828648412 -0.9970398842798467 0.9970398842798464 -0.0764363082864839
6.1027397 -0.07645516476564002 -0.9970384395848361 0.9970384395848357 -0.0764551647656398
6.1027858 -0.0764740717879335 -0.9970369906761044 0.9970369906761041 -0.07647407178793328
6.1028318 -0.07649294733461968 -0.9970355438385847 0.9970355438385844 -0.07649294733461946
6.1028778 -0.07651183241578853 -0.9970340959294652 0.9970340959294649 -0.07651183241578831
6.1029238 -0.07653072703882188 -0.9970326469477373 0.997032646947737 -0.07653072703882166
6.1029699 -0.07654967231754234 -0.997031193738925 0.9970311937389247 -0.07654967231754212
6.1030159 -0.07656858606726025 -0.9970297426066063 0.9970297426066059 -0.07656858606726002
6.1030619 -0.07658750938104379 -0.9970282903986347 0.9970282903986344 -0.07658750938104357
6.103108 -0.07660648343517863 -0.997026833953503 0.9970268339535027 -0.07660648343517841
6.103154 -0.07662542592015537 -0.9970253795888211 0.9970253795888208 -0.07662542592015514
6.1032 -0.07664437799145697 -0.9970239241454177 0.9970239241454174 -0.07664437799145675
6.1032461 -0.07666338088797758 -0.9970224644547337 0.9970224644547334 -0.07666338088797736
6.1032921 -0.07668235217509768 -0.9970210068484514 0.9970210068484511 -0.07668235217509746
6.1033381 -0.07670133307086034 -0.9970195481603545 0.9970195481603542 -0.07670133307086012
6.1033842 -0.07672036487691405 -0.9970180852148119 0.9970180852148116 -0.07672036487691383
6.1034302 -0.07673936503323794 -0.9970166243576186 0.9970166243576183 -0.07673936503323772
6.1034762 -0.07675837482058094 -0.9970151624154933 0.9970151624154929 -0.07675837482058072
6.1035223 -0.07677743560349208 -0.9970136962057123 0.997013696205712 -0.07677743560349186
6.1035683 -0.07679646469625721 -0.9970122320882243 0.997012232088224 -0.07679646469625699
6.1036143 -0.07681550344247719 -0.9970107668826622 0.9970107668826619 -0.07681550344247697
6.1036604 -0.07683459326974822 -0.99700929739919 0.9970092973991895 -0.076834593269748
6.1037064 -0.07685365136637015 -0.9970078300119501 0.9970078300119498 -0.07685365136636993
6.1037524 -0.07687271913894224 -0.9970063615334702 0.9970063615334699 -0.07687271913894202
6.1037985 -0.07689183807825488 -0.9970048887667802 0.9970048887667798 -0.07689183807825466
6.1038445 -0.07691092524632838 -0.9970034181002587 0.9970034181002584 -0.07691092524632816
6.1038905 -0.07693002211290731 -0.9970019463393064 0.997001946339306 -0.07693002211290709
6.1039365 -0.07694912868551766 -0.997000473482855 0.9970004734828547 -0.07694912868551744
6.1039826 -0.07696828653942385 -0.9969989963243928 0.9969989963243925 -0.07696828653942363
6.1040286 -0.07698741256784507 -0.9969975212713409 0.9969975212713406 -0.07698741256784485
6.1040746 -0.07700654832493346 -0.996996045119567 0.9969960451195666 -0.07700654832493324
6.1041207 -0.07702573544949214 -0.9969945646553767 0.9969945646553764 -0.07702573544949191
6.1041667 -0.07704489070777293 -0.996993086300525 0.9969930863005246 -0.0770448907077727
6.1042127 -0.07706405571741747 -0.9969916068437038 0.9969916068437035 -0.07706405571741724
6.1042588 -0.07708327218091583 -0.9969901230640157 0.9969901230640154 -0.07708327218091561
6.1043048 -0.07710245673725641 -0.9969886413975908 0.9969886413975905 -0.07710245673725619
6.1043508 -0.07712165106771847 -0.9969871586259254 0.996987158625925 -0.07712165106771825
6.1043969 -0.07714089693862783 -0.9969856715208962 0.9969856715208959 -0.0771408969386276
6.1044429 -0.07716011086141207 -0.9969841865330527 0.9969841865330523 -0.07716011086141185
6.1044889 -0.07717933458113783 -0.9969827004366727 0.9969827004366724 -0.07717933458113761
6.104535 -0.07719860992811468 -0.996981209996387 0.9969812099963866 -0.07719860992811446
