 R   <X|H|A> 
6.1011286 -0.00025548538372892533
6.1011746 -0.00025548291961945775
6.1012207 -0.00025548045062741536
6.1012667 -0.0002554779874645401
6.1013127 -0.00025547552477486204
6.1013588 -0.0002554730572065225
6.1014048 -0.00025547059546507226
6.1014508 -0.0002554681341976132
6.1014969 -0.00025546566805536566
6.1015429 -0.00025546320773767856
6.1015889 -0.0002554607478947315
6.101635 -0.0002554582831808291
6.101681 -0.00025545582428910824
6.101727 -0.0002554533658728319
6.1017731 -0.0002554509025893935
6.1018191 -0.0002554484451257093
6.1018651 -0.00025544598813812946
6.1019111 -0.00025544353162686466
6.1019572 -0.00025544107025343287
6.1020032 -0.00025543861469644476
6.1020492 -0.00025543615961637367
6.1020953 -0.00025543369967783716
6.1021413 -0.00025543124555320687
6.1021873 -0.0002554287919060527
6.1022334 -0.0002554263334040957
6.1022794 -0.00025542388071346034
6.1023254 -0.00025542142850081917
6.1023715 -0.00025541897143699843
6.1024175 -0.00025541652018186986
6.1024635 -0.00025541406940521175
6.1025096 -0.0002554116137809591
6.1025556 -0.0002554091639627252
6.1026016 -0.0002554067146233955
6.1026477 -0.00025540426044001914
6.1026937 -0.00025540181205994364
6.1027397 -0.000255399364159167
6.1027858 -0.00025539691141785283
6.1028318 -0.000255394464477079
6.1028778 -0.0002553920180159582
6.1029238 -0.0002553895720345991
6.1029699 -0.00025538712121732214
6.1030159 -0.0002553846761968408
6.1030619 -0.00025538223165642296
6.103108 -0.00025537978228350915
6.103154 -0.00025537733870453316
6.1032 -0.000255374895605883
6.1032461 -0.0002553724476781219
6.1032921 -0.0002553700055414014
6.1033381 -0.0002553675638852312
6.1033842 -0.0002553651174032975
6.1034302 -0.0002553626767094674
6.1034762 -0.00025536023649637397
6.1035223 -0.00025535779146082873
6.1035683 -0.0002553553522104113
6.1036143 -0.00025535291344087906
6.1036604 -0.0002553504698521704
6.1037064 -0.00025534803204557525
6.1037524 -0.00025534559471997794
6.1037985 -0.00025534315257844326
6.1038445 -0.0002553407162159704
6.1038905 -0.0002553382803345708
6.1039365 -0.0002553358449342622
6.1039826 -0.00025533340472227853
6.1040286 -0.00025533097028523216
6.1040746 -0.0002553285363293043
6.1041207 -0.00025532609756485783
6.1041667 -0.00025532366457221335
6.1042127 -0.00025532123206067935
6.1042588 -0.0002553187947437474
6.1043048 -0.00025531636319544627
6.1043508 -0.0002553139321282141
6.1043969 -0.0002553114962586693
6.1044429 -0.0002553090661545505
6.1044889 -0.00025530663653142366
6.104535 -0.0002553042021090356
6.104581 -0.0002553017734488346
6.104627 -0.00025529934526951487
6.1046731 -0.00025529691229395004
6.1047191 -0.0002552944850773009
6.1047651 -0.00025529205834138864
6.1048111 -0.0002552896320861576
6.1048572 -0.0002552872010386499
6.1049032 -0.0002552847757456457
6.1049492 -0.0002552823509331349
6.1049953 -0.0002552799213313715
6.1050413 -0.0002552774974812908
6.1050873 -0.0002552750741125319
6.1051334 -0.0002552726459589175
6.1051794 -0.0002552702235551795
6.1052254 -0.0002552678016340867
6.1052715 -0.0002552653749326053
6.1053175 -0.00025526295397915763
6.1053635 -0.00025526053350965214
6.1054096 -0.00025525810826420605
6.1054556 -0.00025525568876491557
6.1055016 -0.0002552532697508383
6.1055477 -0.00025525084596524994
6.1055937 -0.0002552484279239053
6.1056397 -0.0002552460103690178
6.1056858 -0.0002552435880470318
6.1057318 -0.00025524117146734295
6.1057778 -0.00025523875537532997
6.1058238 -0.0002552363397713937
6.1058699 -0.00025523391940621327
6.1059159 -0.0002552315047806836
6.1059619 -0.00025522909064441574
6.106008 -0.0002552266717512743
6.106054 -0.0002552242585957611
6.1061 -0.00025522184593066994
6.1061461 -0.0002552194285130601
6.1061921 -0.0002552170168310222
6.1062381 -0.0002552146056405433
6.1062842 -0.000255212189701883
6.1063302 -0.00025520977949670823
6.1063762 -0.00025520736978420415
6.1064223 -0.00025520495532784003
6.1064683 -0.00025520254660284355
6.1065143 -0.00025520013837160673
6.1065604 -0.00025519772540081437
6.1066064 -0.00025519531815924195
6.1066524 -0.0002551929114124945
6.1066985 -0.00025519049993048
6.1067445 -0.00025518809417550783
6.1067905 -0.00025518568891640364
6.1068365 -0.0002551832841535094
6.1068826 -0.0002551808746610409
6.1069286 -0.00025517847089266525
6.1069746 -0.0002551760676215134
6.1070207 -0.00025517365962503876
6.1070667 -0.0002551712573504117
6.1071127 -0.0002551688555739995
6.1071588 -0.00025516644907650117
6.1072048 -0.0002551640482985763
6.1072508 -0.0002551616480198363
6.1072969 -0.00025515924302423195
6.1073429 -0.00025515684374589973
6.1073889 -0.00025515444496770033
6.107435 -0.00025515204147684315
6.107481 -0.00025514964370093
6.107527 -0.0002551472464260774
6.1075731 -0.00025514484444275846
6.1076191 -0.00025514244817202865
6.1076651 -0.00025514005240326624
6.1077112 -0.00025513765193021576
6.1077572 -0.0002551352571673722
6.1078032 -0.00025513286290738317
6.1078492 -0.00025513046915054047
6.1078953 -0.0002551280706949557
6.1079413 -0.0002551256779463639
6.1079873 -0.0002551232857017782
6.1080334 -0.00025512088876259516
6.1080794 -0.00025511849752796417
6.1081254 -0.0002551161067981812
6.1081715 -0.00025511371137793134
6.1082175 -0.0002551113216597681
6.1082635 -0.00025510893244727487
6.1083096 -0.00025510653854843193
6.1083556 -0.00025510415034918615
6.1084016 -0.00025510176265641327
6.1084477 -0.0002550993702813948
6.1084937 -0.00025509698360345965
6.1085397 -0.000255094597432783
6.1085858 -0.0002550922065839505
6.1086318 -0.00025508982142966475
6.1086778 -0.0002550874531812344
6.1087239 -0.00025508508075530896
6.1087699 -0.00025508271364285077
6.1088159 -0.00025508034670125026
6.1088619 -0.000255077979934313
6.108908 -0.00025507560820125933
6.108954 -0.00025507324179536886
6.109 -0.0002550708755754222
6.1090461 -0.0002550685044017955
6.1090921 -0.00025506613856526893
6.1091381 -0.0002550637729257548
6.1091842 -0.0002550614023448561
6.1092302 -0.00025505903711071085
6.1092762 -0.00025505667208443577
6.1093223 -0.0002550543021289318
6.1093683 -0.00025505193752955525
6.1094143 -0.00025504957314869694
6.1094604 -0.00025504720385062735
6.1095064 -0.00025504483991778154
6.1095524 -0.0002550424762138967
6.1095985 -0.00025504010760468005
6.1096445 -0.00025503774436951
6.1096905 -0.00025503538137353933
6.1097366 -0.00025503301348397934
6.1097826 -0.000255030650977019
6.1098286 -0.0002550282887192945
6.1098746 -0.00025502592671410387
6.1099207 -0.00025502355983076687
6.1099667 -0.0002550211983410179
6.1100127 -0.0002550188371135731
6.1100588 -0.00025501647101940853
6.1101048 -0.00025501411032676847
6.1101508 -0.0002550117499060062
6.1101969 -0.0002550093846298161
6.1102429 -0.0002550070247628295
6.1102889 -0.00025500466517709827
6.110335 -0.0002550023007470982
6.110381 -0.0002549999417337257
6.110427 -0.0002549975830107928
6.1104731 -0.00025499521945461826
6.1105191 -0.00025499286132224356
6.1105651 -0.0002549905034893025
6.1106112 -0.00025498814083401474
6.1106572 -0.0002549857836094499
6.1107032 -0.0002549834266931248
6.1107493 -0.00025498106496521717
6.1107953 -0.0002549787086747107
6.1108413 -0.0002549763527010635
6.1108873 -0.000254973997047104
6.1109334 -0.0002549716365957094
6.1109794 -0.0002549692815902451
6.1110254 -0.00025496692691284143
6.1110715 -0.0002549645674484654
6.1111175 -0.00025496221343613895
6.1111635 -0.00025495985976006514
6.1112096 -0.00025495750130735293
6.1112556 -0.0002549551483125757
6.1113016 -0.0002549527956620623
6.1113477 -0.00025495043824511846
6.1113937 -0.0002549480862917634
6.1114397 -0.0002549457346905065
6.1114858 -0.00025494337833289983
6.1115318 -0.0002549410274443086
6.1115778 -0.00025493867691547345
6.1116239 -0.00025493632164024394
6.1116699 -0.0002549339718392321
6.1117159 -0.00025493162240545976
6.1117619 -0.0002549292733413811
6.111808 -0.00025492691954398733
6.111854 -0.00025492457122740166
6.1119 -0.0002549222232877652
6.1119461 -0.0002549198706244798
6.1119921 -0.00025491752344669225
6.1120381 -0.00025491517665293976
6.1120842 -0.00025491282514508295
6.1121302 -0.00025491047912719854
6.1121762 -0.00025490813350030736
6.1122223 -0.00025490578316896744
6.1122683 -0.00025490343833233246
6.1123143 -0.0002549010938941058
6.1123604 -0.00025489874476143984
6.1124064 -0.0002548964011282334
6.1124524 -0.00025489405790072835
6.1124985 -0.00025489170998867986
6.1125445 -0.0002548893675806374
6.1125905 -0.00025488702558543067
6.1126366 -0.0002548846789154638
6.1126826 -0.00025488233775384497
6.1127286 -0.0002548799970120392
6.1127746 -0.00025487765669233433
6.1128207 -0.0002548753117107384
6.1128667 -0.0002548729722429662
6.1129127 -0.0002548706332040653
6.1129588 -0.00025486828951279796
6.1130048 -0.0002548659513392297
6.1130508 -0.0002548636136011492
6.1130969 -0.00025486127122011776
6.1131429 -0.00025485893436046644
6.1131889 -0.00025485659794276824
6.113235 -0.00025485425689142664
6.113281 -0.00025485192136495314
6.113327 -0.0002548495862867489
6.1133731 -0.00025484724658410046
6.1134191 -0.0002548449124096187
6.1134651 -0.0002548425786895762
6.1135112 -0.0002548402403541813
6.1135572 -0.0002548379075500663
6.1136032 -0.0002548355752064129
6.1136493 -0.0002548332382563942
6.1136953 -0.000254830906840584
6.1137413 -0.0002548285758911152
6.1137873 -0.0002548262454099145
6.1138334 -0.00025482391033416606
6.1138794 -0.00025482158079624825
6.1139254 -0.00025481925173229006
6.1139715 -0.0002548169180825268
6.1140175 -0.00025481458997310424
6.1140635 -0.00025481226234319294
6.1141096 -0.0002548099301361167
6.1141556 -0.0002548076034717175
6.1142016 -0.00025480527729224243
6.1142477 -0.00025480294654414096
6.1142937 -0.00025480062134088024
6.1143397 -0.00025479829662782016
6.1143858 -0.0002547959673545718
6.1144318 -0.00025479364362815805
6.1144778 -0.0002547913203970885
6.1145239 -0.00025478899261416766
6.1145699 -0.0002547866703799087
6.1146159 -0.00025478434864600506
6.114662 -0.00025478202236848743
6.114708 -0.0002547797016412952
6.114754 -0.0002547773814193376
6.1148 -0.000254775061704212
6.1148461 -0.00025477273745630187
6.1148921 -0.0002547704187606829
6.1149381 -0.00025476810057660417
6.1149842 -0.0002547657778677498
6.1150302 -0.00025476346071247747
6.1150762 -0.0002547611440733272
6.1151223 -0.0002547588229173145
6.1151683 -0.00025475650731601827
6.1152143 -0.0002547541922353
6.1152604 -0.0002547518726455381
6.1153064 -0.00025474955861147324
6.1153524 -0.0002547472451023199
6.1153985 -0.00025474492709184557
6.1154445 -0.0002547426146378997
6.1154905 -0.00025474030271307676
6.1155366 -0.0002547379862945622
6.1155826 -0.00025473567543325833
6.1156286 -0.00025473336510516977
6.1156747 -0.00025473105029092476
6.1157207 -0.00025472874103442845
6.1157667 -0.00025472643231511983
6.1158127 -0.00025472412413429703
6.1158588 -0.00025472181147722197
6.1159048 -0.0002547195043783885
6.1159508 -0.0002547171978218585
6.1159969 -0.00025471488679639973
6.1160429 -0.00025471258132938853
6.1160889 -0.0002547102764083849
6.116135 -0.00025470796702568507
6.116181 -0.00025470566320150113
6.116227 -0.0002547033599269153
6.1162731 -0.0002547010521977781
6.1163191 -0.00025469875002708995
6.1163651 -0.0002546964484094784
6.1164112 -0.0002546941423443716
6.1164572 -0.0002546918418375141
6.1165032 -0.0002546895418871027
6.1165493 -0.0002546872374961644
6.1165953 -0.00025468493866314485
6.1166413 -0.0002546826403898325
6.1166874 -0.0002546803376828759
6.1167334 -0.0002546780405333777
6.1167794 -0.0002546757439467431
6.1168254 -0.00025467344792399766
6.1168715 -0.0002546711474766489
6.1169175 -0.00025466885258595127
6.1169635 -0.0002546665582621588
6.1170096 -0.0002546642595204463
6.1170556 -0.0002546619663346346
6.1171016 -0.00025465967371863976
6.1171477 -0.0002546573766913253
6.1171937 -0.0002546550852190404
6.1172397 -0.00025465279431938323
6.1172858 -0.0002546504990149235
6.1173318 -0.00025464820926450254
6.1173778 -0.0002546459200894205
6.1174239 -0.0002546436265159713
6.1174699 -0.0002546413384954542
6.1175159 -0.0002546390510528879
6.117562 -0.00025463675921830956
6.117608 -0.00025463447293544103
6.117654 -0.0002546321872330387
6.1177001 -0.00025462989714489855
6.1177461 -0.0002546276126071345
6.1177921 -0.0002546253286522562
6.1178381 -0.00025462304528104925
6.1178842 -0.00025462075753234566
6.1179302 -0.00025461847533206784
6.1179762 -0.0002546161937177565
6.1180223 -0.00025461390773203916
6.1180683 -0.0002546116272931592
6.1181143 -0.0002546093474424479
6.1181604 -0.00025460706322634474
6.1182064 -0.0002546047845553848
6.1182524 -0.00025460250647470553
6.1182985 -0.00025460022403457074
6.1183445 -0.00025459794713778234
6.1183905 -0.00025459568418142325
