 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A> 
0.0 0.9982911732652939 0.05702556026715263 -0.05702556026716512 0.9982911732652667
0.01 0.9982911732652939 0.05702556026715263 -0.05702556026716512 0.9982911732652667
0.02 0.9982839820846436 0.05715123322625278 -0.057151233226265294 0.9982839820846163
0.03 0.9982767079822804 0.05727805601856361 -0.05727805601857615 0.9982767079822531
0.04 0.9982693497975935 0.057406043155420396 -0.05740604315543296 0.9982693497975661
0.05 0.9982619063284757 0.057535209573228475 -0.05753520957324108 0.9982619063284481
0.06 0.9982543763313231 0.05766557063346327 -0.05766557063347591 0.9982543763312954
0.07 0.9982467585210356 0.05779714212267023 -0.057797142122682915 0.9982467585210079
0.08 0.9982390515710169 0.05792994025246489 -0.05792994025247762 0.998239051570989
0.09 0.9982312541131739 0.058063981659532846 -0.05806398165954562 0.998231254113146
0.1 0.998223369693935 0.058199259421427 -0.0581992594214398 0.998223369693907
0.11 0.9982153990194671 0.058335780585142834 -0.05833578058515566 0.9982153990194391
0.12 0.9982073294719714 0.05847361690206402 -0.058473616902076864 0.9982073294719433
0.13 0.998199160114743 0.05861278381822047 -0.05861278381823335 0.9981991601147148
0.14 0.9981908899324864 0.058753297384225876 -0.058753297384238796 0.9981908899324581
0.15 0.9981825178313157 0.058895174255277696 -0.058895174255290665 0.9981825178312873
0.16 0.9981740426387544 0.059038431691157155 -0.05903843169117017 0.9981740426387259
0.17 0.9981654631037354 0.05918308755622925 -0.059183087556242325 0.9981654631037068
0.18 0.9981567778966013 0.05932916031944276 -0.059329160319455884 0.9981567778965725
0.19 0.9981479856091038 0.05947666905433023 -0.0594766690543434 0.9981479856090749
0.2 0.9981390847544044 0.05962563343900796 -0.05962563343902117 0.9981390847543754
0.21000000000000002 0.9981300737670739 0.05977607375617603 -0.05977607375618928 0.9981300737670448
0.22 0.9981209582961584 0.05992796648473846 -0.05992796648475173 0.9981209582961292
0.22999999999999998 0.9981117375404805 0.06008132750584463 -0.0600813275058579 0.9981117375404515
0.24 0.9981023962820752 0.06023626061228386 -0.06023626061229714 0.9981023962820461
0.25 0.9980929334189226 0.0603927837691447 -0.060392783769157965 0.9980929334188935
0.26 0.9980833477219827 0.06055091584099328 -0.06055091584100654 0.9980833477219536
0.27 0.9980736378351955 0.060710676591873416 -0.06071067659188665 0.9980736378351664
0.27999999999999997 0.9980638022754807 0.06087208668530653 -0.06087208668531974 0.9980638022754519
0.29 0.9980538394327382 0.0610351676842917 -0.06103516768430486 0.9980538394327093
0.3 0.9980437475698472 0.061199942051305634 -0.06119994205131873 0.9980437475698185
0.3090909090909091 0.9980344596232102 0.061351226023246386 -0.06135122602325941 0.9980344596231817
0.3181818181818182 0.9980250620176069 0.06150394696680109 -0.06150394696681403 0.9980250620175786
0.32727272727272727 0.99801555317463 0.06165812369358024 -0.06165812369359308 0.9980155531746019
0.33636363636363636 0.9980059314605431 0.061813767633490294 -0.06181376763350303 0.9980059314605152
