 R   <X|H|X>   <A|H|A> 
0.0 9.94578443280632 9.985517766889592
0.01 9.812605596756189 9.855543729019612
0.02 9.679369224682162 9.72508526653499
0.03 9.546241643924303 9.594335776252109
0.04 9.413389686476826 9.463488022062645
0.05 9.280980185274881 9.332734766455388
0.06 9.14917997424266 9.20226877049323
0.07 9.018155888342612 9.072282793789471
0.08 8.88807476362578 8.942969594483236
0.09 8.759103437283217 8.81452192921386
0.1 8.631408808856897 8.687132614964408
0.11 8.505157741320756 8.560994428953375
0.12 8.380516938559998 8.436299984500353
0.13 8.257653252250439 8.313242041430705
0.14 8.13673353455054 8.192013356994128
0.15 8.017924638204757 8.072806685871395
0.16 7.901393416649044 7.955814780181109
0.17 7.787306724118442 7.84123038948599
0.18 7.675831415756479 7.729246260798287
0.19 7.5671343477262045 7.620055138583921
0.2 7.461382377322776 7.51384976476495
0.21000000000000002 7.358639950573971 7.4107146120754805
0.22 7.258561930749271 7.310301152813819
0.22999999999999998 7.160700706265748 7.212152530140816
0.24 7.064608536720945 7.11581175760818
0.25 6.969837812089103 7.020821982432827
0.26 6.8759409204003825 6.926726351183737
0.27 6.782470247806756 6.833068009891822
0.27999999999999997 6.688978178633573 6.739390104146604
0.29 6.595017095418432 6.645235779181318
0.3 6.500139378938808 6.550148179948202
0.3090909090909091 6.412825157893773 6.462623092717355
0.3181818181818182 6.324709157518564 6.374280787979755
0.32727272727272727 6.236117081044805 6.285452914653553
0.33636363636363636 6.147374625850941 6.196471114969084
0.34545454545454546 6.058807425087009 6.107666966604223
0.35454545454545455 5.970741282430415 6.019372215274317
0.36363636363636365 5.883501897227167 5.9319185023336445
0.37272727272727274 5.797414969281481 5.84563746859551
0.38181818181818183 5.712806198922496 5.760860754368787
0.39090909090909093 5.6300012870685645 5.6779199994909515
0.4 5.549325935288747 5.5971468433572635
0.41000000000000003 5.463312262321596 5.511071913733143
0.42000000000000004 5.379988045130513 5.427719400279059
0.43 5.299071870492654 5.346787643238239
0.44 5.220282323342042 5.267974984823884
0.45 5.143337986696188 5.1909797692811805
0.46 5.0679572048671195 5.115500104465094
0.47000000000000003 4.993858640162535 5.041234422811927
0.48 4.920761166542679 4.967881374474807
0.49 4.848383333034052 4.8951392868184636
0.5 4.77644368887208 4.822706492137758
0.5193548387096774 4.6377785485355725 4.6826845121001135
0.5290322580645161 4.568735219454084 4.612780881218332
0.5387096774193548 4.499921553122078 4.543000366970045
0.5483870967741935 4.431365179647236 4.473381628570309
0.5580645161290323 4.363093731968699 4.403963326162242
0.567741935483871 4.295134845823396 4.3347841207130475
0.5774193548387097 4.227515986712607 4.2658824992126325
0.5870967741935484 4.160264606071045 4.1972969324249565
0.5967741935483871 4.093408901742886 4.12906664248035
0.6064516129032258 4.0269764866077145 4.061230258401133
0.6161290322580645 3.960994979187485 3.9938264125038954
0.6258064516129033 3.8954920034937555 3.9268937401543775
0.635483870967742 3.830495188875936 3.860470879517347
0.6451612903225806 3.766032169871249 3.794596471302075
0.6548387096774193 3.702130586057099 3.729309158504206
0.6645161290322581 3.6388180819065803 3.6646475861447
0.6741935483870968 3.576122306647855 3.6006504010065576
0.6838709677419355 3.514070914128135 3.537356251370121
0.6935483870967742 3.4526915626830523 3.4748037867476356
0.7032258064516129 3.392011631283086 3.4130313716555682
0.7129032258064516 3.332059197597081 3.3520780713358644
0.7225806451612904 3.2728619385396347 3.291982543178103
0.7322580645161291 3.2144474960689546 3.2327834054926963
0.7419354838709677 3.1568435169382907 3.174519277415825
0.7516129032258065 3.1000776527994853 3.117228778834451
0.7612903225806452 3.0441773951907933 3.0609503639504503
0.7709677419354839 2.989170619647532 3.005722869251049
0.7806451612903226 2.9350850574453387 2.951584981107963
0.7903225806451614 2.881948331137012 2.8985752713877972
0.8 2.829788081511957 2.846732325112396
0.81 2.7769335712344114 2.794412086229986
0.8200000000000001 2.725116938276775 2.743325845351482
0.8300000000000001 2.674303883435209 2.6934205635688673
0.8400000000000001 2.6244601156758405 2.64464321505494
0.8500000000000001 2.575551343645255 2.5969407786693153
0.86 2.5275432797717623 2.550260242439327
0.87 2.480401638635229 2.5045486022151944
