R
4.0009300000e+00
4.0081100000e+00
4.0152900000e+00
4.0224700000e+00
4.0296500000e+00
4.0368300000e+00
4.0440100000e+00
4.0511900000e+00
4.0583800000e+00
4.0655600000e+00
4.0727400000e+00
4.0799200000e+00
4.0871000000e+00
4.0942800000e+00
4.1014600000e+00
4.1086400000e+00
4.1158200000e+00
4.1230000000e+00
4.1301900000e+00
4.1373700000e+00
4.1445500000e+00
4.1517300000e+00
4.1589100000e+00
4.1660900000e+00
4.1732700000e+00
4.1804500000e+00
4.1876300000e+00
4.1948100000e+00
4.2020000000e+00
4.2091800000e+00
4.2163600000e+00
4.2235400000e+00
4.2307200000e+00
4.2379000000e+00
4.2450800000e+00
4.2522600000e+00
4.2594400000e+00
4.2666200000e+00
4.2738000000e+00
4.2809900000e+00
4.2881700000e+00
4.2953500000e+00
4.2958192700e+00
4.2962885400e+00
4.2967578100e+00
4.2972270800e+00
4.2976963500e+00
4.2981656200e+00
4.2986348900e+00
4.2991041600e+00
4.2995734300e+00
4.3000427000e+00
4.3000888000e+00
4.3001348000e+00
4.3001808000e+00
4.3002269000e+00
4.3002729000e+00
4.3003189000e+00
4.3003650000e+00
4.3004110000e+00
4.3004570000e+00
4.3005031000e+00
4.3005491000e+00
4.3005951000e+00
4.3006412000e+00
4.3006872000e+00
4.3007332000e+00
4.3007793000e+00
4.3008253000e+00
4.3008713000e+00
4.3009173000e+00
4.3009634000e+00
4.3010094000e+00
4.3010554000e+00
4.3011015000e+00
4.3011475000e+00
4.3011935000e+00
4.3012396000e+00
4.3012856000e+00
4.3013316000e+00
4.3013777000e+00
4.3014237000e+00
4.3014697000e+00
4.3015158000e+00
4.3015618000e+00
4.3016078000e+00
4.3016539000e+00
4.3016999000e+00
4.3017459000e+00
4.3017920000e+00
4.3018380000e+00
4.3018840000e+00
4.3019300000e+00
4.3019761000e+00
4.3020221000e+00
4.3020681000e+00
4.3021142000e+00
4.3021602000e+00
4.3022062000e+00
4.3022523000e+00
4.3022983000e+00
4.3023443000e+00
4.3023904000e+00
4.3024364000e+00
4.3024824000e+00
4.3025285000e+00
4.3025745000e+00
4.3026205000e+00
4.3026666000e+00
4.3027126000e+00
4.3027586000e+00
4.3028047000e+00
4.3028507000e+00
4.3028967000e+00
4.3029427000e+00
4.3029888000e+00
4.3030348000e+00
4.3030808000e+00
4.3031269000e+00
4.3031729000e+00
4.3032189000e+00
4.3032650000e+00
4.3033110000e+00
4.3033570000e+00
4.3034031000e+00
4.3034491000e+00
4.3034951000e+00
4.3035412000e+00
4.3035872000e+00
4.3036332000e+00
4.3036793000e+00
4.3037253000e+00
4.3037713000e+00
4.3038173000e+00
4.3038634000e+00
4.3039094000e+00
4.3039554000e+00
4.3040015000e+00
4.3040475000e+00
4.3040935000e+00
4.3041396000e+00
4.3041856000e+00
4.3042316000e+00
4.3042777000e+00
4.3043237000e+00
4.3043697000e+00
4.3044158000e+00
4.3044618000e+00
4.3045078000e+00
4.3045539000e+00
4.3045999000e+00
4.3046459000e+00
4.3046920000e+00
4.3047380000e+00
4.3047840000e+00
4.3048300000e+00
4.3048761000e+00
4.3049221000e+00
4.3049681000e+00
4.3050142000e+00
4.3050602000e+00
4.3051062000e+00
4.3051523000e+00
4.3051983000e+00
4.3052443000e+00
4.3052904000e+00
4.3053364000e+00
4.3053824000e+00
4.3054285000e+00
4.3054745000e+00
4.3055205000e+00
4.3055666000e+00
4.3056126000e+00
4.3056586000e+00
4.3057047000e+00
4.3057507000e+00
4.3057967000e+00
4.3058427000e+00
4.3058888000e+00
4.3059348000e+00
4.3059808000e+00
4.3060269000e+00
4.3060729000e+00
4.3061189000e+00
4.3061650000e+00
4.3062110000e+00
4.3062570000e+00
4.3063031000e+00
4.3063491000e+00
4.3063951000e+00
4.3064412000e+00
4.3064872000e+00
4.3065332000e+00
4.3065793000e+00
4.3066253000e+00
4.3066713000e+00
4.3067174000e+00
4.3067634000e+00
4.3068094000e+00
4.3068554000e+00
4.3069015000e+00
4.3069475000e+00
4.3069935000e+00
4.3070396000e+00
4.3070856000e+00
4.3071316000e+00
4.3071777000e+00
4.3072237000e+00
4.3072697000e+00
4.3073158000e+00
4.3073618000e+00
4.3074078000e+00
4.3074539000e+00
4.3074999000e+00
4.3075459000e+00
4.3075920000e+00
4.3076380000e+00
4.3076840000e+00
4.3077301000e+00
4.3077761000e+00
4.3078221000e+00
4.3078681000e+00
4.3079142000e+00
4.3079602000e+00
4.3080062000e+00
4.3080523000e+00
4.3080983000e+00
4.3081443000e+00
4.3081904000e+00
4.3082364000e+00
4.3082824000e+00
4.3083285000e+00
4.3083745000e+00
4.3084205000e+00
4.3084666000e+00
4.3085126000e+00
4.3085586000e+00
4.3086047000e+00
4.3086507000e+00
4.3086967000e+00
4.3087428000e+00
4.3087888000e+00
4.3088348000e+00
4.3088808000e+00
4.3089269000e+00
4.3089729000e+00
4.3090189000e+00
4.3090650000e+00
4.3091110000e+00
4.3091570000e+00
4.3092031000e+00
4.3092491000e+00
4.3092951000e+00
4.3093412000e+00
4.3093872000e+00
4.3094332000e+00
4.3094793000e+00
4.3095253000e+00
4.3095713000e+00
4.3096174000e+00
4.3096634000e+00
4.3097094000e+00
4.3097555000e+00
4.3098015000e+00
4.3098475000e+00
4.3098935000e+00
4.3099396000e+00
4.3099856000e+00
4.3100316000e+00
4.3100777000e+00
4.3101237000e+00
4.3101697000e+00
4.3102158000e+00
4.3102618000e+00
4.3103078000e+00
4.3103539000e+00
4.3103999000e+00
4.3104459000e+00
4.3104920000e+00
4.3105380000e+00
4.3105840000e+00
4.3106301000e+00
4.3106761000e+00
4.3107221000e+00
4.3107681000e+00
4.3108142000e+00
4.3108602000e+00
4.3109062000e+00
4.3109523000e+00
4.3109983000e+00
4.3110443000e+00
4.3110904000e+00
4.3111364000e+00
4.3111824000e+00
4.3112285000e+00
4.3112745000e+00
4.3113205000e+00
4.3113666000e+00
4.3114126000e+00
4.3114586000e+00
4.3115047000e+00
4.3115507000e+00
4.3115967000e+00
4.3116428000e+00
4.3116888000e+00
4.3117348000e+00
4.3117808000e+00
4.3118269000e+00
4.3118729000e+00
4.3119189000e+00
4.3119650000e+00
4.3120110000e+00
4.3120570000e+00
4.3121031000e+00
4.3121491000e+00
4.3121951000e+00
4.3122412000e+00
4.3122872000e+00
4.3123332000e+00
4.3123793000e+00
4.3124253000e+00
4.3124713000e+00
4.3125174000e+00
4.3125634000e+00
4.3126094000e+00
4.3126555000e+00
4.3127015000e+00
4.3127475000e+00
4.3127935000e+00
4.3128396000e+00
4.3128856000e+00
4.3129316000e+00
4.3129777000e+00
4.3130237000e+00
4.3130697000e+00
4.3131158000e+00
4.3131618000e+00
4.3132078000e+00
4.3132539000e+00
4.3132999000e+00
4.3133459000e+00
4.3133920000e+00
4.3134380000e+00
4.3134840000e+00
4.3135301000e+00
4.3135761000e+00
4.3136221000e+00
4.3136682000e+00
4.3137142000e+00
4.3137602000e+00
4.3138062000e+00
4.3138523000e+00
4.3138983000e+00
4.3139443000e+00
4.3139904000e+00
4.3140364000e+00
4.3140824000e+00
4.3141285000e+00
4.3141745000e+00
4.3142205000e+00
4.3142666000e+00
4.3143126000e+00
4.3143586000e+00
4.3144047000e+00
4.3144507000e+00
4.3144967000e+00
4.3145428000e+00
4.3145888000e+00
4.3146348000e+00
4.3146809000e+00
4.3147269000e+00
4.3147729000e+00
4.3148189000e+00
4.3148650000e+00
4.3149110000e+00
4.3149570000e+00
4.3150031000e+00
4.3150491000e+00
4.3150951000e+00
4.3151412000e+00
4.3151872000e+00
4.3152332000e+00
4.3152793000e+00
4.3153253000e+00
4.3153713000e+00
4.3154174000e+00
4.3154634000e+00
4.3155094000e+00
4.3155555000e+00
