 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C>   <D|d2/dR2|D>   <E|d2/dR2|E>   <F|d2/dR2|F>   <G|d2/dR2|G>   <H|d2/dR2|H>   <I|d2/dR2|I>   <J|d2/dR2|J> 
2.50011 -0.3018273411457473 -0.2456686246884159 -0.7629387967220675 -1.7072665834855176 -1.14906710525102 -0.19825365531620667 -4.625422256223706 -0.2820051065966533 -4.494944429495432 -1.0359453258385831 -1.0668759785479596
2.50729 -0.29789312128230183 -0.24143994852055947 -0.717164274716754 -1.6879831306005102 -1.1627985704853145 -0.19475313493973875 -5.9172633484315735 -0.27940463148518857 -5.791873529520032 -1.0249759247509242 -1.0518846918588574
2.51447 -0.29397977223791394 -0.23726083699205922 -0.6750285951851874 -1.6686460787292439 -1.1729502117684731 -0.191634205785539 -7.766123909884439 -0.27640842781151587 -7.646108376424588 -1.010227213565146 -1.033130886509071
2.52165 -0.29008706991595773 -0.23313080995295374 -0.6361807209998587 -1.6484678977334417 -1.1791039387144524 -0.18891565055546858 -10.47623004061577 -0.27315014296116175 -10.361940873843437 -0.9919700981246706 -1.0109156844976668
2.52883 -0.28621482936025666 -0.22904946879501964 -0.6003120924667302 -1.6267235159862137 -1.180860357566859 -0.18661399429858544 -14.54919841221821 -0.269816704165824 -14.44106294466312 -0.9704940395179867 -0.9855575196613687
2.53601 -0.2823629121810786 -0.2250164273451485 -0.5671508709009608 -1.60275583101683 -1.177850064482004 -0.18474340146956011 -20.824084170443978 -0.26667745209263227 -20.72260913344424 -0.9461021104933633 -0.9573868449634775
2.54319 -0.27853119134137966 -0.22103132842206208 -0.5364569773794564 -1.5759805040968815 -1.169743623893351 -0.1833153787404316 -30.707210934449048 -0.2641280634417439 -30.612973474195076 -0.9191065168518375 -0.9267414265818605
2.55037 -0.27471958435650257 -0.21709385856618219 -0.5080178425448886 -1.545893300547695 -1.156263131773031 -0.18233876007854116 -46.49805944835385 -0.26274335408887867 -46.41167725971207 -0.8898238259368959 -0.8939613892580132
2.55756 -0.2709280425634717 -0.2132037449666553 -0.4816449972081843 -1.5120781410116357 -1.1371939662672481 -0.18181952758802788 -71.64583094009504 -0.26328934135337045 -71.5679271222304 -0.8585703404785411 -0.8593843807209582
2.56474 -0.2671565296736979 -0.2093607298053331 -0.45716991420120084 -1.4742132319008434 -1.1123951131493839 -0.18176080374779693 -110.14481866956122 -0.2665078352936959 -110.07610801386303 -0.8256592673553758 -0.8233424792123643
2.57192 -0.26340506503692707 -0.2055645978400346 -0.43444284161510716 -1.4320803136086746 -1.0818099638586265 -0.1821626671073838 -162.9341914011808 -0.27223050842115315 -162.87609545269152 -0.7913963665544037 -0.7861582490304224
2.5791 -0.2596736650415475 -0.20181514560396627 -0.41332949152765297 -1.3855693912137474 -1.045474399187316 -0.18302222807867968 -219.42874731294867 -0.2775655087024947 -219.38504533314034 -0.7560777318643496 -0.74814185920747
2.58628 -0.2559623820738776 -0.198112198354511 -0.3937093082964571 -1.334685368155241 -1.003525502079047 -0.18433355527484765 -252.74661086740485 -0.2762513510267233 -252.72488731887572 -0.7199869397425762 -0.7095888410154892
2.59346 -0.2522713191398327 -0.19445562693681662 -0.37547382242455035 -1.2795514181121992 -0.9562068205936187 -0.1860876663731283 -239.80020532928862 -0.2635440278546144 -239.8088271780407 -0.6833931183692743 -0.6707777999482554
2.60064 -0.24860057025789245 -0.19084529548521312 -0.35852511606910376 -1.2204113873185805 -0.9038723984994884 -0.1882726489384727 -190.09152367316747 -0.24233854540783106 -190.13277548543485 -0.6465492219127211 -0.6319690734214433
2.60782 -0.244950230759325 -0.18728109321852932 -0.34277467037092435 -1.15763157401277 -0.8469900608671549 -0.19087365246472865 -133.02451282722964 -0.21975132305822997 -133.09292497076459 -0.6096916490751594 -0.5934042321827413
2.615 -0.24132043996114458 -0.18376293034244046 -0.3281423199438123 -1.0916981970949238 -0.7861401378348708 -0.19387298697377858 -87.36452728150935 -0.20018190202767705 -87.45155231225301 -0.5730382376144859 -0.5553042440159618
2.62218 -0.23771137532935013 -0.18029075392959537 -0.31455533857437745 -1.0232150147559145 -0.722014230139578 -0.19725025093690307 -56.33636918176484 -0.1843690830748985 -56.43452385215022 -0.5367889132896104 -0.5178704750412946
2.62936 -0.23412318538073904 -0.17686449118962116 -0.30194773586651424 -0.9528991834143552 -0.6554118593212016 -0.20098251740188347 -36.62311666695419 -0.17152525132280302 -36.72717471704792 -0.5011256914218014 -0.481284488458027
2.63655 -0.23055607144633325 -0.17348411281490628 -0.29025971558662556 -0.8815743510478716 -0.587234322634187 -0.20504441199936943 -24.315340179928608 -0.16072428913047032 -24.421994498877414 -0.46621198519209334 -0.44570778104175685
2.64373 -0.22701023496810355 -0.17014960757653277 -0.2794363126721416 -0.8101629572489555 -0.5184784393125252 -0.20940835376834285 -16.57359539598329 -0.15129273304869176 -16.680835353874187 -0.4321940844853891 -0.41128324192803933
2.65091 -0.22349739812925648 -0.16686742128908044 -0.26946107274980113 -0.7399840405871532 -0.4504751149553713 -0.21408574522657792 -11.612034614905383 -0.14284298387805322 -11.718655230993638 -0.39958270290969167 -0.3785276173703859
2.65809 -0.22004655121532732 -0.1636533666288132 -0.2603675230836123 -0.6728088512851187 -0.3849134290110615 -0.219150549271568 -8.359309836916198 -0.13520044452882288 -8.46459404938413 -0.3693378121082984 -0.34841287819427924
2.66527 -0.2166581163095913 -0.16050681103224376 -0.25210841364246794 -0.6096116095922138 -0.32282538981862197 -0.22457542685864604 -6.17305584658082 -0.12819940480519199 -6.276579409845708 -0.34136394853626867 -0.320821300358665
