 R   <X|H|X>   <A|H|A> 
0.0 10.048223050049032 10.035251438453608
0.01 9.914065147496906 9.90146813887434
0.02 9.779481741169297 9.767215567718354
0.03 9.644666276466879 9.632696378409165
0.04 9.509813805382086 9.498111408291706
0.05 9.375119379559653 9.363661500211471
0.06 9.24077829931465 9.229547751991905
0.07 9.106985407581401 9.095970809680498
0.08 8.973935574704614 8.963131353104801
0.09 8.841823878561964 8.831230276379882
0.1 8.710845390056907 8.700468473315182
0.11 8.581195173147986 8.571046837625978
0.12 8.45306828488615 8.443166263158224
0.13 8.32665977545863 8.317027644125735
0.14 8.202164688237986 8.192831875358564
0.15 8.07977805983492 8.070779852561568
0.16 7.959694920153469 7.951072472582043
0.17 7.842110473403212 7.833910814170476
0.18 7.727219588217276 7.719495629698736
0.19 7.6152171432966025 7.608027690041236
0.2 7.5062981655253225 7.499707922612101
0.21000000000000002 7.400548991870245 7.394623951802876
0.22 7.297621235840957 7.29241018707315
0.22999999999999998 7.197057838941637 7.192587719259352
0.24 7.098401752993411 7.094677621242452
0.25 7.001195940872334 6.998200947860025
0.26 6.90498337722062 6.902678735760214
0.27 6.809307049138475 6.807632003203874
0.27999999999999997 6.713709409315204 6.712581201932366
0.29 6.617733914257481 6.617047755676854
0.3 6.520923998918989 6.520553032366367
0.3090909090909091 6.4319182287874925 6.431710523718854
0.3181818181818182 6.342173208807971 6.342021461780526
0.32727272727272727 6.252016998783126 6.251829724378867
0.33636363636363636 6.161777653846654 6.161479204155765
0.34545454545454546 6.071783223952231 6.071313808584064
0.35454545454545455 5.982361753328508 5.9816774599777105
0.36363636363636365 5.893841279905778 5.892914095500483
0.37272727272727274 5.806549834719255 5.805367667177864
0.38181818181818183 5.720815441293521 5.719382141916221
0.39090909090909093 5.636965341618136 5.635300726998331
0.4 5.555328367216889 5.553468245041945
0.41000000000000003 5.468354455459128 5.466335005641831
0.42000000000000004 5.384165103373323 5.3820419144544225
0.43 5.302469815582471 5.300291351986064
0.44 5.222978116708697 5.220785708151566
0.45 5.145399549785186 5.143227380366707
0.46 5.069443674867333 5.06731877181292
0.47000000000000003 4.994820067819519 4.99276228985231
0.48 4.921238319255989 4.919260344573029
0.49 4.848408033616392 4.846515347446772
0.5 4.776038231951015 4.774229112761393
0.5193548387096774 4.6365827990548425 4.634912804967196
0.5290322580645161 4.567163638517672 4.565551486050202
0.5387096774193548 4.497986541436058 4.496424862629701
0.5483870967741935 4.429078792997506 4.427560554902433
0.5580645161290323 4.360467689184383 4.358986194278992
0.567741935483871 4.292180535479267 4.290729422098403
0.5774193548387097 4.224244645637194 4.222817888411284
0.5870967741935484 4.1566873405252505 4.155279250831869
0.5967741935483871 4.089535947029661 4.088141173458955
0.6064516129032258 4.022817717730624 4.021431246480859
0.6161290322580645 3.9565598930117054 3.9551770483637796
0.6258064516129033 3.890790133001094 3.889406578284728
0.635483870967742 3.825535739302351 3.824147477046968
0.6451612903225806 3.7608240201949745 3.759427392687314
0.6548387096774193 3.6966822898147056 3.6952739796760414
