 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A> 
0.0 -0.41912362581187296 0.907879503745539 -0.9078795037457579 -0.41912362581195906
0.01 -0.41912362581187296 0.907879503745539 -0.9078795037457579 -0.41912362581195906
0.02 -0.4190202863431594 0.9079271925313303 -0.907927192531549 -0.41902028634324556
0.03 -0.41891583235230034 0.9079753759356837 -0.9079753759359025 -0.41891583235238655
0.04 -0.41881024662820665 0.9080240612163579 -0.9080240612165767 -0.4188102466282929
0.05 -0.4187035118012372 0.9080732558299816 -0.9080732558302004 -0.41870351180132354
0.06 -0.4185956369432972 0.9081229700402838 -0.9081229700405026 -0.41859563694338364
0.07 -0.4184865830478462 0.9081732096483317 -0.9081732096485505 -0.41848658304793274
0.08 -0.4183763127452939 0.9082239808587966 -0.9082239808590155 -0.41837631274538045
0.09 -0.418264810585354 0.9082752922710302 -0.908275292271249 -0.4182648105854407
0.1 -0.4181520604445653 0.9083271526818809 -0.9083271526820997 -0.4181520604446521
0.11 -0.41803804550785845 0.9083795710936727 -0.9083795710938914 -0.4180380455079454
0.12 -0.4179227482501227 0.9084325567221841 -0.908432556722403 -0.41792274825020975
0.13 -0.4178061504177726 0.9084861190046273 -0.908486119004846 -0.41780615041785973
0.14 -0.41768823301031477 0.9085402676076262 -0.9085402676078449 -0.4176882330104021
0.15 -0.41756897626191486 0.9085950124351966 -0.9085950124354152 -0.4175689762620023
0.16 -0.4174483596229639 0.9086503636367238 -0.9086503636369425 -0.4174483596230515
0.17 -0.4173263531282388 0.9087063482561982 -0.9087063482564168 -0.4173263531283265
0.18 -0.41720294137443814 0.9087629638795524 -0.908762963879771 -0.4172029413745259
0.19 -0.417078107718976 0.9088202091352395 -0.908820209135458 -0.4170781077190639
0.2 -0.4169518273447881 0.9088780970655174 -0.9088780970657359 -0.4169518273448761
0.21000000000000002 -0.4168240746682542 0.9089366407865749 -0.9089366407867934 -0.4168240746683424
0.22 -0.4166948233151341 0.9089958535073908 -0.9089958535076091 -0.41669482331522245
0.22999999999999998 -0.4165640460965029 0.9090557485485914 -0.9090557485488099 -0.41656404609659137
0.24 -0.41643171498468695 0.90911633936131 -0.9091163393615284 -0.41643171498477555
0.25 -0.41629780108919934 0.9091776395460438 -0.9091776395462622 -0.4162978010892881
0.26 -0.4161622746326756 0.9092396628715134 -0.9092396628717319 -0.4161622746327645
0.27 -0.4160251049268093 0.9093024232935206 -0.909302423293739 -0.4160251049268983
0.27999999999999997 -0.41588609289607575 0.9093659666996046 -0.909365966699823 -0.4158860928961649
0.29 -0.41574533577060696 0.9094302828817916 -0.90943028288201 -0.41574533577069633
0.3 -0.4156029262609499 0.9094953625457867 -0.909495362546005 -0.4156029262610394
0.3090909090909091 -0.41547198444927375 0.9095552038960074 -0.9095552038962257 -0.4154719844493633
0.3181818181818182 -0.41533959398259546 0.909615705180044 -0.9096157051802622 -0.4153395939826851
0.32727272727272727 -0.4152057164144303 0.909676880078692 -0.9096768800789102 -0.41520571641452003
0.33636363636363636 -0.4150703138896525 0.9097387422371949 -0.9097387422374131 -0.4150703138897422
0.34545454545454546 -0.41493334906112517 0.9098013052899184 -0.9098013052901367 -0.41493334906121493
0.35454545454545455 -0.4147947850063305 0.9098645828850246 -0.9098645828852427 -0.41479478500642025
0.36363636363636365 -0.4146545851439995 0.9099285887091453 -0.9099285887093636 -0.41465458514408926
0.37272727272727274 -0.4145127131507421 0.909993336512057 -0.9099933365122753 -0.4145127131508319
0.38181818181818183 -0.41436913287767707 0.9100588401313543 -0.9100588401315726 -0.41436913287776683
0.39090909090909093 -0.4142234537265869 0.9101251994441469 -0.9101251994443652 -0.4142234537266766
0.4 -0.4140760070662954 0.9101923394894533 -0.9101923394896716 -0.4140760070663851
0.41000000000000003 -0.41391187437144517 0.910267077584875 -0.9102670775850932 -0.4139118743715349
0.42000000000000004 -0.4137456270787354 0.9103427686981629 -0.9103427686983812 -0.4137456270788251
0.43 -0.41357718545477223 0.9104194398966611 -0.9104194398968792 -0.4135771854548619
0.44 -0.4134064730958839 0.9104971176717749 -0.910497117671993 -0.41340647309597356
0.45 -0.41323341659435986 0.9105758280270585 -0.9105758280272767 -0.41323341659444945
0.46 -0.41305794520469025 0.9106555965663018 -0.91065559656652 -0.4130579452047798
0.47000000000000003 -0.41287999050980506 0.9107364485816175 -0.9107364485818357 -0.4128799905098946
0.48 -0.4126994860873137 0.9108184091415282 -0.9108184091417464 -0.4126994860874032
0.49 -0.41251636717574414 0.9109015031790535 -0.9109015031792717 -0.41251636717583356
0.5 -0.41233029264705334 0.9109858126717991 -0.9109858126720172 -0.41233029264714277
0.5193548387096774 -0.41196232651392745 0.9111523723759373 -0.9111523723761552 -0.41196232651401693
0.5290322580645161 -0.41177454123125656 0.9112373329756898 -0.9112373329759078 -0.41177454123134605
0.5387096774193548 -0.41158410929821776 0.9113234525858392 -0.9113234525860572 -0.41158410929830724
0.5483870967741935 -0.411390950544248 0.9114107596754446 -0.9114107596756627 -0.4113909505443375
0.5580645161290323 -0.41119498729246184 0.911499282498856 -0.911499282499074 -0.41119498729255133
0.567741935483871 -0.4109961439649436 0.9115890491933876 -0.9115890491936055 -0.4109961439650331
0.5774193548387097 -0.41079434668803927 0.9116800878769916 -0.9116800878772096 -0.41079434668812875
0.5870967741935484 -0.410589522897649 0.9117724267459317 -0.9117724267461497 -0.4105895228977385
0.5967741935483871 -0.4103816009445187 0.9118660941724568 -0.9118660941726746 -0.41038160094460824
0.6064516129032258 -0.4101704728812983 0.9119611245476631 -0.9119611245478809 -0.41017047288138786
0.6161290322580645 -0.40995602062066205 0.9120575542358134 -0.9120575542360312 -0.40995602062075165
0.6258064516129033 -0.40973832282229483 0.9121553893273702 -0.9121553893275879 -0.4097383228223845
0.635483870967742 -0.40951729169342177 0.9122546623494319 -0.9122546623496497 -0.4095172916935115
0.6451612903225806 -0.4092928397235751 0.9123554062841979 -0.9123554062844156 -0.40929283972366487
0.6548387096774193 -0.40906487937214253 0.9124576546538059 -0.9124576546540236 -0.40906487937223235
0.6645161290322581 -0.40883332275591616 0.9125614416051705 -0.9125614416053881 -0.40883332275600603
0.6741935483870968 -0.40859808133664083 0.912666801994821 -0.9126668019950387 -0.40859808133673076
0.6838709677419355 -0.4083590481921783 0.9127737782494352 -0.9127737782496529 -0.40835904819226826
0.6935483870967742 -0.40811615960377207 0.9128823963691223 -0.91288239636934 -0.4081161596038621
0.7032258064516129 -0.40786932064912246 0.912992694838082 -0.9129926948382997 -0.40786932064921266
0.7129032258064516 -0.40761843447125284 0.9131047132010841 -0.9131047132013017 -0.4076184344713431
0.7225806451612904 -0.4073634024970067 0.9132184919417456 -0.9132184919419633 -0.40736340249709707
0.7322580645161291 -0.4071041240810521 0.9133340725843093 -0.9133340725845269 -0.4071041240811426
0.7419354838709677 -0.4068404961498857 0.9134514977954227 -0.9134514977956402 -0.4068404961499763
0.7516129032258065 -0.40657243389844455 0.9135708188928116 -0.9135708188930292 -0.4065724338985352
0.7612903225806452 -0.40629980102897034 0.9136920715283934 -0.913692071528611 -0.40629980102906116
0.7709677419354839 -0.40602247965586574 0.9138153005097848 -0.9138153005100023 -0.40602247965595667
0.7806451612903226 -0.405740357459496 0.9139405555076783 -0.9139405555078958 -0.40574035745958703
0.7903225806451614 -0.40545331714957294 0.9140678875757956 -0.9140678875760131 -0.40545331714966415
0.8 -0.40516123617405003 0.9141973492754956 -0.9141973492757131 -0.40516123617414135
0.81 -0.40485398753885427 0.9143334212428011 -0.9143334212430185 -0.40485398753894575
0.8200000000000001 -0.4045410105798502 0.9144719048747756 -0.914471904874993 -0.40454101057994185
0.8300000000000001 -0.40422220890325217 0.9146128468579325 -0.9146128468581499 -0.404222208903344
0.8400000000000001 -0.40389747055838265 0.9147562985924247 -0.914756298592642 -0.4038974705584745
0.8500000000000001 -0.4035666090783328 0.9149023335992302 -0.9149023335994475 -0.40356660907842484
0.86 -0.4032294331426691 0.9150510270528518 -0.9150510270530691 -0.4032294331427613
0.87 -0.40288574595727167 0.9152024560097484 -0.9152024560099655 -0.4028857459573639
0.88 -0.40253534463417323 0.9153566996367679 -0.9153566996369851 -0.4025353446342656
0.89 -0.40217777817474426 0.9155139066442555 -0.9155139066444724 -0.4021777781748367
0.9 -0.4018130547924955 0.9156740984236109 -0.915674098423828 -0.401813054792588
0.91 -0.40144115630428795 0.9158373042962504 -0.9158373042964674 -0.40144115630438054
0.92 -0.4010617832110502 0.916003632538752 -0.916003632538969 -0.4010617832111429
0.93 -0.400674639529259 0.9161731911417322 -0.9161731911419492 -0.40067463952935184
0.9400000000000001 -0.4002794310641545 0.9163460883463611 -0.9163460883465779 -0.40027943106424735
0.95 -0.39987586368295486 0.9165224331808778 -0.9165224331810946 -0.3998758636830479
0.96 -0.399463288591012 0.9167024176521279 -0.9167024176523446 -0.3994632885911051
0.97 -0.3990417287639368 0.9168860794491128 -0.9168860794493294 -0.39904172876403
