 R   <X|d/dR|A> 
0.0 -0.011199368238766558
0.01 -0.011086846670338431
0.02 -0.011049221458950167
0.03 -0.011078421798519394
0.04 -0.01116637797142375
0.05 -0.01130502138375408
0.06 -0.0114862846019061
0.07 -0.011702101390568797
0.08 -0.011944406752170882
0.09 -0.01220513696784949
0.1 -0.012476229640008616
0.11 -0.012749623736538155
0.12 -0.013017259636767892
0.13 -0.013271079179234715
0.14 -0.013503025711345115
0.15 -0.013705044141019444
0.16 -0.013869080990408685
0.17 -0.013987084451779295
0.18 -0.014051004445666645
0.19 -0.014052792681402778
0.2 -0.013984402720129938
0.21000000000000002 -0.013845901366077443
0.22 -0.013669802711885929
0.22999999999999998 -0.013496734232825665
0.24 -0.013367325535329527
0.25 -0.01332220843432482
0.26 -0.013402017033856009
0.27 -0.013647387811159315
0.27999999999999997 -0.014098959704358899
0.29 -0.014797374203963955
0.3 -0.01578327544835592
0.3090909090909091 -0.016938847825179182
0.3181818181818182 -0.01824988581871522
0.32727272727272727 -0.01960067227594698
0.33636363636363636 -0.020875492128911977
0.34545454545454546 -0.021958632467648884
0.35454545454545455 -0.022734382616135987
0.36363636363636365 -0.023087034211362777
0.37272727272727274 -0.022900881285682947
0.38181818181818183 -0.022060220352605273
0.39090909090909093 -0.020449350496187194
0.4 -0.01795257346420491
0.41000000000000003 -0.014166483342036861
0.42000000000000004 -0.009744486671198193
0.43 -0.005262620430596891
0.44 -0.0012969261389694023
0.45 0.001576549957882263
0.46 0.002781756690791816
0.47000000000000003 0.0017426377613641297
0.48 -0.0021168684739914304
0.49 -0.00937282923069916
0.5 -0.020601317533933135
0.5193548387096774 -0.054415353000945556
0.5290322580645161 -0.07648533228037876
0.5387096774193548 -0.1013429710147314
0.5483870967741935 -0.12849754081013223
0.5580645161290323 -0.15745831982521594
0.567741935483871 -0.18773459305544993
0.5774193548387097 -0.21883565263194354
0.5870967741935484 -0.25027079813558273
0.5967741935483871 -0.28154933692739614
0.6064516129032258 -0.3121805844961211
0.6161290322580645 -0.34167386482399054
0.6258064516129033 -0.36953851077184635
0.635483870967742 -0.39528386448474995
0.6451612903225806 -0.4184192778193482
0.6548387096774193 -0.43845411279433033
0.6645161290322581 -0.45489774206541644
0.6741935483870968 -0.4672595494264109
0.6838709677419355 -0.47504893033796736
0.6935483870967742 -0.4777752924858275
0.7032258064516129 -0.4749480563704214
0.7129032258064516 -0.4660766559298603
0.7225806451612904 -0.4506705391984913
0.7322580645161291 -0.42823916900335574
0.7419354838709677 -0.39829202370105454
0.7516129032258065 -0.36033859795772205
0.7612903225806452 -0.3138884035750073
0.7709677419354839 -0.25845097036518544
0.7806451612903226 -0.1935358470787611
0.7903225806451614 -0.11865260238818735
0.8 -0.0333108259316093
0.81 0.06576498511125162
0.8200000000000001 0.17335967870543129
0.8300000000000001 0.28630109603316645
0.8400000000000001 0.4014170487207284
0.8500000000000001 0.5155353171635036
0.86 0.6254836487395183
0.87 0.7280897559028607
0.88 0.8201813141476862
0.89 0.8985859598327134
0.9 0.9601312878551878
0.91 1.0016448491623267
0.92 1.0199541480871648
0.93 1.0118866394945334
0.9400000000000001 0.9742697257215907
0.95 0.9039307532958705
0.96 0.797697009412207
0.97 0.6523957181481437
0.98 0.46485403639545764
0.99 0.23189904948327314
1.0 -0.04964223353417757
1.01 -0.3803567239566612
1.02 -0.7504867759184383
1.03 -1.1476886752905053
1.04 -1.5596188070595993
1.05 -1.9739336622256367
1.06 -2.3782898452638355
1.07 -2.7603440822047816
1.08 -3.1077532293914176
1.0899999999999999 -3.408174282978311
1.1 -3.6492643892457375
1.1099999999999999 -3.818680855809021
1.1199999999999999 -3.9040811638129314
1.13 -3.89312298121062
1.14 -3.773464177238524
1.15 -3.53276283821127
1.16 -3.1586772847753872
1.17 -2.6388660907771126
1.18 -1.9609881039184391
1.19 -1.1127024683966908
1.2 -0.08166864974733941
1.2193548387096773 2.4314179999136067
1.229032258064516 3.9007297403335524
1.238709677419355 5.479198876454489
1.2483870967741935 7.142308724735684
1.2580645161290323 8.865542139480375
1.2677419354838708 10.624381471610265
1.2774193548387096 12.39430852311318
1.2870967741935484 14.150804496639317
1.296774193548387 15.869349939651789
1.3064516129032258 17.525424682453057
1.3161290322580645 19.094507769313157
1.3258064516129031 20.552077381816016
1.335483870967742 21.873610753410166
1.3451612903225807 23.034584074001458
1.3548387096774193 24.010472383251386
1.364516129032258 24.776749451041113
1.3741935483870968 25.308887643323473
1.3838709677419354 25.582357771306796
1.3935483870967742 25.572628921586624
1.403225806451613 25.25516826445528
1.4129032258064516 24.605440837164338
1.4225806451612903 23.59890929837511
1.432258064516129 22.21103364939384
1.4419354838709677 20.417270917026244
1.4516129032258065 18.193074791981363
1.461290322580645 15.513895215668775
1.4709677419354839 12.355177906936197
1.4806451612903226 8.692363818734123
1.4903225806451612 4.500888512814117
1.5 -0.2438185617017475
1.509993076923077 -5.7342832552572025
1.5199861538461539 -11.77390117792345
1.5299792307692308 -18.295717916824945
1.5399723076923078 -25.23279093812707
1.5499653846153847 -32.51819141252115
1.5599584615384616 -40.08500636764728
1.5699515384615386 -47.86634123384559
1.5799446153846155 -55.7953228645028
1.5899376923076922 -63.80510313069596
1.5999307692307692 -71.82886321269004
1.609923846153846 -79.79981873915905
1.619916923076923 -87.65122596002844
1.62991 -95.3163891819881
1.639903076923077 -102.72866974858344
1.6498961538461538 -109.82149691086852
1.6598892307692308 -116.52838101105641
1.6698823076923077 -122.78292949048782
1.6798753846153847 -128.51886633219618
1.6898684615384614 -133.670055650092
1.6998615384615383 -138.17053022458356
1.7098546153846153 -141.95452582397644
1.7198476923076922 -144.9565220759857
1.7298407692307691 -147.111290340843
1.739833846153846 -148.35394826344506
1.749826923076923 -148.62001905131007
1.75982 -147.84549035418436
1.7698130769230769 -145.96686176314745
1.7798061538461538 -142.92115956059186
1.7897992307692308 -138.64587968816363
1.7997923076923077 -133.07879139233268
1.8097853846153846 -126.1574914936687
1.8197784615384616 -117.81854422813184
1.8297715384615383 -107.99599134931687
1.8397646153846152 -96.61902666305362
1.8497576923076922 -83.60882084123892
1.859750769230769 -68.87504559519591
1.869743846153846 -52.31369469537601
1.879736923076923 -33.80894650401432
1.88973 -13.241683772003508
1.89691 -0.8421707973936954
1.9005 -0.1461957102615692
1.90409 -1.352672570391964
1.90768 -1.7983842395650997
1.91127 -1.6774102570976979
1.91486 -1.7071175693287692
1.91845 -1.839738348021795
1.92204 -1.8876649527994513
1.92563 -1.8684502287530287
1.92922 -1.8372080679968708
1.93281 -1.7939512101889155
1.9364 -1.7284842564071523
1.93999 -1.6450559821726065
1.94358 -1.5503583102394671
1.94717 -1.4468116810698413
1.95076 -1.3358182453789431
1.95435 -1.2194654235403548
1.957945 -1.0996014025703036
1.96154 -0.9779109905028798
1.96513 -0.8558025784600214
1.96872 -0.734094539483253
1.97231 -0.6135950207760912
1.9759 -0.4949549841519474
1.97949 -0.3786964398189503
1.98308 -0.26520549863460197
1.98667 -0.15477531052265903
1.99026 -0.04761195122409578
1.9938500000000001 0.05613790188495127
1.99744 0.15638615889585772
2.00462 0.3462056484039642
2.0118 0.5217778457468705
2.01898 0.683315144928907
2.02616 0.8311562137279713
2.03335 0.9658506755979133
2.04053 1.0873662679441327
2.04771 1.196200681681098
2.05489 1.2925966930603974
2.06207 1.3767507441480837
2.06925 1.4488264230205508
2.07643 1.5089748338168316
2.08361 1.557354476951118
2.0872 1.5771862235334357
2.09079 1.594149545857929
2.09438 1.6082734353688108
2.09797 1.6195881309869233
2.10156 1.628128406284401
2.10515 1.6339546685582675
2.108745 1.6371267884782328
2.11234 1.637661762613998
2.11593 1.6355926499307185
2.11952 1.6309930434432085
2.12311 1.6239403660111726
2.1267 1.6145007729201357
2.13029 1.6027387257304602
2.13388 1.5887283217890875
2.13747 2.8713843911096086
2.14106 2.840192838879797
2.14465 2.8076354651540822
2.14824 2.7737632735472637
2.15183 2.7386290383449317
2.15542 2.7022877660585616
2.15901 2.6647960920397966
2.1626 2.62621497253188
2.16619 2.5866038270778744
2.16978 2.5460116456589175
2.17337 2.5044943844379866
2.17696 2.462146332242794
2.180555 2.418990451341787
2.18415 2.3750872215306016
2.18774 2.3304999671058324
2.19133 2.2852451286576363
2.1949199999999998 2.2394082634963537
2.19851 2.1930330362784574
2.19866164 2.1910628143219384
2.19881328 2.1890916942431202
2.19896492 2.187119679370035
2.19911656 2.1851467729306586
2.1992682 2.1831729781529043
2.19941984 2.1811982982646283
2.19957148 2.1792227365936245
2.19972312 2.177246296467631
2.19987476 2.175268981014323
2.2000264 2.1732907934613173
2.2000725 2.1726892332738883
2.2001185 2.172088898073983
2.2001645 2.171488483132751
2.2002106 2.170886683012279
